Item,Reference,Estimate
10118334.clip.jams,91.0,81.35
10503810.clip.jams,90.5,117.0
10809231.clip.jams,127.0,110.7
10893272.clip.jams,109.0,96.36
11173645.clip.jams,55.5,81.93
11430821.clip.jams,113.0,104.48
1173974.clip.jams,84.0,103.62
11883189.clip.jams,73.5,81.43
1245162.clip.jams,73.0,114.91
12643846.clip.jams,49.5,73.1
12906077.clip.jams,64.0,41.98
12906123.clip.jams,123.0,130.18
12933803.clip.jams,103.0,67.87
13057714.clip.jams,79.0,73.0
13376370.clip.jams,80.0,75.46
1358518.clip.jams,112.0,105.48
1359069.clip.jams,83.0,54.77
1393855.clip.jams,110.5,115.23
1435815.clip.jams,62.0,78.74
14600040.clip.jams,82.0,85.42
14970371.clip.jams,60.0,129.09
15416738.clip.jams,61.0,67.26
1549188.clip.jams,78.5,111.8
15763.clip.jams,78.0,68.92
157976.clip.jams,115.0,107.6
158038.clip.jams,171.0,157.3
164628.clip.jams,65.0,135.7
16495719.clip.jams,135.0,93.07
168497.clip.jams,67.0,99.43
168499.clip.jams,56.0,84.23
168502.clip.jams,68.5,74.07
1827861.clip.jams,153.0,130.64
1978607.clip.jams,113.0,118.91
2224710.clip.jams,88.0,91.9
2226967.clip.jams,77.0,73.14
2233308.clip.jams,130.0,73.67
2373182.clip.jams,53.0,69.56
2411992.clip.jams,103.5,78.36
2448465.clip.jams,64.5,122.74
2471114.clip.jams,73.5,85.96
247951.clip.jams,111.5,128.27
250092.clip.jams,87.5,163.35
2517897.clip.jams,166.0,78.74
252959.clip.jams,131.0,138.03
253654.clip.jams,108.0,70.22
2675965.clip.jams,71.5,133.97
2706530.clip.jams,190.5,142.42
281623.clip.jams,41.0,61.34
282894.clip.jams,98.5,60.94
2898269.clip.jams,43.0,64.49
2991234.clip.jams,109.5,203.96
3014991.clip.jams,106.5,121.4
303696.clip.jams,48.0,71.81
3113801.clip.jams,100.0,104.24
3131930.clip.jams,148.0,131.22
3152092.clip.jams,50.0,75.2
3162532.clip.jams,118.0,113.0
3165722.clip.jams,132.0,138.12
3166682.clip.jams,39.0,72.87
3171363.clip.jams,78.0,73.82
317955.clip.jams,86.5,75.03
3188164.clip.jams,84.0,91.91
3220296.clip.jams,86.0,156.63
3222400.clip.jams,98.0,125.04
3223544.clip.jams,126.0,83.84
3225488.clip.jams,67.0,140.09
3275471.clip.jams,69.0,124.63
3289764.clip.jams,88.0,72.01
3299404.clip.jams,48.0,72.3
3300543.clip.jams,81.0,85.41
3317128.clip.jams,125.5,114.06
3324740.clip.jams,128.5,135.57
3325955.clip.jams,113.5,118.16
3329368.clip.jams,126.5,112.06
3333901.clip.jams,53.0,79.9
3335357.clip.jams,77.0,86.97
338416.clip.jams,67.5,62.63
3406473.clip.jams,99.0,104.11
3432795.clip.jams,51.0,75.62
3456551.clip.jams,79.5,75.85
3456554.clip.jams,84.0,147.41
346328.clip.jams,66.0,77.44
3491765.clip.jams,62.0,130.34
3522059.clip.jams,130.0,147.59
3527401.clip.jams,120.0,104.05
3544005.clip.jams,85.0,75.91
3613117.clip.jams,69.0,127.82
3683203.clip.jams,123.0,133.5
3732728.clip.jams,88.0,130.6
3977338.clip.jams,65.0,75.1
4005052.clip.jams,70.0,130.98
4126832.clip.jams,169.0,92.09
4268522.clip.jams,84.5,94.55
4274745.clip.jams,106.0,78.06
428426.clip.jams,81.0,76.69
4300870.clip.jams,128.0,141.26
4313406.clip.jams,73.0,81.14
4314361.clip.jams,125.0,104.67
4326130.clip.jams,53.5,84.66
4344092.clip.jams,137.0,129.72
4436673.clip.jams,128.0,115.05
4459487.clip.jams,132.0,119.75
458707.clip.jams,71.0,106.14
475716.clip.jams,108.0,206.08
4886678.clip.jams,68.5,65.25
4904288.clip.jams,95.0,99.73
511895.clip.jams,95.0,99.51
5291934.clip.jams,39.5,142.56
5302454.clip.jams,82.5,88.69
5466466.clip.jams,133.5,84.81
550938.clip.jams,109.5,91.11
5609666.clip.jams,123.0,128.43
5614775.clip.jams,60.0,114.99
5619090.clip.jams,123.0,136.8
5633436.clip.jams,86.5,56.25
574956.clip.jams,100.0,118.87
5819887.clip.jams,95.5,100.22
5926999.clip.jams,85.0,89.96
6018930.clip.jams,54.0,81.35
6221504.clip.jams,75.0,95.8
6323633.clip.jams,42.0,62.72
6353663.clip.jams,141.0,147.14
6462194.clip.jams,105.0,100.09
6857388.clip.jams,133.0,138.68
686240.clip.jams,84.0,88.5
7069168.clip.jams,100.0,107.14
717711.clip.jams,80.5,120.7
7214193.clip.jams,92.0,86.45
7274831.clip.jams,118.0,102.86
7308037.clip.jams,67.0,72.12
7538331.clip.jams,89.0,125.6
8204936.clip.jams,166.0,76.21
8563127.clip.jams,113.5,138.48
8568194.clip.jams,86.0,156.49
8590677.clip.jams,87.0,56.11
8645063.clip.jams,124.0,130.18
8694203.clip.jams,70.0,76.52
8960333.clip.jams,75.0,70.11
9468172.clip.jams,80.0,110.15
9931241.clip.jams,105.0,129.98
9973642.clip.jams,134.0,73.19
