Item,Reference,Estimate
10118334.clip.jams,91.0,82
10258351.clip.jams,234.5,116
10389587.clip.jams,92.0,188
104222.clip.jams,163.0,83
104260.clip.jams,56.5,109
10503810.clip.jams,90.5,117
10563001.clip.jams,82.5,164
10563039.clip.jams,68.0,71
1071042.clip.jams,74.0,146
10726058.clip.jams,73.0,76
10726076.clip.jams,67.0,135
10809231.clip.jams,127.0,110
10875997.clip.jams,101.0,204
10893272.clip.jams,109.0,96
10894070.clip.jams,71.0,144
10894286.clip.jams,50.0,101
11173645.clip.jams,55.5,82
11430821.clip.jams,113.0,103
11622.clip.jams,53.0,107
1173974.clip.jams,84.0,103
11883189.clip.jams,73.5,82
12185327.clip.jams,38.0,75
12185332.clip.jams,62.0,124
1245162.clip.jams,73.0,116
1248986.clip.jams,83.0,160
12638738.clip.jams,62.0,124
12643846.clip.jams,49.5,73
12906123.clip.jams,123.0,130
129214.clip.jams,96.0,195
12933803.clip.jams,103.0,136
129570.clip.jams,40.0,78
13015526.clip.jams,95.0,188
13057714.clip.jams,79.0,148
13086293.clip.jams,164.0,82
13527252.clip.jams,107.5,112
1358509.clip.jams,66.5,128
1358518.clip.jams,112.0,106
13827808.clip.jams,178.5,88
1385008.clip.jams,79.0,158
1385105.clip.jams,93.0,179
13851876.clip.jams,69.0,135
1393855.clip.jams,110.5,115
1393863.clip.jams,42.0,84
14090415.clip.jams,55.0,110
14200123.clip.jams,74.0,144
1432020.clip.jams,64.0,128
1433718.clip.jams,45.0,90
1435815.clip.jams,62.0,156
14519480.clip.jams,61.0,121
14600040.clip.jams,82.0,87
148097.clip.jams,93.5,186
1492187.clip.jams,52.0,104
1492191.clip.jams,47.0,95
14970371.clip.jams,60.0,128
14981410.clip.jams,76.0,152
151422.clip.jams,94.0,187
15380591.clip.jams,52.0,105
15416738.clip.jams,61.0,101
15462706.clip.jams,83.5,166
1547521.clip.jams,94.0,181
1549188.clip.jams,78.5,112
15763.clip.jams,78.0,69
157976.clip.jams,115.0,108
158038.clip.jams,171.0,158
15952618.clip.jams,54.0,163
16040771.clip.jams,67.0,132
161338.clip.jams,143.0,71
164628.clip.jams,65.0,68
164652.clip.jams,63.0,125
16495719.clip.jams,135.0,93
166339.clip.jams,82.0,165
168499.clip.jams,56.0,84
168502.clip.jams,68.5,74
1737948.clip.jams,52.0,103
1827589.clip.jams,257.0,124
1827861.clip.jams,153.0,130
1949678.clip.jams,146.0,73
197152.clip.jams,63.0,128
1978607.clip.jams,113.0,120
202987.clip.jams,95.0,191
2084851.clip.jams,74.0,147
217011.clip.jams,73.5,148
2204435.clip.jams,77.0,157
2214125.clip.jams,51.0,102
2224710.clip.jams,88.0,92
2226967.clip.jams,77.0,73
2233308.clip.jams,130.0,146
2264467.clip.jams,73.0,146
2266876.clip.jams,82.0,163
2276947.clip.jams,69.0,138
2284109.clip.jams,58.0,170
2329184.clip.jams,178.0,89
2349173.clip.jams,76.0,152
2364127.clip.jams,80.0,160
2373182.clip.jams,53.0,93
237422.clip.jams,71.0,143
2402010.clip.jams,78.0,157
2411992.clip.jams,103.5,78
24205.clip.jams,86.0,172
2424544.clip.jams,65.5,136
2471114.clip.jams,73.5,86
2471499.clip.jams,56.0,111
247951.clip.jams,111.5,128
2488794.clip.jams,56.5,112
250092.clip.jams,87.5,163
2505086.clip.jams,73.0,146
2517897.clip.jams,166.0,84
252959.clip.jams,131.0,138
2532304.clip.jams,52.0,104
2545769.clip.jams,76.5,152
2576663.clip.jams,86.0,171
263770.clip.jams,60.0,121
2675965.clip.jams,71.5,134
2675972.clip.jams,69.0,138
2706530.clip.jams,190.5,143
281623.clip.jams,41.0,61
282894.clip.jams,98.5,123
2898269.clip.jams,43.0,85
2991234.clip.jams,109.5,101
3014991.clip.jams,106.5,121
3030777.clip.jams,255.0,132
303696.clip.jams,48.0,96
3066621.clip.jams,93.0,186
3105423.clip.jams,65.0,131
3110264.clip.jams,68.0,71
3110842.clip.jams,37.0,73
3116208.clip.jams,76.0,152
3124277.clip.jams,191.5,94
3126025.clip.jams,70.0,139
3131930.clip.jams,148.0,132
3142480.clip.jams,93.0,186
3151484.clip.jams,55.5,112
3152311.clip.jams,68.0,137
3153566.clip.jams,94.0,188
3156442.clip.jams,58.0,116
3158634.clip.jams,36.0,71
3159523.clip.jams,64.0,125
3162532.clip.jams,118.0,112
3163200.clip.jams,52.0,104
3165722.clip.jams,132.0,139
