Item,Reference,Estimate
10258351.clip.jams,234.5,114.209
104222.clip.jams,163.0,83.0196
104260.clip.jams,56.5,110.545
10443543.clip.jams,191.0,95.7031
10563039.clip.jams,71.0,142.565
1071042.clip.jams,74.0,145.577
10894286.clip.jams,50.0,101.832
11030307.clip.jams,160.5,81.0662
11116238.clip.jams,152.0,75.1705
11173645.clip.jams,55.5,80.7495
11554698.clip.jams,67.0,134.67
11622.clip.jams,53.0,106.01
1162915.clip.jams,160.0,80.1235
11812770.clip.jams,61.0,121.958
11903392.clip.jams,159.5,79.8142
11984675.clip.jams,69.0,137.812
12185327.clip.jams,38.0,75.4448
12185330.clip.jams,67.0,132.938
12185332.clip.jams,62.0,123.784
1245162.clip.jams,57.0,79.5072
12638736.clip.jams,71.5,142.075
12638738.clip.jams,62.0,123.784
1286448.clip.jams,106.0,53.0048
12906077.clip.jams,64.0,127.999
129570.clip.jams,40.0,78.3026
13001524.clip.jams,163.0,80.1235
13041056.clip.jams,180.0,91.4685
13065657.clip.jams,58.0,119.491
13086293.clip.jams,164.0,82.3581
13409028.clip.jams,163.0,81.0662
13526.clip.jams,193.0,96.5975
1355189.clip.jams,168.0,84.7208
1355192.clip.jams,160.0,80.4353
1358509.clip.jams,66.5,128.397
13827808.clip.jams,178.5,88.3413
13851876.clip.jams,69.0,131.668
13876361.clip.jams,141.0,70.3125
1391446.clip.jams,64.0,127.999
1393863.clip.jams,42.0,84.032
14090415.clip.jams,55.0,109.957
1430598.clip.jams,158.0,78.9003
1432020.clip.jams,64.0,127.999
1433718.clip.jams,45.0,89.8777
1435115.clip.jams,136.5,68.224
143716.clip.jams,61.0,120.888
14519480.clip.jams,61.0,120.536
14600040.clip.jams,82.0,85.421
14654637.clip.jams,155.0,77.4228
1492187.clip.jams,52.0,104.403
1492191.clip.jams,47.0,94.8251
14970371.clip.jams,64.0,129.199
150130.clip.jams,67.0,134.233
15154780.clip.jams,130.0,65.0059
15380591.clip.jams,52.0,105.2
15416738.clip.jams,68.0,88.3413
15611552.clip.jams,166.0,83.0196
158038.clip.jams,158.0,78.9003
158072.clip.jams,134.5,67.3351
1587838.clip.jams,161.0,80.1235
16040771.clip.jams,67.0,132.512
161338.clip.jams,143.0,71.0374
161856.clip.jams,57.0,112.961
1628000.clip.jams,156.0,78.0071
164628.clip.jams,65.0,135.553
164652.clip.jams,63.0,125.665
164665.clip.jams,69.5,141.105
165725.clip.jams,69.5,139.205
166285.clip.jams,161.0,80.4353
168499.clip.jams,56.0,84.032
169111.clip.jams,72.0,143.058
173046.clip.jams,69.0,136.9
1737948.clip.jams,52.0,102.845
178090.clip.jams,58.5,116.134
1827589.clip.jams,257.0,124.155
1832873.clip.jams,70.0,139.675
1949678.clip.jams,146.0,92.2852
197152.clip.jams,63.0,128.397
2057532.clip.jams,156.0,77.7138
208474.clip.jams,168.0,84.032
2084851.clip.jams,74.0,147.131
217385.clip.jams,67.0,134.233
2184689.clip.jams,68.5,133.799
2185588.clip.jams,60.5,120.888
