Item,Reference,Estimate
10258351.clip.jams,234.5,113.94829
11173645.clip.jams,55.5,81.89294
11612127.clip.jams,136.0,129.68024
12185327.clip.jams,38.0,75.38724
1245162.clip.jams,57.0,62.21813
12638738.clip.jams,62.0,123.88427
129570.clip.jams,40.0,78.32466
13041056.clip.jams,180.0,91.35577
13086293.clip.jams,164.0,82.12951
1358509.clip.jams,66.5,128.53682
1393863.clip.jams,42.0,84.02208
1432020.clip.jams,64.0,127.98483
1433718.clip.jams,45.0,89.97578
1447613.clip.jams,69.0,103.066025
14519480.clip.jams,61.0,120.414566
14600040.clip.jams,82.0,85.48093
1492191.clip.jams,47.0,94.74662
14970371.clip.jams,64.0,128.18196
15380591.clip.jams,52.0,105.03745
16040771.clip.jams,67.0,132.63737
164628.clip.jams,65.0,67.619835
166285.clip.jams,161.0,80.43408
169111.clip.jams,72.0,142.9282
173046.clip.jams,69.0,136.50137
1827589.clip.jams,257.0,124.00254
197152.clip.jams,63.0,127.98483
217392.clip.jams,146.0,72.98211
2185588.clip.jams,60.5,120.65112
2186875.clip.jams,189.0,94.4312
2214125.clip.jams,51.0,101.96203
2232914.clip.jams,56.0,82.52379
2233308.clip.jams,146.0,77.91066
2276947.clip.jams,69.0,138.03908
227959.clip.jams,144.0,72.272385
2284109.clip.jams,58.0,172.539
240189.clip.jams,158.0,78.975235
2488794.clip.jams,56.5,111.97686
2517897.clip.jams,166.0,82.72093
2532304.clip.jams,52.0,103.5786
2601721.clip.jams,176.0,87.61007
2601727.clip.jams,175.0,87.61007
263770.clip.jams,60.0,120.09914
2675972.clip.jams,69.0,138.51222
300763.clip.jams,169.0,84.69236
3021684.clip.jams,87.0,173.01213
3030777.clip.jams,255.0,131.1391
303696.clip.jams,48.0,143.99278
3105423.clip.jams,65.0,130.82368
3110842.clip.jams,37.0,73.02153
3124277.clip.jams,191.5,93.99748
3152311.clip.jams,68.0,136.89566
3156442.clip.jams,58.0,115.998566
3166666.clip.jams,59.0,177.1127
3188766.clip.jams,62.5,138.82765
3190992.clip.jams,44.0,87.01865
3243121.clip.jams,62.0,126.17111
3247453.clip.jams,198.5,99.43861
3253313.clip.jams,54.0,108.03401
3282732.clip.jams,50.0,100.97632
3302806.clip.jams,56.0,110.99115
3314802.clip.jams,51.0,101.96203
3321908.clip.jams,184.5,94.23405
3464432.clip.jams,63.0,121.79455
3481732.clip.jams,48.0,97.112335
3491765.clip.jams,65.0,130.19283
3527529.clip.jams,69.0,136.69852
3534116.clip.jams,56.0,115.21
3566965.clip.jams,81.0,161.97217
3613117.clip.jams,64.0,127.74825
3685320.clip.jams,66.5,133.3471
3693070.clip.jams,65.0,129.99567
3732728.clip.jams,88.0,130.46881
3977338.clip.jams,75.0,149.19734
3999662.clip.jams,82.0,163.9436
4126832.clip.jams,182.0,91.000916
4132309.clip.jams,40.0,82.87865
417180.clip.jams,58.0,116.15628
4256335.clip.jams,61.0,121.1637
4274745.clip.jams,78.0,156.29446
4309440.clip.jams,50.0,99.99061
4320656.clip.jams,56.0,114.97343
4326130.clip.jams,53.5,102.39574
4349677.clip.jams,48.0,96.12662
4435579.clip.jams,57.5,113.98772
458707.clip.jams,71.0,105.74716
4690722.clip.jams,159.0,79.60609
475716.clip.jams,103.0,154.48076
480369.clip.jams,60.0,119.90198
4886691.clip.jams,63.0,126.0134
4903546.clip.jams,187.0,93.287766
497121.clip.jams,48.0,94.983185
5017139.clip.jams,77.0,153.96819
5295229.clip.jams,68.0,139.3008
5334519.clip.jams,186.5,92.93291
5334538.clip.jams,61.0,121.47912
5392058.clip.jams,85.0,168.99045
5413111.clip.jams,94.0,28.86164
5526635.clip.jams,64.5,129.2071
5567489.clip.jams,63.0,126.48654
558885.clip.jams,61.0,121.7157
5614775.clip.jams,58.0,115.01285
5840262.clip.jams,46.0,136.34366
590565.clip.jams,69.0,138.27565
601609.clip.jams,45.0,65.806114
6018930.clip.jams,54.0,81.06494
6023488.clip.jams,184.0,91.986626
6109423.clip.jams,192.5,95.259186
627986.clip.jams,63.0,124.27855
6287610.clip.jams,83.0,40.76904
6367151.clip.jams,58.0,111.93744
6372659.clip.jams,68.5,140.28651
6425639.clip.jams,68.0,134.92424
6542818.clip.jams,86.0,173.2487
6544872.clip.jams,64.0,130.62653
6730736.clip.jams,196.0,98.09804
6742944.clip.jams,60.0,119.98084
7098533.clip.jams,62.0,126.09226
721136.clip.jams,60.0,120.02027
7367094.clip.jams,139.0,71.87811
778933.clip.jams,66.0,131.29681
8204940.clip.jams,152.0,75.34782
8353136.clip.jams,90.0,179.95155
8834868.clip.jams,46.0,67.73811
8960333.clip.jams,75.0,43.84446
8994022.clip.jams,62.5,121.75513
9512051.clip.jams,67.0,132.91339
9583984.clip.jams,172.0,87.05807
9659.clip.jams,161.0,80.47351
