Item,Reference,Estimate
11173645.clip.jams,55.5,81
11612127.clip.jams,136.0,130
1245162.clip.jams,57.0,84
12937673.clip.jams,80.0,121
13851876.clip.jams,69.0,130
14600040.clip.jams,82.0,87
15416738.clip.jams,68.0,90
168499.clip.jams,56.0,84
1827592.clip.jams,80.0,120
3073826.clip.jams,74.0,114
3110264.clip.jams,68.0,71
3110842.clip.jams,37.0,146
3152092.clip.jams,50.0,75
3176577.clip.jams,83.0,121
3275471.clip.jams,64.0,121
3298709.clip.jams,59.5,90
3333416.clip.jams,54.0,82
3334405.clip.jams,74.0,77
3543133.clip.jams,160.5,120
3732728.clip.jams,88.0,130
4326130.clip.jams,53.5,84
4452630.clip.jams,70.0,90
458707.clip.jams,71.0,106
514986.clip.jams,62.0,93
5466626.clip.jams,123.0,91
555788.clip.jams,93.0,138
601609.clip.jams,45.0,67
6018930.clip.jams,54.0,81
6323633.clip.jams,42.0,63
6754341.clip.jams,112.0,84
684932.clip.jams,55.0,82
717711.clip.jams,80.5,121
8834868.clip.jams,46.0,68
