τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,
0.005,0.005304434144971947,-0.0013468405658824988,0.010047829587771177,-0.026165249481210254,-0.06332365827028844,-0.0955849593717244,-0.06615527089611754,-0.07444380941015985,-0.09022002248196227,-0.0669562535680503,-0.0927791207954838,-0.0012822023318401102,0.0020604409424479606,0.011114891946100748,0.02296525394663601,-0.00022062186197074166,-0.07776360708936583
0.01,-0.057595005569362,0.002528361213334454,0.008020660717349607,-0.08674382593697755,-0.15701958985081346,-0.23698278106459708,-0.15469974005893808,-0.14918175775364514,-0.20093794792076772,-0.14384225549458926,-0.19159973058028387,-0.039605775590703156,-0.015890409213768743,-8.341609054639764e-05,0.0033844136955227086,-0.021965519751204008,-0.1673370867577457
0.015,-0.13269384033524687,0.002369205398367593,0.006284431525093243,-0.12851594167127942,-0.25714926245919384,-0.3331246896709719,-0.2275908437913138,-0.22289001836500788,-0.27920162965499024,-0.19690084255174276,-0.28285025237163275,-0.05907457474635634,-0.026933174414313966,-0.004272736084657327,-0.008603767108875629,-0.02950612451885579,-0.2354961382741706
0.02,-0.1397601357855949,-0.0008425065169740886,0.002544387145357578,-0.12670419451056816,-0.28390229462707306,-0.36182321703217524,-0.2494706967757711,-0.2440075595283703,-0.3047810807883222,-0.20116947150280143,-0.3033189241295658,-0.06812105065408337,-0.04195014111197289,-0.0037653549743291606,-0.013735525966199008,-0.03410454138672387,-0.25907298336485324
0.025,-0.13889345703530967,-0.0007313095331159542,0.0012943871599335206,-0.1044346217655957,-0.30457584388420805,-0.38024917110301487,-0.2541411872025058,-0.24985366879281448,-0.31413504466874986,-0.19069695300882672,-0.3108492251120229,-0.07251509110078354,-0.04608239288483962,-0.0032877707891780772,-0.018533430137442217,-0.03883429933589102,-0.2662915513313746
0.03,-0.13349684984319923,0.0004256962520999796,0.002349718429840847,-0.09712745582575179,-0.3168987465738236,-0.3852103919123045,-0.2548169166307986,-0.24861781999933938,-0.31498871909341103,-0.1861079921653393,-0.3136504255767641,-0.07793195265716359,-0.04793217389288132,-0.005467771559599787,-0.01800047698943945,-0.0393557365360323,-0.2688658212876321
0.035,-0.13559988046277727,0.00017205018549054857,0.002067752153629388,-0.10023427566546857,-0.3198331354104521,-0.3872141320995539,-0.2558979242062239,-0.25014411592197766,-0.3168480279212404,-0.18640713709399312,-0.3155061211055521,-0.07889956935482913,-0.047700958240525934,-0.005596236660465015,-0.017978049387455796,-0.04069069485669018,-0.270584182537332
0.04,-0.13482186572907462,0.000171618436885079,0.0020543163445469626,-0.0973492496218358,-0.3196834220422207,-0.3873031264934246,-0.25529848650340414,-0.24963516141621514,-0.3163547806187938,-0.1850337982965886,-0.3150360269599886,-0.07981101796395004,-0.045886817379381176,-0.005559608808359036,-0.017869434252053354,-0.04047607874181147,-0.2704940118778245
0.045,-0.13482186572907462,0.000171618436885079,0.0020543163445469626,-0.0973492496218358,-0.3196834220422207,-0.3873031264934246,-0.25529848650340414,-0.24963516141621514,-0.3163547806187938,-0.1850337982965886,-0.3150360269599886,-0.07981101796395004,-0.045886817379381176,-0.005559608808359036,-0.017869434252053354,-0.04047607874181147,-0.2704940118778245
0.05,-0.13432577087148773,0.0002522466365537209,0.0021368922525893614,-0.09553770681885879,-0.3186810276152928,-0.3860951555629312,-0.25310017137188817,-0.24736985855300642,-0.3153384943770131,-0.18431217263732474,-0.3140509506787601,-0.07950335825467944,-0.04567748868629773,-0.005403114957823808,-0.017677259748058144,-0.04023897752801943,-0.26961546841025147
0.055,-0.13432577087148773,0.0002522466365537209,0.0021368922525893614,-0.09553770681885879,-0.3186810276152928,-0.3860951555629312,-0.25310017137188817,-0.24736985855300642,-0.3153384943770131,-0.18431217263732474,-0.3140509506787601,-0.07950335825467944,-0.04567748868629773,-0.005403114957823808,-0.017677259748058144,-0.04023897752801943,-0.26961546841025147
0.06,-0.13401226676446426,0.0002054387708178097,0.002102830966422798,-0.09247457084708173,-0.3185455573369334,-0.38502775996840105,-0.2514710043647122,-0.2449850437009369,-0.31458254893700044,-0.1829601673940786,-0.3139925872721833,-0.07867967937566986,-0.04555133760846676,-0.005387499018639346,-0.017626169401965493,-0.040122679905106075,-0.2664696013163629
