Item,Reference,Estimate
Albums-AnaBelen_Veneo-02.jams,224.0,100.22
Albums-AnaBelen_Veneo-15.jams,122.0,nan
Albums-Ballroom_Magic-18.jams,90.0,nan
Albums-Chrisanne2-12.jams,204.0,nan
Albums-Chrisanne3-03.jams,84.0,176.33
Albums-Fire-03.jams,108.0,96.74
Albums-Fire-09.jams,104.0,nan
Albums-GloriaEstefan_MiTierra-06.jams,120.0,132.75
Albums-GloriaEstefan_MiTierra-08.jams,120.0,89.45
Albums-GloriaEstefan_MiTierra-11.jams,120.0,86.87
Albums-Latin_Jam-13.jams,128.0,nan
Albums-Latin_Jam-14.jams,104.0,nan
Albums-Latin_Jam-15.jams,104.0,nan
Albums-Latin_Jam2-13.jams,128.0,nan
Albums-Latin_Jam2-14.jams,104.0,nan
Albums-Latin_Jam2-15.jams,104.0,nan
Albums-Latino_Latino-03.jams,202.0,99.73
Albums-Mambo_Kings-10.jams,106.0,205.27
Albums-Secret_Garden-01.jams,84.0,79.28
Albums-Secret_Garden-02.jams,94.0,85.44
Albums-Secret_Garden-05.jams,72.0,75.25
Albums-Step_By_Step-15.jams,153.0,204.08
Albums-Step_By_Step-16.jams,153.0,204.27
Albums-Step_By_Step-17.jams,153.0,204.33
Albums-Step_By_Step-18.jams,153.0,204.26
Albums-StrictlyDancing_Tango-09.jams,120.0,126.09
Albums-StrictlyDancing_Tango-13.jams,128.0,122.16
Media-100614.jams,204.0,212.21
Media-103414.jams,124.0,nan
Media-103415.jams,124.0,nan
Media-103416.jams,124.0,116.21
Media-103417.jams,124.0,111.52
Media-103606.jams,102.0,204.37
Media-103710.jams,100.0,95.99
Media-103715.jams,68.0,137.69
Media-103905.jams,102.0,203.94
Media-104418.jams,208.0,103.32
Media-104705.jams,81.0,nan
Media-105207.jams,219.0,107.93
Media-105209.jams,92.0,81.59
Media-105210.jams,80.0,89.16
Media-105211.jams,96.0,80.03
Media-105213.jams,60.0,93.02
Media-105302.jams,87.0,52.38
Media-105403.jams,102.0,204.3
Media-106009.jams,88.0,176.14
Media-106118.jams,74.0,145.34
