Item,Reference,Estimate
Albums-AnaBelen_Veneo-02.jams,224.0,98.565
Albums-AnaBelen_Veneo-11.jams,214.0,203.574
Albums-Ballroom_Classics4-01.jams,87.0,59.482
Albums-Ballroom_Classics4-02.jams,87.0,61.388
Albums-Ballroom_Classics4-03.jams,87.0,75.383
Albums-Ballroom_Classics4-05.jams,87.0,58.65
Albums-Ballroom_Magic-01.jams,84.0,71.004
Albums-Ballroom_Magic-04.jams,87.0,70.295
Albums-Ballroom_Magic-05.jams,84.0,65.956
Albums-Ballroom_Magic-07.jams,128.0,73.761
Albums-Ballroom_Magic-18.jams,90.0,61.335
Albums-Chrisanne1-01.jams,84.0,73.99
Albums-Chrisanne1-03.jams,84.0,74.455
Albums-Chrisanne1-07.jams,180.0,71.737
Albums-Chrisanne1-12.jams,200.0,92.387
Albums-Chrisanne1-13.jams,200.0,70.031
Albums-Chrisanne1-14.jams,200.0,150.915
Albums-Chrisanne2-01.jams,84.0,69.485
Albums-Chrisanne2-03.jams,84.0,59.403
Albums-Chrisanne3-01.jams,84.0,64.508
Albums-Chrisanne3-07.jams,174.0,62.323
Albums-Commitments-11.jams,91.0,133.008
Albums-Fire-03.jams,108.0,96.62
Albums-Fire-09.jams,104.0,123.738
Albums-Fire-13.jams,90.0,133.297
Albums-GloriaEstefan_MiTierra-06.jams,120.0,132.431
Albums-GloriaEstefan_MiTierra-08.jams,120.0,179.119
Albums-GloriaEstefan_MiTierra-11.jams,120.0,86.803
Albums-Secret_Garden-01.jams,84.0,78.466
Albums-Secret_Garden-02.jams,94.0,74.329
Albums-Secret_Garden-05.jams,72.0,75.035
Albums-Secret_Garden-06.jams,86.0,69.847
Albums-Step_By_Step-01.jams,87.0,61.593
Albums-Step_By_Step-02.jams,87.0,60.06
Albums-Step_By_Step-03.jams,87.0,69.253
Albums-Step_By_Step-04.jams,87.0,58.475
Albums-Step_By_Step-09.jams,180.0,68.034
Albums-Step_By_Step-15.jams,153.0,101.956
Albums-Step_By_Step-16.jams,153.0,102.864
Albums-Step_By_Step-17.jams,153.0,101.463
Albums-Step_By_Step-18.jams,153.0,101.728
Albums-StrictlyDancing_Tango-09.jams,120.0,127.13
Albums-StrictlyDancing_Tango-13.jams,128.0,121.675
Media-100601.jams,87.0,61.355
Media-100602.jams,87.0,64.986
Media-100603.jams,87.0,66.092
Media-100610.jams,177.0,66.743
Media-103416.jams,124.0,115.945
Media-103417.jams,124.0,111.987
Media-103502.jams,100.0,133.339
Media-103506.jams,92.0,61.036
Media-103709.jams,96.0,183.37
Media-103905.jams,102.0,66.489
Media-103911.jams,88.0,62.834
Media-103912.jams,92.0,59.957
Media-104201.jams,87.0,74.109
Media-104202.jams,87.0,58.217
Media-104203.jams,87.0,58.756
Media-104211.jams,180.0,82.353
Media-104301.jams,84.0,61.802
Media-104302.jams,87.0,62.925
Media-104401.jams,87.0,82.476
Media-104502.jams,87.0,65.538
Media-104503.jams,87.0,67.878
Media-104601.jams,87.0,94.672
Media-104602.jams,87.0,70.631
Media-104603.jams,87.0,60.52
Media-104604.jams,87.0,59.826
Media-104608.jams,180.0,167.416
Media-104703.jams,87.0,59.077
Media-104704.jams,84.0,71.551
Media-104705.jams,81.0,77.151
Media-104711.jams,177.0,62.659
Media-104801.jams,87.0,67.506
Media-104804.jams,87.0,67.518
Media-104901.jams,84.0,80.529
Media-104902.jams,84.0,77.48
Media-104903.jams,84.0,68.484
Media-104905.jams,84.0,73.547
Media-105001.jams,84.0,60.772
Media-105002.jams,84.0,67.933
Media-105003.jams,87.0,61.953
Media-105006.jams,84.0,59.377
Media-105007.jams,87.0,71.553
Media-105101.jams,87.0,71.804
Media-105102.jams,84.0,67.758
Media-105106.jams,87.0,63.956
Media-105110.jams,174.0,64.477
Media-105209.jams,92.0,80.37
Media-105210.jams,80.0,59.632
Media-105211.jams,96.0,78.729
Media-105212.jams,94.0,65.977
Media-105215.jams,112.0,81.128
Media-105302.jams,87.0,77.496
Media-105303.jams,87.0,63.557
Media-105304.jams,84.0,75.027
Media-105408.jams,92.0,0.0
Media-105419.jams,76.0,68.13
Media-105420.jams,124.0,184.443
Media-105503.jams,87.0,75.907
Media-105504.jams,84.0,72.903
Media-105702.jams,87.0,65.59
Media-105708.jams,177.0,111.955
Media-105802.jams,87.0,73.611
Media-105803.jams,87.0,72.513
Media-105807.jams,128.0,61.354
Media-105902.jams,84.0,65.841
Media-105911.jams,204.0,97.491
Media-106010.jams,92.0,61.212
Media-106110.jams,96.0,59.576
Media-106119.jams,84.0,55.956
