Item,Reference,Estimate
Albums-AnaBelen_Veneo-02.jams,224.0,99.384014
Albums-AnaBelen_Veneo-11.jams,214.0,105.46875
Albums-Ballroom_Classics4-03.jams,87.0,109.956782
Albums-Ballroom_Classics4-05.jams,87.0,116.134129
Albums-Ballroom_Classics4-11.jams,174.0,116.134129
Albums-Ballroom_Classics4-12.jams,174.0,86.856618
Albums-Ballroom_Classics4-13.jams,174.0,117.453835
Albums-Ballroom_Classics4-14.jams,174.0,86.856618
Albums-Ballroom_Classics4-18.jams,200.0,100.348908
Albums-Ballroom_Classics4-19.jams,204.0,101.332721
Albums-Ballroom_Classics4-20.jams,204.0,101.332721
Albums-Ballroom_Magic-01.jams,84.0,111.139113
Albums-Ballroom_Magic-05.jams,84.0,109.378062
Albums-Ballroom_Magic-09.jams,177.0,88.341346
Albums-Ballroom_Magic-10.jams,180.0,89.877717
Albums-Ballroom_Magic-11.jams,180.0,89.877717
Albums-Ballroom_Magic-15.jams,208.0,103.359375
Albums-Ballroom_Magic-16.jams,204.0,101.332721
Albums-Ballroom_Magic-17.jams,200.0,99.384014
Albums-Cafe_Paradiso-14.jams,172.0,86.132812
Albums-Cafe_Paradiso-15.jams,172.0,86.132812
Albums-Cafe_Paradiso-16.jams,172.0,86.132812
Albums-Chrisanne1-01.jams,84.0,91.468473
Albums-Chrisanne1-02.jams,84.0,124.547447
Albums-Chrisanne1-07.jams,180.0,86.856618
Albums-Chrisanne1-08.jams,180.0,101.371695
Albums-Chrisanne1-12.jams,200.0,100.348908
Albums-Chrisanne1-13.jams,200.0,102.336015
Albums-Chrisanne1-14.jams,200.0,100.840814
Albums-Chrisanne2-01.jams,84.0,143.554688
Albums-Chrisanne2-03.jams,84.0,89.102909
Albums-Chrisanne2-07.jams,174.0,86.856618
Albums-Chrisanne2-11.jams,200.0,99.384014
Albums-Chrisanne2-12.jams,204.0,102.336015
Albums-Chrisanne3-01.jams,84.0,116.134129
Albums-Chrisanne3-03.jams,84.0,87.592691
Albums-Chrisanne3-07.jams,174.0,116.134129
Albums-Chrisanne3-08.jams,180.0,90.666118
Albums-Chrisanne3-09.jams,180.0,118.803879
Albums-Chrisanne3-13.jams,204.0,101.332721
Albums-Chrisanne3-14.jams,200.0,100.348908
Albums-Chrisanne3-15.jams,204.0,104.403409
Albums-Commitments-08.jams,164.0,80.749512
Albums-Commitments-10.jams,164.0,80.749512
Albums-Fire-03.jams,108.0,96.597547
Albums-Fire-07.jams,176.0,87.592691
Albums-Fire-09.jams,104.0,123.046875
Albums-Fire-12.jams,180.0,89.877717
Albums-GloriaEstefan_MiTierra-06.jams,120.0,132.512019
Albums-GloriaEstefan_MiTierra-08.jams,120.0,89.877717
Albums-GloriaEstefan_MiTierra-11.jams,120.0,87.592691
Albums-Latin_Jam-11.jams,176.0,87.592691
Albums-Latin_Jam-12.jams,176.0,87.592691
Albums-Latin_Jam2-11.jams,176.0,87.592691
Albums-Latin_Jam2-12.jams,176.0,87.592691
Albums-Latin_Jam3-11.jams,176.0,88.341346
Albums-Latin_Jam3-12.jams,176.0,88.341346
Albums-Latin_Jam4-05.jams,176.0,87.592691
Albums-Latin_Jam4-10.jams,176.0,87.592691
Albums-Latin_Jam5-04.jams,176.0,87.592691
Albums-Latin_Jam5-09.jams,176.0,87.592691
Albums-Latino_Latino-03.jams,202.0,100.348908
Albums-Macumba-14.jams,172.0,86.132812
Albums-Macumba-15.jams,176.0,88.341346
Albums-Macumba-16.jams,168.0,84.032012
Albums-Pais_Tropical-13.jams,168.0,84.032012
Albums-Pais_Tropical-14.jams,168.0,84.032012
Albums-Pais_Tropical-15.jams,172.0,86.132812
Albums-Pais_Tropical-16.jams,172.0,85.420971
Albums-Secret_Garden-01.jams,84.0,132.512019
Albums-Secret_Garden-02.jams,94.0,108.799342
Albums-Secret_Garden-05.jams,72.0,145.576585
Albums-Secret_Garden-06.jams,86.0,118.159724
Albums-Step_By_Step-09.jams,180.0,89.877717
Albums-Step_By_Step-10.jams,180.0,89.877717
Albums-Step_By_Step-11.jams,180.0,89.877717
Albums-Step_By_Step-15.jams,153.0,102.336015
Albums-Step_By_Step-16.jams,153.0,102.336015
Albums-Step_By_Step-17.jams,153.0,102.336015
Albums-Step_By_Step-18.jams,153.0,102.336015
Albums-StrictlyDancing_Tango-09.jams,120.0,126.048018
Albums-StrictlyDancing_Tango-13.jams,128.0,121.599265
Media-100602.jams,87.0,102.336015
Media-100603.jams,87.0,111.139113
Media-100608.jams,180.0,89.877717
Media-100609.jams,174.0,86.856618
Media-100610.jams,177.0,88.341346
Media-100614.jams,204.0,105.46875
Media-100615.jams,204.0,102.336015
Media-100616.jams,204.0,104.403409
Media-103307.jams,180.0,89.877717
Media-103308.jams,180.0,88.341346
Media-103312.jams,200.0,100.348908
Media-103313.jams,204.0,102.336015
Media-103314.jams,204.0,101.332721
Media-103315.jams,180.0,90.666118
Media-103416.jams,124.0,116.134129
Media-103417.jams,124.0,112.347147
Media-103515.jams,160.0,80.123547
Media-103516.jams,168.0,83.354335
Media-103517.jams,176.0,87.592691
Media-103611.jams,172.0,84.032012
Media-103612.jams,176.0,87.592691
Media-103613.jams,176.0,86.856618
Media-103614.jams,172.0,86.132812
Media-103615.jams,76.0,149.796196
Media-103710.jams,100.0,95.703125
Media-103713.jams,176.0,88.341346
Media-103714.jams,176.0,88.341346
Media-103715.jams,68.0,135.999178
Media-103717.jams,76.0,149.796196
Media-103813.jams,172.0,86.132812
Media-103814.jams,172.0,86.132812
Media-103817.jams,76.0,151.999081
Media-103911.jams,88.0,121.599265
Media-103919.jams,160.0,79.507212
Media-103920.jams,168.0,83.354335
Media-104015.jams,164.0,82.03125
Media-104016.jams,172.0,85.420971
Media-104017.jams,172.0,85.420971
Media-104117.jams,172.0,86.132812
Media-104118.jams,172.0,86.132812
Media-104119.jams,172.0,86.132812
Media-104202.jams,87.0,90.666118
Media-104209.jams,180.0,90.666118
Media-104210.jams,177.0,89.877717
Media-104211.jams,180.0,99.91725
Media-104212.jams,180.0,89.877717
Media-104216.jams,200.0,100.348908
Media-104217.jams,204.0,102.336015
Media-104218.jams,204.0,102.336015
Media-104219.jams,204.0,102.336015
Media-104307.jams,180.0,89.877717
Media-104308.jams,180.0,89.877717
Media-104309.jams,180.0,89.877717
Media-104314.jams,208.0,104.403409
Media-104315.jams,208.0,103.359375
Media-104316.jams,208.0,104.403409
Media-104317.jams,208.0,103.359375
Media-104406.jams,180.0,92.285156
Media-104407.jams,180.0,90.666118
Media-104408.jams,180.0,89.877717
Media-104409.jams,180.0,90.666118
Media-104415.jams,208.0,102.336015
Media-104416.jams,208.0,103.359375
Media-104417.jams,208.0,103.359375
Media-104418.jams,208.0,103.359375
Media-104507.jams,180.0,89.877717
Media-104508.jams,180.0,88.341346
Media-104514.jams,208.0,104.403409
Media-104515.jams,208.0,103.359375
Media-104516.jams,208.0,104.403409
Media-104603.jams,87.0,91.109732
Media-104607.jams,180.0,91.067296
Media-104608.jams,180.0,87.592691
Media-104609.jams,180.0,89.877717
Media-104615.jams,204.0,102.336015
Media-104616.jams,204.0,101.332721
Media-104617.jams,204.0,102.336015
Media-104618.jams,204.0,102.336015
Media-104703.jams,87.0,82.6875
Media-104704.jams,84.0,103.359375
Media-104705.jams,81.0,134.232955
Media-104711.jams,177.0,127.604167
Media-104712.jams,180.0,59.745303
Media-104716.jams,200.0,99.384014
Media-104717.jams,208.0,104.403409
Media-104718.jams,208.0,104.403409
Media-104801.jams,87.0,119.4946
Media-104809.jams,180.0,90.666118
Media-104810.jams,180.0,89.877717
Media-104811.jams,180.0,89.877717
Media-104815.jams,204.0,101.332721
Media-104816.jams,208.0,104.403409
Media-104902.jams,84.0,107.666016
Media-104904.jams,84.0,169.441598
Media-104905.jams,84.0,113.581731
Media-104908.jams,180.0,88.722128
Media-104909.jams,180.0,89.102909
Media-104915.jams,204.0,102.336015
Media-104916.jams,204.0,102.336015
Media-104917.jams,204.0,101.332721
Media-104918.jams,204.0,101.332721
Media-105001.jams,84.0,103.902382
Media-105002.jams,84.0,96.597547
Media-105003.jams,87.0,104.403409
Media-105004.jams,84.0,107.666016
Media-105006.jams,84.0,166.708669
Media-105007.jams,87.0,114.84375
Media-105010.jams,180.0,89.877717
Media-105011.jams,180.0,89.877717
Media-105016.jams,200.0,100.348908
Media-105017.jams,204.0,102.336015
Media-105018.jams,200.0,100.348908
Media-105019.jams,204.0,102.336015
Media-105020.jams,204.0,102.336015
Media-105101.jams,87.0,104.403409
Media-105102.jams,84.0,113.581731
Media-105105.jams,84.0,111.139113
Media-105111.jams,177.0,88.341346
Media-105112.jams,177.0,89.102909
Media-105119.jams,204.0,101.332721
Media-105120.jams,204.0,101.332721
Media-105121.jams,200.0,101.332721
Media-105122.jams,208.0,103.359375
Media-105207.jams,219.0,107.666016
Media-105209.jams,92.0,82.6875
Media-105210.jams,80.0,89.102909
Media-105211.jams,96.0,120.18532
Media-105212.jams,94.0,101.332721
Media-105213.jams,60.0,99.384014
Media-105214.jams,88.0,102.847695
Media-105302.jams,87.0,104.93608
Media-105307.jams,177.0,89.102909
Media-105308.jams,177.0,117.453835
Media-105309.jams,177.0,88.341346
Media-105313.jams,200.0,100.348908
Media-105314.jams,200.0,100.348908
Media-105315.jams,204.0,102.336015
Media-105318.jams,177.0,89.102909
Media-105320.jams,208.0,103.359375
Media-105413.jams,160.0,80.123547
Media-105414.jams,172.0,86.132812
Media-105415.jams,172.0,85.420971
Media-105418.jams,76.0,149.796196
Media-105419.jams,76.0,149.796196
Media-105503.jams,87.0,130.834652
Media-105509.jams,177.0,88.341346
Media-105510.jams,174.0,86.856618
Media-105511.jams,177.0,88.341346
Media-105516.jams,200.0,100.348908
Media-105517.jams,200.0,100.348908
Media-105518.jams,200.0,100.348908
Media-105702.jams,87.0,94.825115
Media-105708.jams,177.0,117.453835
Media-105709.jams,177.0,117.453835
Media-105710.jams,177.0,88.341346
Media-105715.jams,204.0,102.336015
Media-105716.jams,200.0,100.348908
Media-105717.jams,204.0,102.336015
Media-105801.jams,87.0,106.556057
Media-105809.jams,177.0,88.341346
Media-105810.jams,174.0,86.856618
Media-105811.jams,177.0,88.341346
Media-105812.jams,174.0,116.134129
Media-105816.jams,204.0,102.336015
Media-105817.jams,204.0,102.336015
Media-105818.jams,204.0,102.336015
Media-105819.jams,204.0,102.336015
Media-105820.jams,204.0,102.336015
Media-105902.jams,84.0,112.347147
Media-105907.jams,177.0,88.341346
Media-105911.jams,204.0,100.348908
Media-105912.jams,204.0,102.336015
Media-105913.jams,204.0,102.336015
Media-105914.jams,200.0,98.4375
Media-106015.jams,168.0,84.032012
Media-106016.jams,172.0,86.132812
Media-106017.jams,172.0,86.132812
Media-106114.jams,168.0,84.032012
Media-106115.jams,172.0,85.420971
Media-106116.jams,172.0,86.132812
Media-106118.jams,74.0,145.576585
