Item,Reference,Estimate
Albums-AnaBelen_Veneo-02.jams,224.0,99.0
Albums-AnaBelen_Veneo-03.jams,122.0,117.0
Albums-AnaBelen_Veneo-11.jams,214.0,105.0
Albums-AnaBelen_Veneo-13.jams,135.0,91.0
Albums-Ballroom_Classics4-01.jams,87.0,129.0
Albums-Ballroom_Classics4-03.jams,87.0,105.0
Albums-Ballroom_Classics4-05.jams,87.0,117.0
Albums-Ballroom_Classics4-11.jams,174.0,88.0
Albums-Ballroom_Classics4-12.jams,174.0,88.0
Albums-Ballroom_Classics4-13.jams,174.0,94.0
Albums-Ballroom_Classics4-14.jams,174.0,88.0
Albums-Ballroom_Classics4-18.jams,200.0,99.0
Albums-Ballroom_Classics4-19.jams,204.0,101.0
Albums-Ballroom_Classics4-20.jams,204.0,101.0
Albums-Ballroom_Magic-01.jams,84.0,152.0
Albums-Ballroom_Magic-05.jams,84.0,89.0
Albums-Ballroom_Magic-09.jams,177.0,88.0
Albums-Ballroom_Magic-10.jams,180.0,91.0
Albums-Ballroom_Magic-11.jams,180.0,91.0
Albums-Ballroom_Magic-15.jams,208.0,103.0
Albums-Ballroom_Magic-16.jams,204.0,99.0
Albums-Ballroom_Magic-17.jams,200.0,99.0
Albums-Cafe_Paradiso-14.jams,172.0,86.0
Albums-Cafe_Paradiso-15.jams,172.0,85.0
Albums-Cafe_Paradiso-16.jams,172.0,161.0
Albums-Chrisanne1-07.jams,180.0,91.0
Albums-Chrisanne1-08.jams,180.0,91.0
Albums-Chrisanne1-12.jams,200.0,123.0
Albums-Chrisanne1-13.jams,200.0,103.0
Albums-Chrisanne1-14.jams,200.0,92.0
Albums-Chrisanne2-03.jams,84.0,94.0
Albums-Chrisanne2-07.jams,174.0,89.0
Albums-Chrisanne2-11.jams,200.0,101.0
Albums-Chrisanne2-12.jams,204.0,101.0
Albums-Chrisanne3-03.jams,84.0,88.0
Albums-Chrisanne3-07.jams,174.0,115.0
Albums-Chrisanne3-08.jams,180.0,89.0
Albums-Chrisanne3-09.jams,180.0,117.0
Albums-Chrisanne3-13.jams,204.0,98.0
Albums-Chrisanne3-14.jams,200.0,101.0
Albums-Chrisanne3-15.jams,204.0,101.0
Albums-Fire-03.jams,108.0,98.0
Albums-Fire-07.jams,176.0,133.0
Albums-Fire-09.jams,104.0,123.0
Albums-Fire-12.jams,180.0,89.0
Albums-GloriaEstefan_MiTierra-06.jams,120.0,133.0
Albums-GloriaEstefan_MiTierra-08.jams,120.0,91.0
Albums-GloriaEstefan_MiTierra-11.jams,120.0,88.0
Albums-Latin_Jam-11.jams,176.0,88.0
Albums-Latin_Jam-12.jams,176.0,88.0
Albums-Latin_Jam2-11.jams,176.0,88.0
Albums-Latin_Jam2-12.jams,176.0,88.0
Albums-Latin_Jam3-11.jams,176.0,88.0
Albums-Latin_Jam3-12.jams,176.0,88.0
Albums-Latin_Jam4-05.jams,176.0,88.0
Albums-Latin_Jam4-10.jams,176.0,88.0
Albums-Latin_Jam5-04.jams,176.0,88.0
Albums-Latin_Jam5-09.jams,176.0,88.0
Albums-Latino_Latino-03.jams,202.0,133.0
Albums-Latino_Latino-05.jams,115.0,110.0
Albums-Macumba-14.jams,172.0,86.0
Albums-Macumba-15.jams,176.0,88.0
Albums-Macumba-16.jams,168.0,85.0
Albums-Mambo_Kings-10.jams,106.0,101.0
Albums-Pais_Tropical-13.jams,168.0,83.0
Albums-Pais_Tropical-14.jams,168.0,83.0
Albums-Pais_Tropical-15.jams,172.0,86.0
Albums-Pais_Tropical-16.jams,172.0,86.0
Albums-Secret_Garden-01.jams,84.0,96.0
Albums-Secret_Garden-02.jams,94.0,117.0
Albums-Secret_Garden-05.jams,72.0,152.0
Albums-Secret_Garden-06.jams,86.0,103.0
Albums-Step_By_Step-04.jams,87.0,101.0
Albums-Step_By_Step-09.jams,180.0,94.0
Albums-Step_By_Step-10.jams,180.0,91.0
Albums-Step_By_Step-11.jams,180.0,91.0
Albums-Step_By_Step-15.jams,153.0,101.0
Albums-Step_By_Step-16.jams,153.0,101.0
Albums-Step_By_Step-17.jams,153.0,103.0
Albums-Step_By_Step-18.jams,153.0,99.0
Albums-StrictlyDancing_Tango-08.jams,120.0,126.0
Albums-StrictlyDancing_Tango-09.jams,120.0,126.0
Media-100602.jams,87.0,117.0
Media-100603.jams,87.0,91.0
Media-100608.jams,180.0,91.0
Media-100609.jams,174.0,88.0
Media-100610.jams,177.0,89.0
Media-100614.jams,204.0,105.0
Media-100615.jams,204.0,101.0
Media-100616.jams,204.0,103.0
Media-103307.jams,180.0,89.0
Media-103308.jams,180.0,88.0
Media-103312.jams,200.0,99.0
Media-103313.jams,204.0,101.0
Media-103314.jams,204.0,101.0
Media-103315.jams,180.0,89.0
Media-103416.jams,124.0,117.0
Media-103417.jams,124.0,112.0
Media-103516.jams,168.0,83.0
Media-103517.jams,176.0,88.0
Media-103611.jams,172.0,85.0
Media-103612.jams,176.0,88.0
Media-103613.jams,176.0,88.0
Media-103614.jams,172.0,86.0
Media-103615.jams,76.0,152.0
Media-103616.jams,80.0,157.0
Media-103713.jams,176.0,88.0
Media-103714.jams,176.0,88.0
Media-103715.jams,68.0,136.0
Media-103717.jams,76.0,152.0
Media-103813.jams,172.0,86.0
Media-103814.jams,172.0,86.0
Media-103817.jams,76.0,144.0
Media-103911.jams,88.0,101.0
Media-103920.jams,168.0,83.0
Media-104016.jams,172.0,88.0
Media-104017.jams,172.0,86.0
Media-104117.jams,172.0,86.0
Media-104118.jams,172.0,86.0
Media-104119.jams,172.0,86.0
Media-104202.jams,87.0,110.0
Media-104209.jams,180.0,89.0
Media-104210.jams,177.0,91.0
Media-104211.jams,180.0,91.0
Media-104212.jams,180.0,89.0
Media-104216.jams,200.0,99.0
Media-104217.jams,204.0,101.0
Media-104218.jams,204.0,101.0
Media-104219.jams,204.0,101.0
Media-104301.jams,84.0,108.0
Media-104302.jams,87.0,91.0
