Item,Reference,Estimate
Albums-AnaBelen_Veneo-02.jams,224.0,99.8641
Albums-Ballroom_Classics4-03.jams,87.0,77.1339
Albums-Ballroom_Magic-02.jams,87.0,83.3543
Albums-Ballroom_Magic-04.jams,87.0,80.7495
Albums-Ballroom_Magic-05.jams,84.0,78.9003
Albums-Chrisanne1-13.jams,200.0,104.933
Albums-Chrisanne1-14.jams,200.0,130.835
Albums-Chrisanne3-07.jams,174.0,116.134
Albums-Chrisanne3-09.jams,180.0,118.463
Albums-Fire-03.jams,108.0,96.5975
Albums-Fire-09.jams,104.0,123.784
Albums-GloriaEstefan_MiTierra-06.jams,120.0,132.938
Albums-GloriaEstefan_MiTierra-08.jams,120.0,89.8777
Albums-GloriaEstefan_MiTierra-11.jams,120.0,86.8566
Albums-Secret_Garden-01.jams,84.0,79.5072
Albums-Secret_Garden-02.jams,94.0,87.5927
Albums-Secret_Garden-05.jams,72.0,75.9995
Albums-Secret_Garden-06.jams,86.0,80.7495
Albums-Step_By_Step-04.jams,87.0,82.0312
Albums-Step_By_Step-15.jams,153.0,101.832
Albums-Step_By_Step-16.jams,153.0,101.832
Albums-Step_By_Step-17.jams,153.0,102.083
Albums-Step_By_Step-18.jams,153.0,101.832
Albums-StrictlyDancing_Tango-09.jams,120.0,126.048
Albums-StrictlyDancing_Tango-13.jams,128.0,122.319
Media-100604.jams,87.0,58.3951
Media-100609.jams,174.0,115.485
Media-103416.jams,124.0,116.134
Media-103417.jams,124.0,112.347
Media-103710.jams,100.0,95.7031
Media-103905.jams,102.0,109.957
Media-104202.jams,87.0,126.048
Media-104301.jams,84.0,112.347
Media-104502.jams,87.0,128.397
Media-104604.jams,87.0,92.2852
Media-104703.jams,87.0,83.0196
Media-104712.jams,180.0,119.837
Media-104903.jams,84.0,90.6661
Media-104905.jams,84.0,119.491
Media-105002.jams,84.0,78.9003
Media-105003.jams,87.0,82.6875
Media-105006.jams,84.0,78.9003
Media-105007.jams,87.0,82.0312
Media-105101.jams,87.0,96.5975
Media-105102.jams,84.0,87.5927
Media-105209.jams,92.0,80.7495
Media-105210.jams,80.0,88.3413
Media-105211.jams,96.0,87.5927
Media-105212.jams,94.0,79.5072
Media-105213.jams,60.0,93.9631
Media-105302.jams,87.0,120.185
Media-105307.jams,177.0,83.3543
Media-105504.jams,84.0,87.5927
Media-105701.jams,87.0,57.9044
Media-105801.jams,87.0,81.3853
Media-105902.jams,84.0,94.8251
