Item,Reference,Estimate
Albums-AnaBelen_Veneo-02.jams,224.0,99.754036
Albums-AnaBelen_Veneo-11.jams,214.0,105.15574
Albums-Ballroom_Classics4-19.jams,204.0,101.60717
Albums-Chrisanne1-02.jams,84.0,168.83272
Albums-Chrisanne1-14.jams,200.0,101.01575
Albums-Chrisanne3-02.jams,84.0,174.66814
Albums-Chrisanne3-03.jams,84.0,88.516914
Albums-Chrisanne3-07.jams,174.0,115.60428
Albums-Chrisanne3-09.jams,180.0,118.71913
Albums-Commitments-10.jams,164.0,80.631226
Albums-Fire-03.jams,108.0,96.71804
Albums-Fire-07.jams,176.0,87.72835
Albums-Fire-09.jams,104.0,123.68712
Albums-Fire-13.jams,90.0,133.18938
Albums-GloriaEstefan_MiTierra-06.jams,120.0,132.71625
Albums-GloriaEstefan_MiTierra-08.jams,120.0,89.50263
Albums-GloriaEstefan_MiTierra-11.jams,120.0,87.68892
Albums-Latin_Jam-12.jams,176.0,87.76778
Albums-Latino_Latino-03.jams,202.0,99.872314
Albums-Macumba-11.jams,100.0,199.98122
Albums-Pais_Tropical-16.jams,172.0,85.59922
Albums-Secret_Garden-01.jams,84.0,78.40352
Albums-Secret_Garden-02.jams,94.0,86.66378
Albums-Secret_Garden-05.jams,72.0,75.11124
Albums-Secret_Garden-06.jams,86.0,89.699776
Albums-Step_By_Step-15.jams,153.0,203.60863
Albums-Step_By_Step-16.jams,153.0,101.9226
Albums-Step_By_Step-17.jams,153.0,203.8452
Albums-Step_By_Step-18.jams,153.0,203.92406
Albums-StrictlyDancing_Tango-01.jams,112.0,56.30386
Albums-StrictlyDancing_Tango-09.jams,120.0,126.52596
Albums-StrictlyDancing_Tango-13.jams,128.0,122.26769
Media-100616.jams,204.0,103.93346
Media-103302.jams,84.0,167.17673
Media-103315.jams,180.0,120.49341
Media-103416.jams,124.0,115.95914
Media-103417.jams,124.0,111.97686
Media-103516.jams,168.0,82.91808
Media-103710.jams,100.0,95.9689
Media-103711.jams,100.0,200.61206
Media-103715.jams,68.0,137.21109
Media-103810.jams,100.0,200.06006
Media-103913.jams,100.0,200.06006
Media-104210.jams,177.0,90.015205
Media-104217.jams,204.0,101.88317
Media-104302.jams,87.0,44.238747
Media-104303.jams,87.0,65.17526
Media-104316.jams,208.0,103.93346
Media-104406.jams,180.0,92.10491
Media-104407.jams,180.0,90.646065
Media-104415.jams,208.0,102.71117
Media-104416.jams,208.0,104.09117
Media-104417.jams,208.0,103.93346
Media-104514.jams,208.0,103.8546
Media-104608.jams,180.0,117.339134
Media-104615.jams,204.0,101.96203
Media-104616.jams,204.0,101.80431
Media-104617.jams,204.0,102.001465
Media-104704.jams,84.0,80.55237
Media-104717.jams,208.0,104.44602
Media-104718.jams,208.0,104.48545
Media-104811.jams,180.0,90.13349
Media-104816.jams,208.0,104.13059
Media-104904.jams,84.0,169.14813
Media-104905.jams,84.0,42.267323
Media-105110.jams,174.0,84.889496
Media-105122.jams,208.0,103.8546
Media-105207.jams,219.0,107.16659
Media-105209.jams,92.0,82.09008
Media-105210.jams,80.0,89.108345
Media-105211.jams,96.0,78.14723
Media-105213.jams,60.0,45.815884
Media-105214.jams,88.0,63.637554
Media-105301.jams,87.0,171.435
Media-105313.jams,200.0,99.95118
Media-105316.jams,84.0,172.61784
Media-105420.jams,124.0,92.30205
Media-105506.jams,128.0,64.01213
Media-105516.jams,200.0,99.91175
Media-105812.jams,174.0,87.01865
Media-105911.jams,204.0,100.73975
Media-106111.jams,100.0,199.8235
