Estimator,Waltz,VienneseWaltz,Tango,Samba,Rumba-Misc,Rumba-International,Rumba-American,Quickstep,Jive,ChaChaCha
boeck2015/tempodetector2016_default,0.9814814814814815,0.8,0.9767441860465116,0.9518072289156626,0.9,1.0,1.0,0.16049382716049382,0.7666666666666667,0.9906542056074766
boeck2019/multi_task,0.9907407407407407,1.0,1.0,0.9518072289156626,1.0,0.9791666666666666,1.0,0.9753086419753086,0.9833333333333333,0.9906542056074766
boeck2019/multi_task_hjdb,0.9814814814814815,1.0,1.0,0.9397590361445783,1.0,0.9791666666666666,1.0,0.9753086419753086,1.0,0.9906542056074766
boeck2020/dar,1.0,1.0,1.0,0.9879518072289156,0.975,1.0,1.0,0.9876543209876543,0.9666666666666667,1.0
davies2009/mirex_qm_tempotracker,0.4166666666666667,0.676923076923077,0.9651162790697675,0.9518072289156626,0.725,0.9791666666666666,0.8571428571428571,0.012345679012345678,0.3333333333333333,1.0
echonest/version_3_2_1,0.35185185185185186,0.15384615384615385,0.7558139534883721,0.8433734939759037,0.875,0.8541666666666666,1.0,0.037037037037037035,0.5166666666666667,0.8411214953271028
gkiokas2012/default,0.8611111111111112,0.015384615384615385,0.6744186046511628,0.9156626506024096,0.975,1.0,1.0,0.0,0.0,0.9906542056074766
klapuri2006/percival2014,0.6296296296296297,0.015384615384615385,1.0,0.9759036144578314,0.85,1.0,1.0,0.0,0.13333333333333333,1.0
oliveira2010/ibt,0.6296296296296297,0.0,0.9883720930232558,0.9397590361445783,0.825,1.0,0.8571428571428571,0.0,0.23333333333333334,1.0
percival2014/stem,0.7685185185185185,0.0,0.9186046511627907,0.9879518072289156,0.975,1.0,0.8571428571428571,0.0,0.06666666666666667,1.0
scheirer1998/percival2014,0.4074074074074074,0.5384615384615384,0.7674418604651163,0.5783132530120482,0.75,0.5625,1.0,0.0,0.4666666666666667,0.8037383177570093
schreiber2014/default,0.8981481481481481,0.0,0.8604651162790697,0.9879518072289156,1.0,1.0,0.5714285714285714,0.0,0.11666666666666667,0.9813084112149533
schreiber2017/ismir2017,0.8796296296296297,0.7230769230769231,0.9651162790697675,0.9759036144578314,0.9,0.9375,1.0,0.5679012345679012,0.7666666666666667,1.0
schreiber2017/mirex2017,0.8888888888888888,0.8461538461538461,0.9767441860465116,0.9879518072289156,0.925,0.9583333333333334,1.0,0.7283950617283951,0.9,1.0
schreiber2018/cnn,0.9444444444444444,0.9076923076923077,1.0,0.9518072289156626,0.975,1.0,1.0,0.9753086419753086,0.95,1.0
schreiber2018/fcn,0.9444444444444444,0.9384615384615385,0.9883720930232558,0.9036144578313253,1.0,1.0,1.0,0.8024691358024691,0.95,1.0
schreiber2018/ismir2018,0.9907407407407407,0.8615384615384616,1.0,0.9518072289156626,1.0,1.0,1.0,0.8148148148148148,0.8666666666666667,1.0
sun2021/default,0.9444444444444444,0.9384615384615385,1.0,0.9397590361445783,1.0,1.0,1.0,0.9876543209876543,0.9833333333333333,1.0
zplane/auftakt_v3,0.7685185185185185,0.0,0.9767441860465116,0.927710843373494,0.925,1.0,1.0,0.0,0.2,1.0
