Item,Reference,Estimate
Albums-Chrisanne3-03.jams,86.9565217391305,176.33
Albums-Mambo_Kings-10.jams,103.44827586206864,205.27
Media-103606.jams,102.04081632653045,204.37
Media-103715.jams,68.84701978907452,137.69
Media-103905.jams,105.73077616557376,203.94
Media-104418.jams,206.8965517241376,103.32
Media-105207.jams,214.28571428571377,107.93
Media-105302.jams,83.33333333333347,52.38
Media-105403.jams,101.86757215619703,204.3
Media-106009.jams,87.97653958944294,176.14
Media-106118.jams,73.17073170731705,145.34
