Item,Reference,Estimate
Albums-Ballroom_Classics4-01.jams,86.94794955338527,59.482
Albums-Ballroom_Classics4-02.jams,86.9565217391305,61.388
Albums-Ballroom_Classics4-03.jams,86.95937955201542,75.383
Albums-Ballroom_Classics4-05.jams,86.95652173913027,58.65
Albums-Ballroom_Classics4-07.jams,128.2051282051282,66.249
Albums-Ballroom_Classics4-08.jams,128.3967392132996,63.94
Albums-Ballroom_Classics4-11.jams,174.41860465116218,58.006
Albums-Ballroom_Classics4-12.jams,171.42857142857247,86.334
Albums-Ballroom_Classics4-13.jams,174.92711370262393,57.728
Albums-Ballroom_Classics4-18.jams,199.96977056978204,100.104
Albums-Ballroom_Classics4-19.jams,200.0000000000007,101.896
Albums-Ballroom_Classics4-20.jams,200.0000000000019,100.924
Albums-Ballroom_Magic-01.jams,83.33333333333347,71.004
Albums-Ballroom_Magic-04.jams,87.27277343353305,70.295
Albums-Ballroom_Magic-05.jams,84.50434335142262,65.956
Albums-Ballroom_Magic-07.jams,127.65957446808541,73.761
Albums-Ballroom_Magic-09.jams,176.9911504424778,87.189
Albums-Ballroom_Magic-10.jams,179.10447761194033,60.033
Albums-Ballroom_Magic-11.jams,179.10447761194175,89.91
Albums-Ballroom_Magic-15.jams,208.33333333333314,103.27
Albums-Ballroom_Magic-16.jams,203.38983050847585,101.685
Albums-Ballroom_Magic-17.jams,199.99999999999952,100.024
Albums-Cafe_Paradiso-04.jams,99.99999999999999,199.044
Albums-Cafe_Paradiso-06.jams,122.44897959183713,61.66
Albums-Cafe_Paradiso-11.jams,95.23809523809538,191.558
Albums-Cafe_Paradiso-15.jams,171.42857142857162,85.917
Albums-Cafe_Paradiso-16.jams,171.42857142857162,85.781
Albums-Chrisanne1-01.jams,84.03201212947215,73.99
Albums-Chrisanne1-03.jams,83.10249307479229,74.455
Albums-Chrisanne1-07.jams,179.6407185628735,71.737
Albums-Chrisanne1-08.jams,178.5714285714284,59.9
Albums-Chrisanne1-12.jams,199.33554817275797,92.387
Albums-Chrisanne1-13.jams,203.43913470358837,70.031
Albums-Chrisanne1-14.jams,198.675496688742,150.915
Albums-Chrisanne2-01.jams,87.01999124962128,69.485
Albums-Chrisanne2-03.jams,82.19178082191782,59.403
Albums-Chrisanne2-07.jams,171.42857142857247,86.197
Albums-Chrisanne2-11.jams,199.33554817275737,99.584
Albums-Chrisanne3-01.jams,83.7407717630559,64.508
Albums-Chrisanne3-07.jams,174.41860465116218,62.323
Albums-Chrisanne3-08.jams,176.4705882352942,89.528
Albums-Chrisanne3-09.jams,178.04154302670636,59.29
Albums-Chrisanne3-13.jams,202.02020202020162,101.382
Albums-Chrisanne3-14.jams,200.0000000000001,99.877
Albums-Chrisanne3-15.jams,205.4986014278927,99.71
Albums-Commitments-10.jams,162.16216216216174,80.549
Albums-Commitments-11.jams,88.2352941176471,133.008
Albums-Fire-07.jams,174.92711370262393,87.659
Albums-Fire-13.jams,88.2352941176471,133.297
Albums-Fire-14.jams,124.99999999999989,61.873
Albums-GloriaEstefan_MiTierra-08.jams,89.55223880597039,179.119
Albums-Latin_Jam-07.jams,124.99999999999989,61.876
Albums-Latin_Jam2-12.jams,174.92711370262393,87.816
Albums-Latin_Jam3-11.jams,176.4705882352942,87.95
Albums-Latin_Jam3-12.jams,176.4705882352942,88.108
Albums-Latin_Jam4-05.jams,174.92711370262393,87.653
Albums-Latin_Jam4-10.jams,176.4705882352942,87.792
Albums-Latin_Jam5-04.jams,176.4705882352942,87.595
Albums-Latin_Jam5-09.jams,176.4705882352942,87.771
Albums-Macumba-05.jams,100.00000000000006,199.73
Albums-Macumba-06.jams,99.99999999999999,199.927
Albums-Macumba-07.jams,100.00000000000003,199.513
Albums-Macumba-09.jams,96.00614439324116,191.447
Albums-Macumba-10.jams,96.77419354838695,191.639
Albums-Macumba-16.jams,168.06722689075661,83.072
Albums-Pais_Tropical-13.jams,166.66666666666694,83.669
Albums-Pais_Tropical-16.jams,171.4285714285715,85.689
Albums-Secret_Garden-02.jams,86.45533141210386,74.329
Albums-Secret_Garden-06.jams,89.5492080330728,69.847
Albums-Step_By_Step-01.jams,86.95652173913041,61.593
Albums-Step_By_Step-02.jams,86.58008658008686,60.06
Albums-Step_By_Step-03.jams,86.9565217391305,69.253
Albums-Step_By_Step-04.jams,88.2352941176471,58.475
Albums-Step_By_Step-07.jams,127.65341586977691,64.093
Albums-Step_By_Step-08.jams,127.65957446808541,63.635
Albums-Step_By_Step-09.jams,180.1801801801796,68.034
Albums-Step_By_Step-11.jams,180.18018018017912,90.004
Albums-Step_By_Step-15.jams,206.8965517241376,101.956
Albums-Step_By_Step-16.jams,204.0816326530609,102.864
Albums-Step_By_Step-17.jams,204.08163265306274,101.463
Albums-Step_By_Step-18.jams,203.38983050847463,101.728
Albums-StrictlyDancing_Tango-10.jams,121.22448979591812,59.928
Albums-StrictlyDancing_Tango-14.jams,128.4777857936257,64.135
Media-100601.jams,86.70861189022844,61.355
Media-100602.jams,86.95937955201542,64.986
Media-100603.jams,86.95652173913047,66.092
Media-100604.jams,86.95652173913032,43.201
Media-100605.jams,127.65957446808517,63.999
Media-100606.jams,127.65957446808541,64.006
Media-100607.jams,127.65957446808517,63.951
Media-100610.jams,176.4705882352942,66.743
Media-100614.jams,212.0141342756186,105.357
Media-100615.jams,204.77815699658692,102.712
Media-103302.jams,83.33333333333347,167.07
Media-103305.jams,127.65957446808541,64.495
Media-103307.jams,179.10607356715144,90.532
Media-103312.jams,200.0000000000001,97.875
Media-103313.jams,204.77815699658723,66.367
Media-103314.jams,199.99999999999997,101.333
Media-103315.jams,180.1801801801802,60.051
Media-103401.jams,124.99999999999989,61.969
Media-103410.jams,124.99999999999989,62.091
Media-103413.jams,124.99999999999989,62.017
Media-103501.jams,99.99999999999991,198.986
Media-103502.jams,100.25069653435779,133.339
Media-103503.jams,99.66777408637869,199.13
Media-103506.jams,91.60305343511435,61.036
Media-103517.jams,174.92711370262393,86.739
Media-103612.jams,175.9542489392444,87.937
Media-103613.jams,174.41860465116218,87.071
Media-103618.jams,88.36543466944298,177.015
Media-103619.jams,133.33333333333354,66.992
Media-103702.jams,124.99999999999989,61.875
Media-103709.jams,92.3076923076924,183.37
Media-103714.jams,176.4705882352942,87.842
Media-103715.jams,68.84701978907452,137.565
Media-103718.jams,124.99999999999989,61.626
Media-103802.jams,123.96694214876034,61.876
Media-103803.jams,124.99999999999989,62.12
Media-103819.jams,130.43478260869642,65.852
Media-103905.jams,105.73077616557376,66.489
Media-103906.jams,124.99999999999989,62.005
Media-103907.jams,123.96694214875988,61.149
Media-103908.jams,124.99999999999989,62.537
Media-103911.jams,84.50704225352102,62.834
Media-103912.jams,90.36144578313244,59.957
Media-104015.jams,163.93442622950815,82.169
Media-104017.jams,171.42857142857144,85.934
Media-104108.jams,124.99999999999989,62.217
Media-104109.jams,124.99999999999989,62.092
Media-104110.jams,124.99999999999989,62.419
Media-104201.jams,86.9565217391305,74.109
Media-104202.jams,87.08272859216255,58.217
Media-104203.jams,86.95652173913027,58.756
Media-104205.jams,86.95652173913072,174.03
Media-104209.jams,179.64071856287444,60.535
Media-104210.jams,180.18018018017912,60.486
Media-104211.jams,176.4705882352942,82.353
Media-104212.jams,180.18018018017912,90.043
Media-104216.jams,199.99999999999952,99.825
Media-104217.jams,206.896551724136,102.054
Media-104218.jams,204.77815699658674,102.073
Media-104219.jams,206.89655172413728,102.139
Media-104301.jams,83.68200836820077,61.802
Media-104302.jams,86.95652173913027,62.925
Media-104306.jams,127.65957446808511,63.427
Media-104307.jams,181.8181818181808,59.949
Media-104309.jams,179.64071856287444,89.776
Media-104314.jams,207.61245674740505,103.568
Media-104315.jams,207.627118526764,102.685
Media-104316.jams,206.89655172413853,104.091
Media-104317.jams,206.91273087270744,103.292
Media-104401.jams,87.33826247487636,82.476
Media-104402.jams,85.71428571428581,168.995
Media-104406.jams,184.04907975460094,92.333
Media-104407.jams,181.81818181818178,90.696
Media-104408.jams,180.18018018017912,89.761
Media-104409.jams,180.18018018018105,90.527
Media-104415.jams,204.79876128971125,102.681
Media-104416.jams,207.9728950403691,103.663
Media-104417.jams,206.8965517241379,103.414
Media-104418.jams,206.8965517241376,102.826
Media-104502.jams,86.45533141210342,65.538
Media-104503.jams,86.95652173913027,67.878
Media-104507.jams,179.3725980874081,59.641
Media-104514.jams,206.89655172413853,103.863
Media-104515.jams,209.05923344947547,103.411
Media-104516.jams,206.89655172413853,104.168
Media-104601.jams,88.89376646180851,94.672
Media-104602.jams,84.26751599334267,70.631
Media-104603.jams,85.71428571428581,60.52
Media-104604.jams,86.95652173913027,59.826
Media-104607.jams,181.8181818181808,91.055
Media-104608.jams,174.92711370262393,167.416
Media-104609.jams,181.8181818181808,90.273
Media-104615.jams,204.04071554943266,101.204
Media-104616.jams,200.0000000000007,101.396
Media-104617.jams,204.0816326530609,101.982
Media-104618.jams,204.0816326530609,101.934
Media-104702.jams,88.2352941176471,171.491
Media-104703.jams,82.64462809917366,59.077
Media-104704.jams,80.32786879978515,71.551
Media-104706.jams,127.65957446808541,63.054
Media-104707.jams,127.65957446808541,63.924
Media-104711.jams,171.42857142857162,62.659
Media-104712.jams,179.64071856287444,59.648
Media-104716.jams,199.99999999999952,100.747
Media-104717.jams,207.97289504036974,104.057
Media-104718.jams,208.33333333333314,103.971
Media-104801.jams,85.71428571428581,67.506
Media-104804.jams,86.95652173913027,67.518
Media-104808.jams,131.57894736842107,65.788
Media-104809.jams,179.64071856287444,59.707
Media-104810.jams,180.18018018018057,89.89
Media-104811.jams,180.1801801801801,60.033
Media-104815.jams,204.0816326530609,102.03
Media-104816.jams,206.89655172413853,102.842
Media-104902.jams,85.71428571428564,77.48
Media-104903.jams,84.21056778606001,68.484
Media-104905.jams,84.86562942008477,73.547
Media-104906.jams,127.65957446808493,63.07
Media-104909.jams,176.992690567351,89.103
Media-104915.jams,204.0816326530609,101.595
Media-104916.jams,204.0816326530609,102.052
Media-104917.jams,202.02020202020222,101.922
Media-104918.jams,202.70270270270314,100.98
Media-105001.jams,84.50704225352102,60.772
Media-105002.jams,82.98833262328965,67.933
Media-105003.jams,84.50704225352123,61.953
Media-105006.jams,83.91624806347141,59.377
Media-105007.jams,85.95988538681944,71.553
Media-105011.jams,180.18018018017912,90.468
Media-105016.jams,200.0,100.389
Media-105017.jams,206.896551724136,102.481
Media-105018.jams,200.0000000000001,100.099
Media-105019.jams,204.0816326530609,102.035
Media-105020.jams,205.4794520547937,102.605
Media-105101.jams,84.50704225352102,71.804
Media-105102.jams,83.79888268156432,67.758
Media-105106.jams,85.22727272727276,63.956
Media-105110.jams,171.42857142857073,64.477
Media-105111.jams,181.8181818181813,88.072
Media-105112.jams,178.86350350893457,89.304
Media-105119.jams,204.0816326530609,101.424
Media-105120.jams,202.70270270270314,101.786
