Item,Reference,Estimate
Albums-AnaBelen_Veneo-13.jams,133.3400521904075,91.0
Albums-Ballroom_Classics4-01.jams,86.94794955338527,129.0
Albums-Ballroom_Classics4-03.jams,86.95937955201542,105.0
Albums-Ballroom_Classics4-05.jams,86.95652173913027,117.0
Albums-Ballroom_Classics4-13.jams,174.92711370262393,94.0
Albums-Ballroom_Magic-01.jams,83.33333333333347,152.0
Albums-Ballroom_Magic-05.jams,84.50434335142262,89.0
Albums-Cafe_Paradiso-16.jams,171.42857142857162,161.0
Albums-Chrisanne1-12.jams,199.33554817275797,123.0
Albums-Chrisanne1-14.jams,198.675496688742,92.0
Albums-Chrisanne2-03.jams,82.19178082191782,94.0
Albums-Chrisanne3-07.jams,174.41860465116218,115.0
Albums-Chrisanne3-09.jams,178.04154302670636,117.0
Albums-Fire-07.jams,174.92711370262393,133.0
Albums-Latino_Latino-03.jams,99.99999999999991,133.0
Albums-Secret_Garden-01.jams,79.15581058996139,96.0
Albums-Secret_Garden-02.jams,86.45533141210386,117.0
Albums-Secret_Garden-06.jams,89.5492080330728,103.0
Albums-Step_By_Step-04.jams,88.2352941176471,101.0
Albums-Step_By_Step-09.jams,180.1801801801796,94.0
Media-100602.jams,86.95937955201542,117.0
Media-100603.jams,86.95652173913047,91.0
Media-103817.jams,75.94936708860763,144.0
Media-103905.jams,105.73077616557376,99.0
Media-103911.jams,84.50704225352102,101.0
Media-104202.jams,87.08272859216255,110.0
Media-104301.jams,83.68200836820077,108.0
Media-104302.jams,86.95652173913027,91.0
Media-104305.jams,127.38853503184711,96.0
Media-104315.jams,207.627118526764,108.0
Media-104501.jams,84.86562942008477,98.0
Media-104507.jams,179.3725980874081,108.0
Media-104601.jams,88.89376646180851,148.0
Media-104608.jams,174.92711370262393,120.0
Media-104618.jams,204.0816326530609,96.0
Media-104703.jams,82.64462809917366,88.0
Media-104704.jams,80.32786879978515,99.0
Media-104711.jams,171.42857142857162,101.0
Media-104801.jams,85.71428571428581,108.0
Media-104804.jams,86.95652173913027,91.0
Media-104901.jams,81.07611232058137,152.0
Media-104903.jams,84.21056778606001,126.0
Media-104905.jams,84.86562942008477,110.0
Media-105003.jams,84.50704225352123,110.0
Media-105004.jams,82.53094910591469,148.0
Media-105006.jams,83.91624806347141,91.0
Media-105007.jams,85.95988538681944,110.0
Media-105101.jams,84.50704225352102,94.0
Media-105102.jams,83.79888268156432,133.0
Media-105103.jams,83.79888268156422,110.0
Media-105211.jams,78.7689733731266,115.0
Media-105212.jams,93.74999999999991,126.0
Media-105302.jams,83.33333333333347,96.0
Media-105303.jams,86.9565217391305,91.0
Media-105304.jams,84.50704225352102,115.0
Media-105307.jams,176.7308693388864,92.0
Media-105504.jams,84.50434335142268,91.0
Media-105702.jams,87.2727734335331,140.0
Media-105709.jams,176.4705882352942,92.0
Media-105801.jams,86.9565217391305,94.0
Media-105812.jams,172.91857543247403,99.0
Media-105911.jams,202.02020202020222,94.0
Media-105912.jams,206.84803016914358,96.0
Media-105913.jams,204.77815699658663,108.0
Media-106108.jams,102.04081632653045,94.0
