Item,Reference,Estimate
Albums-AnaBelen_Veneo-03.jams,119.76047904191587,64.8418
Albums-AnaBelen_Veneo-11.jams,210.52631578947359,105.611
Albums-Ballroom_Classics4-01.jams,86.94794955338527,110.4
Albums-Ballroom_Classics4-02.jams,86.9565217391305,173.931
Albums-Ballroom_Classics4-03.jams,86.95937955201542,92.4551
Albums-Ballroom_Classics4-05.jams,86.95652173913027,114.134
Albums-Ballroom_Classics4-07.jams,128.2051282051282,0.0
Albums-Ballroom_Classics4-08.jams,128.3967392132996,64.1269
Albums-Ballroom_Classics4-11.jams,174.41860465116218,87.4695
Albums-Ballroom_Classics4-12.jams,171.42857142857247,87.4695
Albums-Ballroom_Classics4-13.jams,174.92711370262393,115.406
Albums-Ballroom_Classics4-18.jams,199.96977056978204,99.916
Albums-Ballroom_Classics4-19.jams,200.0000000000007,102.156
Albums-Ballroom_Classics4-20.jams,200.0000000000019,102.156
Albums-Ballroom_Magic-01.jams,83.33333333333347,0.0
Albums-Ballroom_Magic-02.jams,86.95652173913038,145.66
Albums-Ballroom_Magic-04.jams,87.27277343353305,181.818
Albums-Ballroom_Magic-05.jams,84.50434335142262,157.414
Albums-Ballroom_Magic-09.jams,176.9911504424778,88.4446
Albums-Ballroom_Magic-10.jams,179.10447761194033,120.639
Albums-Ballroom_Magic-15.jams,208.33333333333314,104.447
Albums-Ballroom_Magic-16.jams,203.38983050847585,102.156
Albums-Ballroom_Magic-17.jams,199.99999999999952,99.916
Albums-Cafe_Paradiso-02.jams,100.00000000000006,134.783
Albums-Cafe_Paradiso-04.jams,99.99999999999999,80.0456
Albums-Cafe_Paradiso-07.jams,124.99999999999989,0.0
Albums-Cafe_Paradiso-08.jams,124.99999999999989,0.0
Albums-Cafe_Paradiso-10.jams,95.23809523809538,0.0
Albums-Cafe_Paradiso-11.jams,95.23809523809538,64.1269
Albums-Cafe_Paradiso-12.jams,95.23809523809538,64.1269
Albums-Cafe_Paradiso-16.jams,171.42857142857162,128.937
Albums-Chrisanne1-01.jams,84.03201212947215,134.783
Albums-Chrisanne1-02.jams,83.69180159296194,170.117
Albums-Chrisanne1-03.jams,83.10249307479229,119.309
Albums-Chrisanne1-12.jams,199.33554817275797,103.295
Albums-Chrisanne1-13.jams,203.43913470358837,102.156
Albums-Chrisanne1-14.jams,198.675496688742,147.284
Albums-Chrisanne2-04.jams,133.33333333333354,0.0
Albums-Chrisanne2-07.jams,171.42857142857247,0.0
Albums-Chrisanne2-11.jams,199.33554817275737,105.611
Albums-Chrisanne3-02.jams,84.50704225352102,0.0
Albums-Chrisanne3-07.jams,174.41860465116218,87.4695
Albums-Chrisanne3-09.jams,178.04154302670636,119.309
Albums-Chrisanne3-13.jams,202.02020202020162,102.156
Albums-Chrisanne3-14.jams,200.0000000000001,99.916
Albums-Chrisanne3-15.jams,205.4986014278927,102.156
Albums-Commitments-10.jams,162.16216216216174,80.938
Albums-Commitments-11.jams,88.2352941176471,67.0347
Albums-Fire-07.jams,174.92711370262393,88.4446
Albums-Fire-12.jams,179.64071856287444,90.4276
Albums-Fire-13.jams,88.2352941176471,179.814
Albums-GloriaEstefan_MiTierra-08.jams,89.55223880597039,120.639
Albums-Latin_Jam-01.jams,127.65957446808493,63.4199
Albums-Latin_Jam-02.jams,103.45636525796671,69.3018
Albums-Latin_Jam-03.jams,103.44827586206895,0.0
Albums-Latin_Jam-04.jams,127.65957446808517,0.0
Albums-Latin_Jam-05.jams,103.44827586206895,69.3018
Albums-Latin_Jam-06.jams,103.80622837370188,139.342
Albums-Latin_Jam-08.jams,103.44827586206927,0.0
Albums-Latin_Jam-09.jams,103.80622837370252,139.342
Albums-Latin_Jam-12.jams,176.4470527932608,88.4446
Albums-Latin_Jam2-01.jams,101.69491525423732,0.0
Albums-Latin_Jam2-03.jams,103.44827586206895,0.0
Albums-Latin_Jam2-04.jams,127.65957446808541,85.5513
Albums-Latin_Jam2-05.jams,127.65957446808493,63.4199
Albums-Latin_Jam2-06.jams,127.65957446808517,64.1269
Albums-Latin_Jam2-07.jams,103.44827586206895,69.3018
Albums-Latin_Jam2-08.jams,103.44827586206895,69.3018
Albums-Latin_Jam2-09.jams,103.98613518197574,69.3018
Albums-Latin_Jam2-11.jams,175.44459644322797,88.4446
Albums-Latin_Jam3-04.jams,99.99999999999976,134.783
Albums-Latin_Jam3-05.jams,100.00000000000003,150.586
Albums-Latin_Jam3-06.jams,100.00000000000003,150.586
Albums-Latin_Jam3-08.jams,103.44827586206897,0.0
Albums-Latin_Jam3-11.jams,176.4705882352942,88.4446
Albums-Latin_Jam3-12.jams,176.4705882352942,88.4446
Albums-Latin_Jam4-02.jams,103.44827586206895,139.342
Albums-Latin_Jam4-03.jams,103.44827586206895,69.3018
Albums-Latin_Jam4-05.jams,174.92711370262393,88.4446
Albums-Latin_Jam4-06.jams,127.65957446808517,85.5513
Albums-Latin_Jam4-07.jams,103.44827586206895,139.342
Albums-Latin_Jam4-08.jams,103.44827586206895,69.3018
Albums-Latin_Jam4-11.jams,127.65957446808541,85.5513
Albums-Latin_Jam4-12.jams,103.44827586206895,0.0
Albums-Latin_Jam4-13.jams,103.44827586206895,69.3018
Albums-Latin_Jam5-01.jams,99.99999999999991,80.0456
Albums-Latin_Jam5-06.jams,99.99999999999976,80.0456
Albums-Latin_Jam5-10.jams,99.99999999999976,80.0456
Albums-Latin_Jam5-12.jams,103.44827586206897,69.3018
Albums-Latino_Latino-03.jams,99.99999999999991,80.0456
Albums-Latino_Latino-06.jams,105.26315789473679,70.8556
Albums-Macumba-02.jams,124.99999999999989,0.0
Albums-Macumba-03.jams,124.99999999999989,0.0
Albums-Macumba-06.jams,99.99999999999999,150.586
Albums-Macumba-07.jams,100.00000000000003,80.0456
Albums-Macumba-08.jams,99.66777408637874,150.586
Albums-Macumba-09.jams,96.00614439324116,64.1269
Albums-Macumba-11.jams,99.99999999999999,150.586
Albums-Macumba-15.jams,176.4705882352942,88.4446
Albums-Mambo_Kings-10.jams,103.44827586206864,68.5377
Albums-Mambo_Kings-11.jams,116.05415860734942,77.4271
