τ,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,
0.005,0.006836244540896409,-0.02463343908528587,-0.06179184787436398,-0.09405314897579993,-0.06462346050019316,-0.07291199901423544,-0.0886882120860378,-0.06521619077551047,-0.09124731039955933,-0.07403610545766004,-0.07403610545766004,0.012646702342025237,0.0244970643425605,0.0013111885339537415,-0.07623179669344135
0.01,-0.05096195127994287,-0.08011077164755848,-0.15038653556139434,-0.23034972677517798,-0.148066685769519,-0.14254870346422605,-0.19430489363134862,-0.1366881539390746,-0.18496667629086472,-0.15728403049565404,-0.165571323219916,0.006549638198872741,0.010017467984941847,-0.015332465461784872,-0.16070403246832654
0.015,-0.12855634456871506,-0.12437844590474763,-0.2530045962337767,-0.3289871939044402,-0.22345334802478203,-0.2187525225984761,-0.27506413388845846,-0.19232125868947333,-0.278712756605101,-0.23937626246116547,-0.25294215390129543,-0.00013524031812551577,-0.004466271342343817,-0.025368628752323975,-0.2313586425076388
0.02,-0.1350939462534034,-0.12203800497837669,-0.27922908100155114,-0.35715702749998374,-0.24480450724357966,-0.2393413699961789,-0.3001148912561307,-0.19600304134480778,-0.29865273459737424,-0.2809390902613003,-0.2942281267780894,0.0009008345578623387,-0.009069336434007513,-0.029438351854532373,-0.2544067938326617
0.025,-0.13448708281806773,-0.10002824754835384,-0.30016342132379564,-0.37584279688577293,-0.24973481298526387,-0.24544729457557254,-0.309728670451508,-0.1848662465489142,-0.3064428508947809,-0.29386394736124943,-0.3167298009291603,0.0011186034280638634,-0.014127055920200278,-0.03442792511864908,-0.2618851771141327
0.03,-0.1286575035095285,-0.09228810949208108,-0.3120529089005767,-0.3803710455786336,-0.2499775702971279,-0.24377847366566857,-0.3101493727597402,-0.17983535385342206,-0.3088110792430933,-0.29681000137350294,-0.32188374760084176,-0.0006284252259290101,-0.013161130655768672,-0.034516390202361524,-0.26402647495396137
0.035,-0.1305327441845175,-0.09516713938720886,-0.3147592313037331,-0.38214699582129413,-0.2508307879279642,-0.24507697964371788,-0.3117808916429807,-0.17990597036944764,-0.3104389848272923,-0.29936657974632225,-0.3256823691354096,-0.0005291003822052399,-0.012910913109196022,-0.03562355857843041,-0.26551704625907224
0.04,-0.12978236803641952,-0.09230975192918071,-0.31463723615705896,-0.3822636288007695,-0.2502589888107491,-0.24459566372356004,-0.31131528292613875,-0.17854765207260323,-0.3099965292673335,-0.2998446580951788,-0.32600744870874826,-0.0005201111157039114,-0.012829936559398234,-0.03543658104915635,-0.2654545141851694
0.045,-0.12978236803641952,-0.09230975192918071,-0.31463723615705896,-0.3822636288007695,-0.2502589888107491,-0.24459566372356004,-0.31131528292613875,-0.17854765207260323,-0.3099965292673335,-0.2998446580951788,-0.32600744870874826,-0.0005201111157039114,-0.012829936559398234,-0.03543658104915635,-0.2654545141851694
0.05,-0.12936026942881776,-0.09057220537618885,-0.3137089647909072,-0.38112965412026123,-0.24813466992921818,-0.2424043571103365,-0.31037299293434323,-0.1779104563187422,-0.3090854492360901,-0.29750933350602304,-0.3235962899439009,-0.00043761351515381734,-0.01271175830538816,-0.03527347608534944,-0.2646499669675815
0.055,-0.12936026942881776,-0.09057220537618885,-0.3137089647909072,-0.38112965412026123,-0.24813466992921818,-0.2424043571103365,-0.31037299293434323,-0.1779104563187422,-0.3090854492360901,-0.29750933350602304,-0.3235962899439009,-0.00043761351515381734,-0.01271175830538816,-0.03527347608534944,-0.2646499669675815
0.06,-0.1289753927974278,-0.08743769688004531,-0.31350203769040863,-0.37999088600136466,-0.24643413039767578,-0.23994816973390046,-0.30954567496996394,-0.1764858810956056,-0.3089557133051469,-0.2959698558694273,-0.3234265031846523,-0.00035062505160288676,-0.012589295434929036,-0.03508580593806962,-0.26143272734932643
