Item,Reference,Estimate
Albums-AnaBelen_Veneo-15.jams,120.0,nan
Albums-Ballroom_Magic-18.jams,89.55223880597016,nan
Albums-Chrisanne2-12.jams,206.84803016914358,nan
Albums-Chrisanne3-03.jams,86.9565217391305,176.66
Albums-Fire-09.jams,123.71134020618571,nan
Albums-Latin_Jam-13.jams,127.65957446808517,nan
Albums-Latin_Jam-14.jams,103.44827586206927,nan
Albums-Latin_Jam-15.jams,103.44827586206927,nan
Albums-Latin_Jam2-13.jams,127.65957446808493,nan
Albums-Latin_Jam2-14.jams,103.44827586206927,nan
Albums-Latin_Jam2-15.jams,103.44827586206895,nan
Albums-Mambo_Kings-10.jams,103.44827586206864,205.15
Albums-Step_By_Step-16.jams,204.0816326530609,101.5
Media-103414.jams,124.99999999999989,nan
Media-103415.jams,120.0,nan
Media-103606.jams,102.04081632653045,204.11
Media-103614.jams,171.42857142857162,85.73
Media-103715.jams,68.84701978907452,138.04
Media-103905.jams,105.73077616557376,204.17
Media-104705.jams,78.94736842105266,nan
Media-105207.jams,214.28571428571377,107.22
Media-105403.jams,101.86757215619703,204.08
Media-106009.jams,87.97653958944294,175.92
