Item,Reference,Estimate
Albums-Ballroom_Magic-04.jams,86.8935604570563,57.72328
Albums-Chrisanne3-01.jams,84.11231483335521,112.60772
Albums-Chrisanne3-07.jams,173.74517374517382,115.60428
Albums-Chrisanne3-09.jams,178.7487586891755,118.79798
Albums-Fire-13.jams,88.66995073891628,66.59469
Media-103308.jams,174.7572815533979,117.18142
Media-103315.jams,180.722891566265,119.7837
Media-104302.jams,86.83068017366135,65.45126
Media-104608.jams,175.09727626459104,117.49685
Media-104703.jams,82.94930875576037,64.82041
Media-104811.jams,180.18018018018006,120.3357
Media-104903.jams,84.24994610737517,56.382717
Media-104908.jams,174.58777885548017,116.23514
Media-105004.jams,82.68259072117594,55.83072
Media-105102.jams,84.05327495300938,113.23857
Media-105420.jams,123.07692307692312,92.30205
Media-105503.jams,86.95652173913042,65.273834
Media-105701.jams,86.9985500241663,57.880997
Media-105702.jams,87.31506698461239,115.76199
