Item,Reference,Estimate
Albums-Cafe_Paradiso-02.jams,100.41841004184099,201
Albums-Chrisanne1-12.jams,199.91673605328907,208
Albums-Chrisanne1-14.jams,199.00497512437795,208
Albums-Chrisanne2-11.jams,199.83347210657806,100
Albums-Chrisanne3-08.jams,178.21782178217856,90
Albums-Chrisanne3-09.jams,178.7487586891755,121
Albums-Fire-13.jams,88.66995073891628,132
Albums-Latin_Jam3-04.jams,100.00000000000006,201
Albums-Latin_Jam3-05.jams,99.99999999999999,201
Albums-Latin_Jam4-02.jams,103.89610389610382,207
Albums-Macumba-16.jams,168.18500350385418,84
Albums-Step_By_Step-10.jams,180.27081243731197,90
Media-103307.jams,179.46161515453636,90
Media-103618.jams,88.49557522123895,178
Media-103714.jams,176.08217168011743,88
Media-103715.jams,68.57142857142857,138
Media-103905.jams,102.98524890057887,232
Media-104315.jams,207.52131228986548,104
Media-104416.jams,207.6124567474049,104
Media-104418.jams,206.18556701030934,104
Media-104603.jams,86.53846153846155,174
Media-104616.jams,203.38983050847463,102
Media-104618.jams,204.25531914893605,102
Media-104718.jams,208.51433536055606,104
Media-104816.jams,208.69565217391266,104
Media-104915.jams,203.90824129141893,102
Media-105002.jams,82.68060995657716,87
Media-105009.jams,125.39184952978059,63
Media-105119.jams,203.38983050847463,103
Media-105207.jams,214.2857142857141,108
Media-105301.jams,86.1244019138756,174
Media-105313.jams,200.0000000000001,100
Media-105420.jams,123.07692307692312,62
Media-105716.jams,200.0000000000001,100
Media-105802.jams,86.95652173913042,174
Media-105818.jams,204.0816326530612,102
Media-106118.jams,73.08160779537153,147
