Estimator,Accuracy1,Accuracy2
boeck2020/dar,0.9927007299270073,1.0
boeck2019/multi_task,0.9854014598540146,1.0
boeck2019/multi_task_hjdb,0.983941605839416,0.9985401459854014
schreiber2018/cnn,0.9693430656934306,0.9927007299270073
schreiber2018/fcn,0.945985401459854,0.9912408759124087
schreiber2018/ismir2018,0.945985401459854,0.9941605839416059
schreiber2017/mirex2017,0.9153284671532846,0.9883211678832117
schreiber2017/ismir2017,0.8656934306569343,0.983941605839416
boeck2015/tempodetector2016_default,0.8423357664233576,0.9985401459854014
davies2009/mirex_qm_tempotracker,0.6788321167883211,0.927007299270073
schreiber2014/default,0.6671532846715329,0.9722627737226277
zplane/auftakt_v3,0.6656934306569343,0.9532846715328467
percival2014/stem,0.6510948905109489,0.9518248175182482
klapuri2006/percival2014,0.6423357664233577,0.9284671532846716
oliveira2010/ibt,0.6423357664233577,0.908029197080292
gkiokas2012/default,0.6233576642335766,0.9795620437956204
echonest/version_3_2_1,0.5693430656934306,0.872992700729927
scheirer1998/percival2014,0.5401459854014599,0.7605839416058394
