Item,Reference,Estimate
Albums-Ballroom_Classics4-03.jams,86.1234675354072,77.1339
Albums-Ballroom_Magic-02.jams,86.95652173913042,83.3543
Albums-Ballroom_Magic-04.jams,86.8935604570563,80.7495
Albums-Ballroom_Magic-05.jams,84.11036706109499,78.9003
Albums-Chrisanne1-14.jams,199.00497512437795,130.835
Albums-Chrisanne3-07.jams,173.74517374517382,116.134
Albums-Chrisanne3-09.jams,178.7487586891755,118.463
Albums-Secret_Garden-06.jams,88.14906942019093,80.7495
Albums-Step_By_Step-04.jams,86.95937951000484,82.0312
Media-100604.jams,86.66345690900337,58.3951
Media-100609.jams,174.7572815533979,115.485
Media-103905.jams,102.98524890057887,109.957
Media-104202.jams,87.01958448983942,126.048
Media-104301.jams,83.6042911433039,112.347
Media-104502.jams,86.3723608445297,128.397
Media-104604.jams,86.95652173913042,92.2852
Media-104704.jams,80.1785786479843,84.032
Media-104712.jams,179.64071856287381,119.837
Media-104903.jams,84.24994610737517,90.6661
Media-104905.jams,84.9859114741235,119.491
Media-105002.jams,82.68060995657716,78.9003
Media-105006.jams,83.91610215465082,78.9003
Media-105007.jams,86.1244019138756,82.0312
Media-105101.jams,84.50704225352102,96.5975
Media-105102.jams,84.05327495300938,87.5927
Media-105211.jams,78.22552557398228,87.5927
Media-105212.jams,93.55509355509353,79.5072
Media-105302.jams,84.21041351685398,120.185
Media-105307.jams,177.1655259601552,83.3543
Media-105504.jams,84.1139320798756,87.5927
Media-105701.jams,86.9985500241663,57.9044
Media-105801.jams,86.95652173913042,81.3853
Media-105902.jams,85.1064020044603,94.8251
