Item,Reference,Estimate
Albums-Ballroom_Magic-04.jams,86.8935604570563,115.44656
Albums-Chrisanne3-01.jams,84.11231483335521,112.29229
Albums-Chrisanne3-07.jams,173.74517374517382,115.60428
Albums-Chrisanne3-09.jams,178.7487586891755,118.71913
Albums-Fire-13.jams,88.66995073891628,133.18938
Media-104303.jams,86.95652173913042,65.17526
Media-104608.jams,175.09727626459104,117.339134
Media-105004.jams,82.68259072117594,111.66144
Media-105420.jams,123.07692307692312,92.30205
Media-105701.jams,86.9985500241663,115.76199
Media-105702.jams,87.31506698461239,115.60428
