Item,Reference,Estimate
Albums-AnaBelen_Veneo-15.jams,119.7014925373135,nan
Albums-Ballroom_Magic-18.jams,89.5522388059702,nan
Albums-Chrisanne2-12.jams,203.3976477006111,nan
Albums-Commitments-08.jams,161.8341200269723,81.05
Albums-Fire-09.jams,123.71134020618554,nan
Albums-Latin_Jam-13.jams,127.65957446808517,nan
Albums-Latin_Jam-14.jams,103.89610389610387,nan
Albums-Latin_Jam-15.jams,103.80622837370237,nan
Albums-Latin_Jam2-13.jams,126.98412698412695,nan
Albums-Latin_Jam2-14.jams,103.76134889753573,nan
Albums-Latin_Jam2-15.jams,103.89610389610387,nan
Albums-Latin_Jam3-11.jams,176.47058823529414,88.01
Media-103414.jams,124.35233160621763,nan
Media-103415.jams,120.0,nan
Media-103715.jams,68.57142857142857,136.83
Media-104418.jams,206.18556701030934,103.22
Media-104705.jams,79.03403234929752,nan
Media-105411.jams,99.99999999999999,199.24
