Item,Reference,Estimate
Albums-Ballroom_Magic-01.jams,84.0,56.067287
Albums-Ballroom_Magic-04.jams,87.0,57.72328
Albums-Chrisanne1-12.jams,200.0,50.07416
Albums-Chrisanne1-14.jams,200.0,50.507874
Albums-Chrisanne3-01.jams,84.0,56.146145
Albums-Chrisanne3-07.jams,174.0,115.60428
Albums-Chrisanne3-09.jams,180.0,118.71913
Albums-Fire-13.jams,90.0,133.18938
Albums-Secret_Garden-05.jams,72.0,150.22247
Media-100604.jams,87.0,57.959854
Media-104315.jams,208.0,51.809013
Media-104416.jams,208.0,52.045586
Media-104618.jams,204.0,51.0993
Media-104704.jams,81.0,53.70158
Media-104903.jams,84.0,56.225002
Media-105004.jams,84.0,55.83072
Media-105007.jams,60.0,171.82928
Media-105101.jams,87.0,58.196426
Media-105420.jams,124.0,92.30205
Media-105701.jams,87.0,57.880997
Media-105702.jams,87.0,57.80214
