Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,0.007957119420564037,2.837194856791773e-21,9.135208116665235e-36,1.5329108522642168e-13,5.420779685295673e-13,1.8575995402970976e-27,0.012536044799087074,5.559639622657895e-30,7.406487317335732e-20,1.5639993841209346e-28,8.67261235159409e-18,2.1276909158036496e-15,2.679402152161598e-10,1.6277572448684723e-18
davies2009/mirex_qm_tempotracker,0.007957119420564037,1.0,1.020324561242656e-25,5.5211364356702016e-46,1.7084040096341388e-31,3.34339084608796e-29,4.3223574734027907e-41,3.138887915152646e-07,1.083585484309978e-43,5.812243043063218e-35,4.82960217686953e-43,1.818638103256113e-05,0.0002240990227480172,0.012729259923002513,2.4754778709381898e-33
echonest/version_3_2_1,2.837194856791773e-21,1.020324561242656e-25,1.0,0.0003634249318690921,5.715408071214111e-05,1.8593259088947453e-05,0.7582412979217028,5.431329082659449e-10,0.7238313106123451,0.2791708627017907,0.5789967635862483,1.6194385442476283e-47,7.74642240147784e-44,2.8450934337115345e-39,0.0018028030172792012
gkiokas2012/default,9.135208116665235e-36,5.5211364356702016e-46,0.0003634249318690921,1.0,1.7556736231841452e-24,9.37077043891266e-25,1.3754389889391963e-09,1.5935389394159042e-20,2.8809976066958054e-08,2.13397134183596e-08,0.00017693470730570664,1.1572705409847498e-59,2.699015820887527e-56,3.2978044865534255e-52,2.697536001791757e-19
klapuri2006/percival2014,1.5329108522642168e-13,1.7084040096341388e-31,5.715408071214111e-05,1.7556736231841452e-24,1.0,0.5484970077933604,9.007651536050634e-14,0.0004009626691426074,9.563933308314875e-14,3.098212854651005e-06,7.222846598799112e-14,2.7980784315965453e-36,1.913222787721761e-33,3.2765240608337714e-29,0.007392921208961432
oliveira2010/ibt,5.420779685295673e-13,3.34339084608796e-29,1.8593259088947453e-05,9.37077043891266e-25,0.5484970077933604,1.0,1.6557162367487427e-14,0.0005213828838974803,4.224381795912326e-13,6.794981902939172e-07,2.9959343772208325e-15,1.567614800367856e-35,6.957938421821753e-33,7.195301151130044e-29,0.0008922035867470909
percival2014/stem,1.8575995402970976e-27,4.3223574734027907e-41,0.7582412979217028,1.3754389889391963e-09,9.007651536050634e-14,1.6557162367487427e-14,1.0,4.073005603736071e-11,0.9476895215316709,0.21931799637112737,0.19575635843894482,1.8339938723527999e-53,2.351887640241625e-50,9.202393689242256e-46,7.285915872802029e-08
scheirer1998/percival2014,0.012536044799087074,3.138887915152646e-07,5.431329082659449e-10,1.5935389394159042e-20,0.0004009626691426074,0.0005213828838974803,4.073005603736071e-11,1.0,3.478756401157723e-12,3.257626258808027e-09,2.3057618809382635e-13,2.825575273689096e-17,1.0339414200028077e-15,1.0559361934839611e-12,3.6530614281010274e-06
schreiber2014/default,5.559639622657895e-30,1.083585484309978e-43,0.7238313106123451,2.8809976066958054e-08,9.563933308314875e-14,4.224381795912326e-13,0.9476895215316709,3.478756401157723e-12,1.0,0.23422243329369025,0.1712061919410331,6.17924412917966e-58,5.558452457014823e-55,1.213159831416157e-50,2.3173460921723662e-07
schreiber2017/ismir2017,7.406487317335732e-20,5.812243043063218e-35,0.2791708627017907,2.13397134183596e-08,3.098212854651005e-06,6.794981902939172e-07,0.21931799637112737,3.257626258808027e-09,0.23422243329369025,1.0,3.9755337224332205e-06,9.726370448415858e-42,4.379017252807576e-41,8.210221828652652e-36,0.0037342882607448286
schreiber2017/mirex2017,1.5639993841209346e-28,4.82960217686953e-43,0.5789967635862483,0.00017693470730570664,7.222846598799112e-14,2.9959343772208325e-15,0.19575635843894482,2.3057618809382635e-13,0.1712061919410331,3.9755337224332205e-06,1.0,1.7257335793744615e-53,1.2723763338547644e-52,1.2130746239243523e-46,5.115520769029655e-09
schreiber2018/cnn,8.67261235159409e-18,1.818638103256113e-05,1.6194385442476283e-47,1.1572705409847498e-59,2.7980784315965453e-36,1.567614800367856e-35,1.8339938723527999e-53,2.825575273689096e-17,6.17924412917966e-58,9.726370448415858e-42,1.7257335793744615e-53,1.0,0.16765558439861267,6.670153670053279e-06,4.214291782873685e-43
schreiber2018/fcn,2.1276909158036496e-15,0.0002240990227480172,7.74642240147784e-44,2.699015820887527e-56,1.913222787721761e-33,6.957938421821753e-33,2.351887640241625e-50,1.0339414200028077e-15,5.558452457014823e-55,4.379017252807576e-41,1.2723763338547644e-52,0.16765558439861267,1.0,0.004711676014662559,3.1377715156542836e-40
schreiber2018/ismir2018,2.679402152161598e-10,0.012729259923002513,2.8450934337115345e-39,3.2978044865534255e-52,3.2765240608337714e-29,7.195301151130044e-29,9.202393689242256e-46,1.0559361934839611e-12,1.213159831416157e-50,8.210221828652652e-36,1.2130746239243523e-46,6.670153670053279e-06,0.004711676014662559,1.0,4.794715795235462e-36
zplane/auftakt_v3,1.6277572448684723e-18,2.4754778709381898e-33,0.0018028030172792012,2.697536001791757e-19,0.007392921208961432,0.0008922035867470909,7.285915872802029e-08,3.6530614281010274e-06,2.3173460921723662e-07,0.0037342882607448286,5.115520769029655e-09,4.214291782873685e-43,3.1377715156542836e-40,4.794715795235462e-36,1.0
