Estimator,AOE1_MEAN,AOE1_STDEV,AOE2_MEAN,AOE2_STDEV
boeck2015/tempodetector2016_default,0.09129588256204468,0.2818567882650256,0.010565030309770209,0.03374075690918372
boeck2019/multi_task_hjdb,0.10940016916796455,0.3045340497643772,0.012113511467838735,0.0489024550079849
schreiber2018/ismir2018,0.12832850972274704,0.3138820628481574,0.01766847000117476,0.057938279486840744
schreiber2018/fcn,0.14122806640927685,0.3305171234109489,0.014286578681165528,0.035139872299362135
boeck2019/multi_task,0.15117373966405626,0.35962350600305365,0.011836088775401063,0.04944210556569454
schreiber2017/mirex2017,0.1529766744874891,0.3419334775417355,0.01750901647963957,0.06184969163436185
schreiber2018/cnn,0.15377014950880716,0.3493319222588438,0.017269670093876227,0.04959399171720916
schreiber2017/ismir2017,0.16176170912513055,0.3757284917211305,0.012879597239055966,0.0432532683302404
percival2014/stem,0.18711470151320178,0.39020870025602084,0.006851797580731646,0.03353255089289659
davies2009/mirex_qm_tempotracker,0.19643766286125172,0.3753023740835172,0.028238936947912414,0.05281631998150019
schreiber2014/default,0.29256055055016117,0.4346292499251765,0.03424040482271447,0.07132574160077494
