T (BPM),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017
0.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,1.0,1.0,1.0,1.0,1.0,1.0
11.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0
13.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0,1.0
15.0,1.0,1.0,1.0,1.0,1.0,1.0
16.0,1.0,1.0,1.0,1.0,1.0,1.0
17.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,1.0,1.0,1.0,1.0,1.0,1.0
22.0,1.0,1.0,1.0,1.0,1.0,1.0
23.0,1.0,1.0,1.0,1.0,1.0,1.0
24.0,1.0,1.0,1.0,1.0,1.0,1.0
25.0,1.0,1.0,1.0,1.0,1.0,1.0
26.0,1.0,1.0,1.0,1.0,1.0,1.0
27.0,1.0,1.0,1.0,1.0,1.0,1.0
28.0,1.0,1.0,1.0,1.0,1.0,1.0
29.0,1.0,1.0,1.0,1.0,1.0,1.0
30.0,1.0,1.0,1.0,1.0,1.0,1.0
31.0,1.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,1.0,1.0,1.0,1.0,1.0
33.0,1.0,1.0,1.0,1.0,1.0,1.0
34.0,1.0,1.0,1.0,1.0,1.0,1.0
35.0,1.0,1.0,1.0,1.0,1.0,1.0
36.0,1.0,1.0,1.0,1.0,1.0,1.0
37.0,1.0,1.0,1.0,1.0,1.0,1.0
38.0,0.0,1.0,1.0,0.0,0.0,0.0
39.0,0.0,1.0,1.0,0.0,0.0,0.0
40.0,0.0,1.0,1.0,0.0,0.0,0.0
41.0,0.0,1.0,1.0,0.0,0.0,0.0
42.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666
43.0,0.7407407407407407,0.6296296296296297,0.5925925925925926,0.7407407407407407,0.6666666666666666,0.6666666666666666
44.0,0.7241379310344828,0.6206896551724138,0.5862068965517241,0.7241379310344828,0.6551724137931034,0.6551724137931034
45.0,0.813953488372093,0.6976744186046512,0.6744186046511628,0.813953488372093,0.7674418604651163,0.7674418604651163
46.0,0.819672131147541,0.7377049180327869,0.7377049180327869,0.8032786885245902,0.7868852459016393,0.7868852459016393
47.0,0.8,0.7428571428571429,0.7428571428571429,0.8142857142857143,0.8,0.8
48.0,0.8055555555555556,0.75,0.7222222222222222,0.8194444444444444,0.8055555555555556,0.8055555555555556
49.0,0.8082191780821918,0.7534246575342466,0.726027397260274,0.821917808219178,0.8082191780821918,0.8082191780821918
50.0,0.8189655172413793,0.75,0.7327586206896551,0.8362068965517241,0.8189655172413793,0.8189655172413793
51.0,0.8421052631578947,0.7593984962406015,0.7669172932330827,0.849624060150376,0.8421052631578947,0.8421052631578947
52.0,0.8571428571428571,0.7755102040816326,0.782312925170068,0.8571428571428571,0.8503401360544217,0.8503401360544217
