Item,Reference,Estimate
000/000141.jams,101,68.52669
000/000148.jams,80,65.60898
000/000194.jams,97,104.761444
000/000258.jams,121,130.46881
000/000341.jams,123,73.770676
000/000397.jams,77,57.605
000/000399.jams,79,149.90704
000/000400.jams,80,124.475685
000/000405.jams,80,67.50154
000/000424.jams,121,44.94846
000/000425.jams,138,41.478752
000/000512.jams,92,146.16135
000/000535.jams,107,48.930733
000/000537.jams,77,60.246704
000/000540.jams,121,149.0002
000/000603.jams,74,127.98483
000/000619.jams,90,47.629593
000/000714.jams,96,146.16135
000/000715.jams,96,131.80939
000/000717.jams,77,147.3442
000/000718.jams,136,54.805576
000/000753.jams,87,50.31073
000/000777.jams,82,123.29284
000/000819.jams,121,107.955154
000/000878.jams,80,46.76217
000/000889.jams,138,28.782785
000/000890.jams,119,135.47623
000/000893.jams,118,44.43589
000/000995.jams,160,24.682224
000/000997.jams,143,158.34474
000/000998.jams,100,91.710625
001/001017.jams,120,154.28362
001/001023.jams,123,96.67861
001/001047.jams,144,130.8631
001/001064.jams,162,122.10998
001/001068.jams,120,114.381996
001/001075.jams,106,21.212519
001/001121.jams,120,90.015205
001/001131.jams,109,72.903244
001/001138.jams,97,64.741554
001/001197.jams,90,60.877563
001/001199.jams,80,54.095863
001/001249.jams,146,106.61459
001/001259.jams,121,69.867256
001/001270.jams,73,76.53066
001/001278.jams,121,94.58891
001/001358.jams,108,81.85351
001/001451.jams,106,101.449455
001/001545.jams,74,115.60428
001/001547.jams,133,20.581663
001/001552.jams,119,94.58891
001/001553.jams,80,57.25014
001/001556.jams,160,41.478752
001/001634.jams,146,117.45742
001/001635.jams,176,148.56648
001/001640.jams,123,64.58384
001/001673.jams,80,66.23984
001/001689.jams,104,77.95009
001/001703.jams,138,82.36607
001/001944.jams,146,99.28089
001/001967.jams,116,111.03058
001/001995.jams,146,68.999825
001/001996.jams,144,90.409485
002/002012.jams,121,31.069637
002/002096.jams,143,103.49974
003/003263.jams,80,52.163868
003/003268.jams,144,107.206024
003/003272.jams,84,151.7602
003/003446.jams,121,63.164413
003/003449.jams,77,45.263885
003/003450.jams,84,52.91301
003/003460.jams,73,56.934715
003/003470.jams,90,94.628334
003/003505.jams,120,63.32213
003/003537.jams,74,99.793465
003/003538.jams,96,101.88317
003/003558.jams,105,55.75186
003/003563.jams,128,97.94032
003/003564.jams,96,41.79418
003/003568.jams,80,46.76217
003/003570.jams,151,101.17346
003/003572.jams,160,46.76217
003/003581.jams,87,158.34474
003/003723.jams,96,109.92658
003/003832.jams,90,66.59469
003/003895.jams,192,79.40894
003/003954.jams,72,107.99459
003/003960.jams,143,81.10436
003/003986.jams,126,132.91339
004/004013.jams,60,114.30315
004/004014.jams,80,47.866165
004/004017.jams,70,29.650211
004/004045.jams,84,58.708996
004/004066.jams,96,117.41799
004/004067.jams,232,91.82891
004/004069.jams,120,82.20836
004/004092.jams,91,136.02823
004/004133.jams,162,121.08484
004/004170.jams,98,147.54135
004/004214.jams,106,101.29174
004/004233.jams,74,50.35016
004/004239.jams,94,62.375843
004/004316.jams,96,51.88787
004/004450.jams,87,46.525597
004/004490.jams,96,99.872314
004/004492.jams,96,99.872314
004/004501.jams,120,41.636467
004/004520.jams,118,148.17221
004/004536.jams,121,63.952984
004/004539.jams,81,45.89474
004/004687.jams,120,145.09677
004/004708.jams,118,132.59796
004/004754.jams,73,58.196426
004/004761.jams,121,126.68368
004/004783.jams,110,71.05011
004/004799.jams,90,68.52669
004/004846.jams,84,57.605
004/004848.jams,74,51.6513
005/005018.jams,81,49.04902
005/005019.jams,138,49.36445
005/005026.jams,87,72.7061
005/005031.jams,143,106.4963
005/005033.jams,96,49.995304
005/005107.jams,138,61.31128
005/005140.jams,73,82.91808
005/005158.jams,121,81.02551
005/005191.jams,72,87.57063
005/005265.jams,159,62.848984
005/005320.jams,74,49.995304
005/005337.jams,120,142.96764
005/005381.jams,67,44.869602
005/005576.jams,90,42.149036
005/005577.jams,139,81.1438
005/005600.jams,133,70.81354
006/006331.jams,104,113.19915
006/006358.jams,116,132.28253
006/006393.jams,134,123.37169
006/006394.jams,92,116.313995
006/006407.jams,73,49.04902
006/006448.jams,96,100.89746
006/006469.jams,145,92.26263
006/006534.jams,72,156.8859
006/006584.jams,151,71.12897
006/006592.jams,74,52.203297
006/006632.jams,92,98.25575
006/006637.jams,146,91.3952
006/006674.jams,151,26.653648
006/006675.jams,132,126.56539
006/006677.jams,120,50.547302
006/006679.jams,120,62.533558
006/006680.jams,158,20.739376
006/006684.jams,120,42.661606
006/006752.jams,120,100.5426
006/006753.jams,121,110.00544
006/006755.jams,143,156.01846
006/006757.jams,146,130.38997
006/006758.jams,120,95.180336
006/006760.jams,80,43.450176
006/006761.jams,96,84.65293
006/006776.jams,100,141.90308
006/006785.jams,73,55.98843
006/006788.jams,121,126.36825
006/006855.jams,84,56.658714
006/006880.jams,74,49.04902
007/007011.jams,144,125.61911
007/007015.jams,90,125.42197
007/007016.jams,94,125.382545
007/007020.jams,119,48.102737
007/007021.jams,74,48.339306
007/007192.jams,112,149.27618
007/007213.jams,106,137.2505
007/007262.jams,80,144.58421
007/007373.jams,87,63.400986
007/007375.jams,119,66.08212
007/007376.jams,60,52.676437
007/007378.jams,67,69.867256
007/007381.jams,125,114.57914
007/007386.jams,88,126.64426
007/007393.jams,77,53.898724
007/007498.jams,121,158.30533
007/007546.jams,84,70.892395
007/007548.jams,160,22.631943
007/007549.jams,80,46.76217
007/007550.jams,96,102.94775
007/007551.jams,80,21.44909
007/007552.jams,106,21.44909
007/007553.jams,144,22.631943
007/007554.jams,143,113.98772
007/007555.jams,97,42.661606
007/007556.jams,80,45.579315
008/008057.jams,101,105.15574
008/008210.jams,127,57.013573
008/008211.jams,138,105.11631
008/008213.jams,74,46.525597
008/008214.jams,74,44.711887
008/008215.jams,128,24.209082
008/008269.jams,74,43.055893
008/008270.jams,73,62.296986
008/008331.jams,74,61.902702
008/008339.jams,73,41.08447
008/008344.jams,96,42.661606
008/008345.jams,160,87.68892
008/008347.jams,120,157.43788
008/008349.jams,96,41.163326
008/008357.jams,84,62.21813
008/008358.jams,151,39.901615
008/008363.jams,144,54.332436
008/008364.jams,87,41.478752
008/008375.jams,208,108.31002
008/008378.jams,113,21.054804
008/008490.jams,93,88.59578
008/008584.jams,90,106.299164
009/009152.jams,137,89.02949
009/009155.jams,151,108.90144
009/009476.jams,112,76.41238
009/009490.jams,146,125.81626
009/009677.jams,120,64.50498
009/009678.jams,80,61.508415
009/009721.jams,159,129.68024
009/009823.jams,146,110.00544
009/009846.jams,96,150.30133
009/009850.jams,80,43.213608
009/009991.jams,118,111.779724
010/010002.jams,146,109.966
010/010005.jams,151,158.4236
010/010008.jams,160,48.49702
010/010027.jams,67,72.587814
010/010033.jams,77,54.332436
010/010035.jams,90,107.16659
010/010045.jams,77,43.923317
010/010230.jams,84,62.92784
010/010240.jams,87,147.85678
010/010277.jams,77,114.14543
010/010279.jams,74,41.55761
010/010286.jams,120,129.6014
010/010358.jams,113,53.149582
010/010363.jams,81,48.97016
010/010364.jams,80,54.72672
010/010368.jams,151,120.256836
010/010376.jams,84,119.941414
010/010377.jams,100,93.52434
010/010387.jams,80,75.70267
010/010426.jams,146,128.89168
010/010438.jams,128,58.35414
010/010459.jams,91,41.163326
010/010525.jams,146,130.66595
010/010529.jams,120,69.15754
010/010541.jams,96,103.696884
010/010552.jams,162,85.75693
010/010556.jams,81,47.47188
010/010627.jams,130,97.58547
010/010668.jams,127,22.395372
010/010670.jams,91,136.50137
010/010675.jams,96,77.43752
010/010683.jams,90,49.601017
010/010689.jams,84,20.581663
010/010690.jams,77,57.56557
010/010834.jams,100,89.30549
010/010938.jams,120,115.01285
010/010945.jams,90,134.64824
010/010983.jams,160,136.8168
011/011234.jams,80,32.646774
011/011237.jams,146,100.8186
011/011239.jams,123,24.130226
011/011319.jams,74,43.055893
011/011321.jams,73,42.89818
011/011394.jams,113,128.06367
011/011418.jams,195,102.23802
011/011420.jams,144,153.06133
011/011423.jams,97,92.06549
011/011504.jams,94,58.03871
011/011544.jams,162,142.7705
011/011641.jams,120,89.26606
011/011672.jams,84,59.615852
011/011674.jams,125,48.733593
011/011682.jams,75,46.21017
011/011719.jams,74,80.71008
011/011733.jams,111,102.51403
011/011782.jams,121,53.070724
011/011816.jams,95,142.9282
011/011836.jams,90,123.05626
011/011855.jams,99,148.40877
011/011859.jams,98,122.62256
011/011886.jams,90,140.95679
011/011934.jams,85,127.62996
011/011946.jams,162,42.661606
012/012051.jams,87,30.833065
012/012061.jams,96,70.576965
012/012196.jams,132,98.96547
012/012346.jams,144,51.414726
012/012353.jams,119,63.0067
012/012354.jams,119,63.440407
012/012407.jams,80,46.131313
012/012555.jams,96,40.61133
012/012597.jams,96,157.55618
012/012737.jams,146,152.11504
012/012922.jams,97,62.691273
012/012926.jams,80,51.730156
012/012927.jams,74,51.178158
012/012986.jams,121,81.45922
012/012987.jams,121,101.88317
012/012988.jams,80,58.669567
012/012990.jams,120,100.70032
013/013014.jams,125,45.579315
013/013125.jams,84,126.36825
013/013371.jams,121,25.391937
013/013372.jams,67,99.872314
013/013576.jams,90,65.64841
013/013580.jams,96,43.923317
013/013581.jams,121,72.39068
013/013582.jams,96,42.81932
013/013585.jams,84,122.819695
013/013586.jams,74,54.095863
013/013587.jams,80,69.867256
013/013710.jams,135,94.19462
013/013749.jams,86,128.97054
013/013763.jams,112,84.179794
013/013863.jams,107,27.36336
013/013895.jams,120,88.79292
014/014059.jams,132,115.32828
014/014062.jams,121,45.10617
014/014073.jams,143,94.94376
014/014084.jams,120,112.489426
014/014315.jams,94,62.809555
014/014316.jams,81,133.0711
014/014317.jams,87,55.909573
014/014318.jams,77,54.332436
014/014320.jams,87,47.70845
014/014349.jams,121,49.995304
014/014361.jams,96,142.61278
014/014380.jams,96,143.28307
014/014394.jams,121,89.97578
014/014493.jams,162,85.32321
014/014539.jams,121,95.9689
014/014589.jams,65,43.33189
014/014601.jams,84,70.41925
014/014604.jams,87,26.732504
014/014649.jams,92,111.109436
014/014737.jams,125,93.83977
014/014773.jams,132,88.714066
014/014774.jams,151,83.35179
014/014777.jams,121,21.92223
014/014779.jams,84,65.05698
014/014781.jams,74,54.017006
014/014785.jams,77,140.04993
014/014812.jams,53,58.669567
015/015140.jams,120,148.48764
015/015154.jams,96,131.92766
015/015261.jams,129,85.91464
015/015369.jams,120,90.13349
015/015464.jams,74,68.21126
015/015469.jams,153,144.78136
015/015470.jams,74,122.4254
015/015471.jams,112,48.02388
015/015472.jams,125,100.187744
015/015473.jams,72,49.601017
015/015474.jams,96,108.38887
015/015475.jams,220,55.43643
015/015476.jams,99,20.739376
015/015487.jams,143,108.822586
015/015540.jams,100,113.278
015/015622.jams,112,103.93346
015/015623.jams,77,49.83759
015/015625.jams,143,41.478752
015/015880.jams,77,67.42269
015/015913.jams,130,82.09008
015/015997.jams,74,44.08103
016/016034.jams,137,87.05807
016/016051.jams,110,137.48709
016/016127.jams,96,65.05698
016/016334.jams,146,157.8716
016/016366.jams,123,44.90903
016/016367.jams,151,68.17183
016/016371.jams,74,50.31073
016/016373.jams,80,64.34727
016/016374.jams,77,119.42884
016/016376.jams,121,42.977036
016/016378.jams,77,57.171284
016/016384.jams,84,60.207283
016/016388.jams,138,98.76832
016/016391.jams,77,104.998024
016/016394.jams,153,143.71678
016/016401.jams,138,81.30151
016/016404.jams,96,138.66994
016/016405.jams,80,53.543865
016/016423.jams,151,103.342026
016/016426.jams,77,51.730156
016/016441.jams,160,127.74825
016/016442.jams,120,129.79854
016/016443.jams,120,126.64426
016/016444.jams,120,87.21578
016/016445.jams,144,161.10475
016/016521.jams,84,157.63504
016/016523.jams,80,130.42938
016/016525.jams,96,22.631943
016/016526.jams,84,61.98156
016/016527.jams,84,113.83
016/016529.jams,143,110.47858
016/016531.jams,80,119.90198
016/016554.jams,96,22.631943
016/016563.jams,80,61.035275
016/016564.jams,80,68.21126
016/016581.jams,216,87.01865
016/016733.jams,118,156.13675
016/016744.jams,144,108.66487
016/016761.jams,81,19.950808
016/016938.jams,81,87.68892
016/016940.jams,80,42.81932
016/016985.jams,121,80.986084
016/016997.jams,96,123.174545
017/017003.jams,77,54.332436
017/017439.jams,138,87.33407
017/017445.jams,80,52.597584
017/017447.jams,96,20.423948
017/017468.jams,120,84.92893
017/017573.jams,119,113.67229
017/017580.jams,143,130.07454
017/017585.jams,74,55.75186
017/017607.jams,77,41.912468
017/017608.jams,80,62.415276
017/017609.jams,77,59.458138
017/017611.jams,121,153.5739
017/017623.jams,151,64.50498
017/017632.jams,143,105.07687
017/017643.jams,132,72.31182
017/017644.jams,125,49.679874
017/017678.jams,87,129.44368
017/017734.jams,120,136.61966
017/017989.jams,96,88.99006
017/017990.jams,74,51.217587
017/017991.jams,84,78.30495
017/017993.jams,67,63.24327
017/017996.jams,84,45.10617
017/017998.jams,198,132.04594
017/017999.jams,67,53.780437
018/018004.jams,84,59.773563
018/018005.jams,91,42.188465
018/018006.jams,125,134.56937
018/018011.jams,84,60.956417
018/018012.jams,96,53.149582
018/018018.jams,96,102.080315
018/018020.jams,77,43.13475
018/018025.jams,96,52.518726
018/018040.jams,77,57.407856
018/018041.jams,77,53.780437
018/018042.jams,84,51.335873
018/018043.jams,144,76.727806
018/018044.jams,77,62.494125
018/018237.jams,74,101.370605
018/018386.jams,120,114.027145
018/018388.jams,74,27.36336
018/018390.jams,77,49.36445
018/018391.jams,84,65.64841
018/018393.jams,121,129.75911
018/018577.jams,96,159.84303
018/018578.jams,121,108.34944
018/018579.jams,74,130.70538
018/018641.jams,77,57.407856
018/018656.jams,153,11.513114
018/018659.jams,153,112.726006
018/018690.jams,80,52.755295
018/018692.jams,91,62.375843
018/018694.jams,84,68.605545
018/018712.jams,77,48.77302
018/018761.jams,120,143.00708
018/018876.jams,96,82.72093
018/018974.jams,124,95.85062
018/018975.jams,84,47.787308
018/018976.jams,67,74.79581
019/019184.jams,116,84.77122
019/019192.jams,96,20.739376
019/019236.jams,120,112.489426
019/019333.jams,128,99.0049
019/019352.jams,104,129.99567
019/019353.jams,77,141.15393
019/019355.jams,184,86.15121
019/019419.jams,135,108.07344
019/019422.jams,77,42.464466
019/019466.jams,77,47.156452
019/019481.jams,80,50.153015
019/019484.jams,121,71.75982
019/019485.jams,151,53.622723
019/019487.jams,135,103.65745
019/019488.jams,77,53.780437
019/019489.jams,80,53.38615
019/019492.jams,96,79.09351
019/019493.jams,84,120.09914
019/019494.jams,120,154.95389
019/019532.jams,80,57.72328
019/019582.jams,77,40.138184
019/019583.jams,132,60.877563
019/019584.jams,151,81.89294
