Item,cvar,schreiber2018/ismir2018,davies2009/mirex_qm_tempotracker,schreiber2018/fcn,schreiber2018/cnn,percival2014/stem,schreiber2017/mirex2017,schreiber2017/ismir2017,boeck2015/tempodetector2016_default,schreiber2014/default
000/000540.jams,,121,132.512,135,90,132.512,135.2791,67.63955,150.0,109.49287
000/000676.jams,,144,198.768,73,73,97.5088,73.2581,73.2581,193.55,73.179245
000/000714.jams,,96,161.499,123,87,84.032,146.20078,73.10039,230.77,73.06096
000/000715.jams,,96,166.709,174,84,69.3687,131.76996,131.76996,130.43,65.88498
000/000718.jams,,136,198.768,87,200,96.5975,55.04215,110.0843,214.29,70.55725
000/000890.jams,,119,143.555,87,87,92.2852,135.47623,135.47623,77.92,136.14651
001/001197.jams,,90,123.047,61,61,121.599,121.75513,121.75513,60.61,60.877563
001/001249.jams,,146,156.605,121,158,90.6661,78.068375,78.068375,171.43,154.87505
001/001673.jams,,80,151.999,148,84,68.9062,66.08212,66.08212,130.43,99.16261
003/003263.jams,,80,107.666,52,104,107.108,104.761444,104.761444,105.26,104.327736
003/003534.jams,,146,79.5072,73,110,73.3045,72.903244,72.903244,73.17,72.98211
003/003537.jams,,74,126.048,116,108,91.4685,99.793465,99.793465,100.0,99.91175
003/003832.jams,,90,143.555,67,67,83.6918,66.67355,133.3471,133.33,66.6144
003/003895.jams,,192,95.7031,121,184,127.604,79.40894,79.40894,40.27,119.192276
004/004017.jams,,70,107.666,50,87,52.0702,90.21234,90.21234,105.26,81.06494
004/004066.jams,,96,161.499,121,123,74.0927,117.49685,117.49685,240.0,117.49685
004/004450.jams,,87,184.57,73,57,148.719,93.05119,93.05119,146.34,116.55057
004/004520.jams,,118,151.999,147,147,147.656,148.17221,148.17221,146.34,74.086105
004/004799.jams,,90,147.656,72,94,139.675,68.52669,137.05338,142.86,137.05338
004/004846.jams,,84,166.709,60,97,56.1736,56.225002,112.450005,113.21,115.17056
004/004848.jams,,74,151.999,116,87,102.336,103.3026,103.3026,230.77,87.92549
006/006407.jams,,73,126.048,50,97,79.5072,98.09804,98.09804,101.69,49.04902
006/006469.jams,,145,72.7883,90,184,72.2793,106.41745,106.41745,181.82,110.39972
006/006675.jams,,132,105.469,174,162,94.8251,63.282696,63.282696,200.0,126.56539
006/006677.jams,,120,132.512,174,162,131.668,97.94032,97.94032,200.0,97.94032
006/006679.jams,,120,132.512,87,161,65.625,45.579315,91.15863,130.43,91.15863
006/006684.jams,,120,132.512,49,140,130.835,49.36445,98.7289,193.55,98.7289
007/007011.jams,,144,166.709,116,161,80.7495,125.57968,125.57968,88.24,85.32321
007/007373.jams,,87,126.048,94,94,133.367,95.10148,63.400986,240.0,63.164413
007/007375.jams,,119,161.499,84,125,131.668,134.33281,67.166405,181.82,125.10654
007/007393.jams,,77,135.999,116,84,135.11,53.898724,80.84808,146.34,142.7705
008/008345.jams,,160,172.266,192,108,85.0694,87.68892,87.68892,171.43,121.63683
009/009152.jams,,137,129.199,121,158,93.1166,150.61676,75.30838,187.5,88.91121
009/009155.jams,,151,112.347,112,92,130.012,71.12897,71.12897,130.43,142.25793
009/009505.jams,,177,129.199,87,87,58.5606,88.516914,88.516914,206.9,88.516914
