Item,Reference,Estimate
000/000148.jams,80,107.666
000/000194.jams,97,107.666
000/000197.jams,84,178.206
000/000200.jams,97,139.675
000/000210.jams,96,129.199
000/000256.jams,118,123.047
000/000424.jams,121,139.675
000/000534.jams,74,135.999
000/000540.jams,121,132.512
000/000615.jams,96,156.605
000/000676.jams,144,198.768
000/000690.jams,106,139.675
000/000695.jams,100,126.048
000/000707.jams,101,135.999
000/000714.jams,96,161.499
000/000715.jams,96,166.709
000/000718.jams,136,198.768
000/000814.jams,99,123.047
000/000890.jams,119,143.555
000/000897.jams,140,93.9631
000/000995.jams,160,123.047
000/000997.jams,143,132.512
001/001039.jams,95,126.048
001/001040.jams,94,126.048
001/001066.jams,77,112.347
001/001075.jams,106,129.199
001/001082.jams,84,87.5927
001/001102.jams,61,129.199
001/001195.jams,56,120.185
001/001197.jams,90,123.047
001/001249.jams,146,156.605
001/001259.jams,121,132.512
001/001270.jams,73,151.999
001/001278.jams,121,156.605
001/001544.jams,77,198.768
001/001663.jams,160,107.666
001/001673.jams,80,151.999
001/001688.jams,170,114.844
001/001701.jams,133,90.6661
001/001703.jams,138,147.656
001/001929.jams,143,151.999
001/001930.jams,91,123.047
002/002012.jams,121,126.048
003/003263.jams,80,107.666
003/003265.jams,101,105.469
003/003272.jams,84,132.512
003/003273.jams,81,109.957
003/003534.jams,146,79.5072
003/003537.jams,74,126.048
003/003538.jams,96,139.675
003/003598.jams,81,107.666
003/003765.jams,118,123.047
003/003832.jams,90,143.555
003/003833.jams,91,123.047
003/003912.jams,97,101.333
004/004013.jams,60,166.709
004/004017.jams,70,107.666
004/004066.jams,96,161.499
004/004067.jams,232,191.406
004/004068.jams,138,126.048
004/004069.jams,120,161.499
004/004096.jams,96,126.048
004/004098.jams,165,112.347
004/004103.jams,90,120.185
004/004233.jams,74,120.185
004/004239.jams,94,126.048
004/004450.jams,87,184.57
004/004511.jams,120,161.499
004/004520.jams,118,151.999
004/004781.jams,139,93.9631
004/004799.jams,90,147.656
004/004849.jams,99,166.709
005/005156.jams,96,139.675
005/005158.jams,121,166.709
005/005159.jams,90,126.048
005/005169.jams,101,139.675
005/005191.jams,72,178.206
005/005264.jams,92,156.605
005/005376.jams,97,112.347
006/006329.jams,139,93.9631
006/006358.jams,116,67.1165
006/006370.jams,104,143.555
006/006383.jams,133,178.206
006/006390.jams,106,143.555
006/006394.jams,92,126.048
006/006396.jams,92,191.406
006/006407.jams,73,126.048
006/006611.jams,86,114.844
006/006675.jams,132,105.469
006/006677.jams,120,132.512
006/006679.jams,120,132.512
006/006680.jams,158,139.675
006/006684.jams,120,132.512
006/006776.jams,100,178.206
006/006788.jams,121,126.048
006/006854.jams,84,112.347
006/006855.jams,84,120.185
006/006856.jams,87,117.454
007/007011.jams,144,166.709
007/007373.jams,87,126.048
007/007375.jams,119,161.499
007/007376.jams,60,114.844
007/007378.jams,67,99.384
007/007385.jams,107,147.656
007/007391.jams,128,147.656
007/007393.jams,77,135.999
007/007548.jams,160,112.347
007/007712.jams,80,120.185
008/008208.jams,82,109.957
008/008256.jams,120,126.048
008/008345.jams,160,172.266
008/008357.jams,84,95.7031
009/009152.jams,137,129.199
009/009155.jams,151,112.347
009/009307.jams,121,126.048
009/009476.jams,112,74.8981
009/009505.jams,177,129.199
009/009678.jams,80,172.266
009/009918.jams,144,172.266
010/010374.jams,151,132.512
010/010376.jams,84,103.359
010/010438.jams,128,156.605
010/010485.jams,90,99.384
010/010541.jams,96,126.048
010/010668.jams,127,120.185
010/010675.jams,96,109.957
010/010679.jams,170,139.675
010/010695.jams,128,86.1328
010/010809.jams,134,139.675
011/011020.jams,150,101.333
011/011234.jams,80,123.047
011/011237.jams,146,117.454
011/011239.jams,123,161.499
011/011242.jams,138,184.57
011/011261.jams,74,156.605
011/011544.jams,162,151.999
011/011638.jams,120,161.499
011/011671.jams,188,129.199
011/011672.jams,84,143.555
011/011674.jams,125,151.999
011/011682.jams,75,101.333
011/011782.jams,121,105.469
011/011787.jams,88,117.454
011/011920.jams,80,107.666
011/011946.jams,162,184.57
