Item,Reference,Estimate
000/000141.jams,101,68.52669
000/000148.jams,80,65.60898
000/000182.jams,144,72.31182
000/000194.jams,97,104.761444
000/000197.jams,84,41.754753
000/000207.jams,56,114.77629
000/000424.jams,121,89.89692
000/000540.jams,121,135.2791
000/000667.jams,89,177.66469
000/000676.jams,144,73.2581
000/000714.jams,96,146.20078
000/000715.jams,96,131.76996
000/000716.jams,80,157.20132
000/000718.jams,136,55.04215
000/000814.jams,99,61.153564
000/000890.jams,119,135.47623
000/000892.jams,86,131.37567
000/000995.jams,160,20.739376
000/000997.jams,143,48.733593
000/000998.jams,100,45.579315
001/001040.jams,94,187.75838
001/001073.jams,188,93.16949
001/001075.jams,106,47.314167
001/001195.jams,56,109.69001
001/001196.jams,146,72.74553
001/001197.jams,90,121.75513
001/001249.jams,146,78.068375
001/001259.jams,121,69.867256
001/001270.jams,73,76.53066
001/001278.jams,121,132.12482
001/001482.jams,195,97.42776
001/001510.jams,84,41.163326
001/001544.jams,77,54.017006
001/001673.jams,80,66.08212
001/001687.jams,151,75.781525
001/001688.jams,170,84.73178
001/001689.jams,104,77.87124
001/001701.jams,133,89.108345
001/001703.jams,138,82.36607
001/001891.jams,160,80.0398
001/001930.jams,91,181.84412
002/002012.jams,121,31.069637
002/002096.jams,143,103.53917
003/003263.jams,80,104.761444
003/003272.jams,84,75.86038
003/003534.jams,146,72.903244
003/003537.jams,74,99.793465
003/003538.jams,96,101.88317
003/003573.jams,90,179.95155
003/003624.jams,84,168.123
003/003722.jams,124,62.099846
003/003761.jams,118,58.748425
003/003763.jams,82,160.59216
003/003765.jams,118,58.196426
003/003766.jams,81,163.47044
003/003777.jams,134,67.18612
003/003832.jams,90,66.67355
003/003833.jams,91,181.29213
003/003895.jams,192,79.40894
003/003904.jams,162,80.355225
003/003906.jams,162,80.57208
003/003908.jams,87,172.93327
004/004013.jams,60,120.13856
004/004017.jams,70,90.21234
004/004066.jams,96,117.49685
004/004067.jams,232,157.08304
004/004068.jams,138,131.37567
004/004069.jams,120,125.7374
004/004092.jams,91,136.46194
004/004098.jams,165,82.40551
004/004103.jams,90,179.39955
004/004108.jams,92,184.36754
004/004233.jams,74,100.62146
004/004450.jams,87,93.05119
004/004520.jams,118,148.17221
004/004684.jams,83,165.99387
004/004780.jams,88,176.79727
004/004799.jams,90,68.52669
004/004838.jams,133,115.21
004/004846.jams,84,56.225002
004/004848.jams,74,103.3026
005/005156.jams,96,131.37567
005/005158.jams,121,81.02551
005/005191.jams,72,87.57063
005/005268.jams,150,75.09152
005/005376.jams,97,72.154106
005/005381.jams,67,135.5551
005/005521.jams,130,64.97812
006/006329.jams,139,91.3952
006/006331.jams,104,113.396286
006/006358.jams,116,132.32196
006/006393.jams,134,123.29284
006/006407.jams,73,98.09804
006/006469.jams,145,106.41745
006/006606.jams,138,69.15754
006/006608.jams,176,87.80721
006/006674.jams,151,53.307297
006/006675.jams,132,63.282696
006/006677.jams,120,97.94032
006/006679.jams,120,45.579315
006/006680.jams,158,46.68331
006/006684.jams,120,49.36445
006/006776.jams,100,141.9425
006/006778.jams,136,68.17183
006/006788.jams,121,126.36825
006/006855.jams,84,113.31743
006/006856.jams,87,83.31236
006/006857.jams,60,117.654564
007/007011.jams,144,125.57968
007/007373.jams,87,95.10148
007/007375.jams,119,134.33281
007/007376.jams,60,52.676437
007/007378.jams,67,69.867256
007/007381.jams,125,57.28957
007/007383.jams,143,135.75223
007/007386.jams,88,126.64426
007/007388.jams,81,41.04504
007/007393.jams,77,53.898724
007/007548.jams,160,22.789658
007/007554.jams,143,46.44674
007/007711.jams,121,60.759274
008/008208.jams,82,163.31274
008/008345.jams,160,87.68892
008/008357.jams,84,30.438782
008/008363.jams,144,54.332436
008/008372.jams,108,54.96329
009/009152.jams,137,150.61676
009/009155.jams,151,71.12897
009/009307.jams,121,62.178696
009/009476.jams,112,76.727806
009/009477.jams,96,46.76217
009/009505.jams,177,88.516914
009/009511.jams,79,158.10817
009/009512.jams,174,87.68892
009/009678.jams,80,61.508415
009/009846.jams,96,113.51457
009/009918.jams,144,118.916275
010/010374.jams,151,74.99296
010/010376.jams,84,119.941414
010/010377.jams,100,93.40605
010/010381.jams,123,61.31128
010/010384.jams,84,170.72528
010/010387.jams,80,75.70267
010/010389.jams,168,82.20836
010/010438.jams,128,58.35414
010/010440.jams,184,91.1192
010/010441.jams,136,67.50154
010/010442.jams,186,91.82891
010/010444.jams,90,180.5824
010/010541.jams,96,103.8546
010/010668.jams,127,22.395372
010/010670.jams,91,136.50137
010/010674.jams,55,110.00544
010/010675.jams,96,89.34492
010/010684.jams,123,61.823845
010/010696.jams,88,176.0087
010/010805.jams,144,72.587814
010/010809.jams,134,67.5804
010/010810.jams,84,168.99045
010/010983.jams,160,41.163326
011/011198.jams,153,76.274376
011/011234.jams,80,32.646774
011/011237.jams,146,100.62146
011/011239.jams,123,23.893654
011/011242.jams,138,47.629593
011/011508.jams,133,66.121544
011/011544.jams,162,141.62708
011/011671.jams,188,94.07633
011/011672.jams,84,73.96781
011/011674.jams,125,24.445652
011/011682.jams,75,46.21017
011/011767.jams,94,187.99496
011/011769.jams,92,46.013027
011/011770.jams,90,44.317604
011/011782.jams,121,106.14145
011/011916.jams,82,164.10129
011/011921.jams,121,75.54495
011/011942.jams,83,164.96873
011/011946.jams,162,85.32321
012/012051.jams,87,29.334784
012/012058.jams,186,92.18377
012/012060.jams,116,57.56557
012/012061.jams,96,120.88769
012/012173.jams,172,85.99349
012/012189.jams,89,177.98012
012/012346.jams,144,20.266235
012/012348.jams,130,64.97812
012/012351.jams,116,57.407856
012/012352.jams,123,61.902702
012/012353.jams,119,63.0067
012/012355.jams,63,126.0134
012/012508.jams,73,149.67049
012/012527.jams,120,59.970707
012/012551.jams,150,74.89439
012/012552.jams,153,76.43209
012/012690.jams,150,74.95352
012/012691.jams,144,72.469536
012/012737.jams,146,152.07562
012/012986.jams,121,81.45922
013/013197.jams,116,58.03871
013/013537.jams,152,75.958954
013/013556.jams,85,170.01558
013/013707.jams,188,93.95805
013/013710.jams,135,94.19462
013/013735.jams,130,64.34727
013/013748.jams,148,74.04667
013/013749.jams,86,129.0494
013/013927.jams,143,71.28668
014/014208.jams,85,170.01558
014/014315.jams,94,125.61911
014/014316.jams,81,66.59469
014/014317.jams,87,55.949
014/014319.jams,90,71.44439
014/014320.jams,87,46.44674
014/014539.jams,121,95.9689
014/014541.jams,167,83.39122
014/014578.jams,120,59.93128
014/014579.jams,65,129.95624
014/014584.jams,60,119.941414
014/014588.jams,195,65.33298
014/014589.jams,65,43.33189
014/014590.jams,161,79.901794
014/014601.jams,84,70.41925
014/014602.jams,146,73.43553
014/014604.jams,87,53.465008
014/014663.jams,200,99.99061
014/014737.jams,125,93.76091
014/014740.jams,85,170.64642
014/014744.jams,86,172.93327
015/015464.jams,74,36.35305
015/015469.jams,153,144.62364
015/015471.jams,112,96.04776
015/015475.jams,220,110.87286
015/015476.jams,99,20.89709
015/015487.jams,143,108.90144
015/015488.jams,153,76.45181
015/015540.jams,100,113.278
015/015541.jams,200,99.99061
015/015625.jams,143,25.391937
015/015880.jams,77,149.7099
016/016334.jams,146,78.975235
016/016338.jams,142,71.05011
016/016339.jams,195,97.54604
016/016743.jams,142,70.81354
016/016744.jams,144,108.66487
016/016745.jams,136,68.17183
016/016821.jams,164,81.616936
016/016878.jams,84,168.04416
016/016879.jams,162,81.1438
017/017344.jams,160,78.26552
017/017345.jams,123,41.478752
017/017496.jams,78,155.97903
017/017573.jams,119,113.67229
017/017607.jams,77,41.912468
017/017608.jams,80,62.375843
017/017609.jams,77,59.458138
017/017611.jams,121,46.643883
017/017633.jams,162,81.38037
017/017636.jams,158,79.014656
017/017637.jams,151,76.25467
017/017644.jams,125,99.99061
018/018031.jams,188,93.83977
018/018032.jams,162,81.38037
018/018043.jams,144,76.57009
018/018044.jams,77,62.494125
018/018146.jams,148,74.2241
018/018876.jams,96,79.80323
019/019184.jams,116,84.77122
019/019192.jams,96,89.81806
019/019416.jams,77,153.73161
019/019422.jams,77,42.30675
019/019673.jams,125,93.36662
019/019685.jams,85,90.370056
019/019891.jams,77,153.45561
020/020050.jams,161,79.94123
020/020361.jams,150,75.012665
020/020364.jams,97,48.97016
020/020373.jams,85,169.85786
020/020375.jams,80,131.1391
020/020424.jams,96,63.164413
020/020818.jams,143,107.16659
021/021058.jams,96,47.66902
021/021402.jams,80,160.04018
021/021774.jams,87,44.08103
021/021842.jams,80,57.013573
021/021999.jams,188,93.99748
022/022093.jams,142,70.97125
022/022150.jams,81,86.74264
022/022472.jams,186,92.30205
022/022473.jams,177,88.67463
022/022476.jams,82,164.57445
022/022481.jams,120,60.916985
023/023329.jams,96,75.22952
024/024367.jams,92,68.960396
024/024370.jams,162,80.631226
024/024421.jams,64,80.00037
024/024424.jams,80,160.00073
024/024426.jams,84,168.123
024/024432.jams,71,141.98193
024/024512.jams,144,77.85152
024/024515.jams,87,105.7866
024/024521.jams,121,55.19986
024/024524.jams,96,48.102737
024/024699.jams,208,103.18431
024/024700.jams,164,81.53808
024/024701.jams,151,45.73703
024/024741.jams,149,74.00724
024/024746.jams,167,83.548935
024/024749.jams,162,81.34094
024/024842.jams,119,58.86671
024/024899.jams,96,41.478752
024/024901.jams,120,42.81932
024/024912.jams,96,82.642075
024/024915.jams,123,42.661606
024/024917.jams,132,50.86273
024/024963.jams,78,156.25504
025/025031.jams,170,84.810646
025/025032.jams,108,54.411293
025/025033.jams,162,81.22266
025/025215.jams,130,64.82041
025/025227.jams,143,45.500458
025/025232.jams,153,45.027317
025/025233.jams,156,80.11865
025/025234.jams,133,44.554173
025/025235.jams,89,44.94846
025/025601.jams,144,72.016106
025/025605.jams,80,160.00073
026/026026.jams,120,80.0398
026/026301.jams,73,146.87106
026/026322.jams,81,40.847897
026/026464.jams,123,61.449272
026/026583.jams,70,128.61569
026/026600.jams,73,124.6334
026/026605.jams,57,111.66144
026/026754.jams,141,70.65582
026/026765.jams,77,104.09117
026/026902.jams,205,93.76091
027/027456.jams,116,57.72328
027/027547.jams,200,99.51746
027/027945.jams,84,111.18829
027/027953.jams,77,73.494675
027/027975.jams,144,72.548386
027/027978.jams,143,71.3261
027/027981.jams,133,66.55526
028/028070.jams,86,173.32756
028/028072.jams,92,177.42813
028/028241.jams,143,87.136925
028/028274.jams,96,45.815884
028/028375.jams,96,49.04902
028/028477.jams,140,104.958595
028/028478.jams,105,52.43987
028/028479.jams,140,69.98554
028/028481.jams,160,79.960945
028/028482.jams,120,59.93128
028/028485.jams,100,49.955875
029/029180.jams,67,47.393024
029/029243.jams,120,60.286133
029/029350.jams,128,30.911922
029/029355.jams,80,154.48076
029/029526.jams,130,65.05698
029/029673.jams,174,86.97921
029/029741.jams,85,170.01558
029/029742.jams,169,85.00779
029/029746.jams,90,180.66127
029/029807.jams,162,81.02551
030/030043.jams,150,75.03239
030/030056.jams,143,71.40497
030/030120.jams,119,59.458138
030/030198.jams,85,170.09442
030/030230.jams,86,107.16659
030/030636.jams,74,47.787308
030/030690.jams,96,40.0199
030/030740.jams,151,75.328094
031/031040.jams,80,160.00073
031/031041.jams,130,64.97812
031/031389.jams,68,136.77737
031/031888.jams,138,68.72383
031/031889.jams,151,90.370056
032/032001.jams,80,159.9613
032/032218.jams,87,130.50826
032/032333.jams,130,97.50661
032/032336.jams,165,41.321037
032/032338.jams,80,120.02027
032/032340.jams,100,50.034733
032/032439.jams,161,80.00037
032/032689.jams,86,172.06586
032/032695.jams,148,74.00724
032/032756.jams,140,69.98554
032/032882.jams,186,92.77519
033/033064.jams,179,89.50263
033/033278.jams,77,153.88933
033/033426.jams,151,75.8998
033/033460.jams,128,136.46194
033/033477.jams,67,91.907776
033/033486.jams,128,144.03221
034/034510.jams,96,48.339306
034/034511.jams,80,52.676437
034/034994.jams,123,79.507515
034/034996.jams,77,56.934715
035/035007.jams,144,69.70954
035/035008.jams,80,160.00073
035/035199.jams,125,93.72147
035/035444.jams,77,72.587814
035/035462.jams,125,62.33641
035/035527.jams,157,78.50209
035/035537.jams,78,155.97903
035/035545.jams,108,54.056435
035/035549.jams,78,155.97903
035/035734.jams,73,67.89583
036/036143.jams,84,126.2894
036/036144.jams,69,137.99965
036/036257.jams,96,121.00598
036/036258.jams,140,69.98554
036/036273.jams,150,75.11124
036/036275.jams,151,75.42667
036/036371.jams,174,87.01865
036/036616.jams,121,60.010136
036/036659.jams,65,129.99567
036/036994.jams,80,160.04018
037/037041.jams,121,42.661606
037/037119.jams,96,42.661606
037/037147.jams,132,66.003265
037/037324.jams,90,66.79183
037/037538.jams,90,78.344376
037/037730.jams,143,71.44439
037/037731.jams,81,122.228264
037/037779.jams,158,77.63466
037/037784.jams,120,75.70267
037/037920.jams,170,152.94305
038/038361.jams,96,58.748425
038/038435.jams,96,23.18394
038/038557.jams,151,75.781525
038/038560.jams,144,72.07525
038/038783.jams,130,64.741554
038/038824.jams,126,62.730705
038/038825.jams,130,64.82041
038/038829.jams,107,72.154106
038/038833.jams,177,88.00435
038/038847.jams,96,49.36445
038/038879.jams,67,99.99061
038/038881.jams,135,44.94846
038/038887.jams,134,116.629425
038/038888.jams,67,49.995304
038/038890.jams,158,112.56829
038/038892.jams,134,90.015205
038/038895.jams,133,66.63412
038/038896.jams,144,72.03582
038/038898.jams,84,66.63412
038/038899.jams,90,135.04251
038/038902.jams,90,134.76651
038/038904.jams,136,77.358665
038/038906.jams,134,66.63412
038/038910.jams,134,66.63412
038/038961.jams,140,104.958595
038/038965.jams,96,100.14832
038/038967.jams,151,79.74409
039/039316.jams,143,41.478752
039/039317.jams,80,144.78136
039/039318.jams,156,134.1751
039/039488.jams,174,86.97921
039/039662.jams,151,75.466095
039/039666.jams,168,84.258644
039/039667.jams,77,86.5455
039/039875.jams,143,54.017006
039/039900.jams,121,59.458138
039/039904.jams,138,132.47968
040/040147.jams,113,58.984993
040/040161.jams,120,65.687836
040/040180.jams,121,60.562134
040/040182.jams,163,54.569008
040/040230.jams,146,73.2581
040/040234.jams,94,40.76904
040/040235.jams,120,55.98843
040/040237.jams,121,59.37928
040/040238.jams,87,58.984993
040/040509.jams,80,108.9803
040/040598.jams,121,57.56557
040/040654.jams,96,77.043236
040/040655.jams,96,45.579315
040/040656.jams,137,50.547302
040/040657.jams,120,20.345093
040/040659.jams,138,69.07868
040/040660.jams,120,66.712975
040/040725.jams,74,45.263885
040/040842.jams,87,173.95842
040/040843.jams,78,156.01846
040/040908.jams,121,42.34618
040/040986.jams,86,172.539
041/041054.jams,120,46.44674
041/041191.jams,106,78.58094
041/041192.jams,153,77.043236
041/041310.jams,106,131.09967
