Item,Reference,Estimate
1147737.LOFI.jams,172.0,114.844
1164433.LOFI.jams,86.0,139.675
1277819.LOFI.jams,148.0,99.384
1460099.LOFI.jams,140.0,93.9631
1478848.LOFI.jams,70.0,126.048
1579295.LOFI.jams,87.0,92.2852
1669212.LOFI.jams,65.0,161.499
1758017.LOFI.jams,178.0,120.185
180831.LOFI.jams,80.0,109.957
1857841.LOFI.jams,145.0,97.5088
1860990.LOFI.jams,128.0,86.1328
1895483.LOFI.jams,90.0,135.999
1971434.LOFI.jams,128.0,172.266
2016942.LOFI.jams,52.0,143.555
2047805.LOFI.jams,175.0,120.185
23309.LOFI.jams,140.0,93.9631
2422478.LOFI.jams,176.0,117.454
2446138.LOFI.jams,70.0,126.048
292281.LOFI.jams,90.0,123.047
297030.LOFI.jams,140.0,93.9631
297513.LOFI.jams,104.0,129.199
297757.LOFI.jams,124.0,129.199
298399.LOFI.jams,150.0,112.347
298984.LOFI.jams,140.0,93.9631
298985.LOFI.jams,140.0,93.9631
298987.LOFI.jams,140.0,93.9631
299396.LOFI.jams,80.0,120.185
299464.LOFI.jams,157.0,105.469
299471.LOFI.jams,160.0,107.666
299491.LOFI.jams,77.0,103.359
299509.LOFI.jams,77.0,103.359
299789.LOFI.jams,140.0,93.9631
299812.LOFI.jams,140.0,147.656
3213612.LOFI.jams,174.0,117.454
3520807.LOFI.jams,95.0,105.469
3527620.LOFI.jams,172.0,114.844
3607700.LOFI.jams,70.0,80.7495
3676879.LOFI.jams,70.0,93.9631
3687603.LOFI.jams,75.0,126.048
3854133.LOFI.jams,72.0,95.7031
3937649.LOFI.jams,174.0,117.454
4032964.LOFI.jams,148.0,99.384
4051513.LOFI.jams,126.0,84.7208
4085830.LOFI.jams,140.0,93.9631
4416284.LOFI.jams,175.0,117.454
4873800.LOFI.jams,140.0,93.9631
4974176.LOFI.jams,156.0,114.844
5492171.LOFI.jams,70.0,93.9631
561086.LOFI.jams,174.0,117.454
5956160.LOFI.jams,175.0,117.454
60661.LOFI.jams,90.0,120.185
6221323.LOFI.jams,94.0,172.266
6275472.LOFI.jams,175.0,117.454
6359688.LOFI.jams,77.0,103.359
680345.LOFI.jams,170.0,114.844
760778.LOFI.jams,140.0,191.406
787388.LOFI.jams,178.0,120.185
