Item,Reference,Estimate
1327052.LOFI.jams,175.0,153.69218
1380256.LOFI.jams,126.0,157.5956
1418652.LOFI.jams,140.0,104.998024
1479462.LOFI.jams,90.0,97.97975
1676961.LOFI.jams,170.0,152.98247
1735621.LOFI.jams,95.25,126.95968
1743969.LOFI.jams,130.0,78.521805
1905592.LOFI.jams,118.0,85.00779
1974485.LOFI.jams,170.0,78.00923
2676506.LOFI.jams,126.0,79.014656
2726350.LOFI.jams,128.0,117.57571
2726353.LOFI.jams,128.0,117.615135
2726355.LOFI.jams,128.0,117.57571
2745205.LOFI.jams,127.0,116.70828
2759853.LOFI.jams,128.0,93.95805
3013772.LOFI.jams,165.0,123.72654
3023605.LOFI.jams,145.0,99.91175
3041381.LOFI.jams,119.0,74.06638
3069960.LOFI.jams,140.0,104.998024
3091814.LOFI.jams,120.0,124.98825
3128068.LOFI.jams,128.0,95.85062
3181214.LOFI.jams,140.0,106.02316
3208076.LOFI.jams,107.0,127.03854
3209004.LOFI.jams,129.0,120.02027
3218565.LOFI.jams,200.0,127.59054
3218804.LOFI.jams,174.0,141.23279
3226180.LOFI.jams,180.0,140.12878
3247762.LOFI.jams,170.0,89.89692
3269670.LOFI.jams,140.0,90.52777
3291017.LOFI.jams,140.0,82.957504
3297802.LOFI.jams,126.0,157.55618
3317417.LOFI.jams,96.0,127.98483
3368053.LOFI.jams,128.0,117.57571
3368054.LOFI.jams,127.0,116.66885
3368055.LOFI.jams,127.0,116.66885
3383105.LOFI.jams,85.0,79.98065
3391054.LOFI.jams,199.0,139.69508
3412362.LOFI.jams,130.0,119.42884
3484119.LOFI.jams,122.0,127.98483
3535520.LOFI.jams,100.0,110.00544
3564559.LOFI.jams,170.0,127.55111
3642438.LOFI.jams,172.0,107.48202
3787878.LOFI.jams,132.0,115.52542
3789981.LOFI.jams,80.0,86.97921
3792954.LOFI.jams,95.9,127.98483
3801596.LOFI.jams,140.0,88.95064
3824612.LOFI.jams,126.0,120.02027
3873406.LOFI.jams,128.0,119.98084
3902915.LOFI.jams,128.0,117.654564
3964688.LOFI.jams,124.0,110.24201
3970827.LOFI.jams,180.0,171.90814
3980001.LOFI.jams,53.0,82.99693
4004314.LOFI.jams,80.0,96.00833
4017611.LOFI.jams,73.0,109.49287
4032006.LOFI.jams,145.0,127.98483
4038987.LOFI.jams,140.0,93.52434
4043892.LOFI.jams,175.0,138.07852
4151958.LOFI.jams,140.0,66.73269
4193623.LOFI.jams,92.0,129.8774
4218466.LOFI.jams,115.0,74.00724
4237913.LOFI.jams,125.0,154.91446
4264210.LOFI.jams,82.0,122.97741
4283854.LOFI.jams,175.0,131.21796
4304445.LOFI.jams,190.0,90.015205
4332592.LOFI.jams,133.7,88.00435
4353566.LOFI.jams,126.0,120.02027
4377106.LOFI.jams,129.0,140.01051
4416336.LOFI.jams,185.0,138.11795
4480454.LOFI.jams,86.0,76.491234
4497852.LOFI.jams,99.0,148.01448
4549757.LOFI.jams,174.0,130.50826
4604737.LOFI.jams,127.0,158.73903
4609944.LOFI.jams,58.0,144.97849
4625875.LOFI.jams,172.0,75.48581
4678080.LOFI.jams,172.0,150.93219
4896659.LOFI.jams,110.0,85.00779
4936740.LOFI.jams,140.0,91.671196
5089294.LOFI.jams,140.0,85.00779
5118757.LOFI.jams,130.0,140.01051
5135326.LOFI.jams,130.0,97.50661
5137157.LOFI.jams,140.0,76.550385
5335389.LOFI.jams,140.0,104.998024
672063.LOFI.jams,175.0,147.93562
691688.LOFI.jams,93.0,143.00708
691694.LOFI.jams,90.0,145.01793
906680.LOFI.jams,169.73,153.25848
906760.LOFI.jams,141.68,108.50716
