Item,Reference,Estimate
1240669.LOFI.jams,170.0,42.86
1418652.LOFI.jams,66.0,69.77
1747518.LOFI.jams,71.0,93.75
3069960.LOFI.jams,140.0,105.26
3312045.LOFI.jams,170.0,42.55
3377892.LOFI.jams,174.0,43.48
3414605.LOFI.jams,125.0,46.88
3480108.LOFI.jams,130.0,150.0
3509304.LOFI.jams,174.0,43.8
3564559.LOFI.jams,170.0,42.55
3630279.LOFI.jams,174.0,43.8
3642438.LOFI.jams,170.0,42.86
3787878.LOFI.jams,130.0,117.65
3835017.LOFI.jams,174.0,43.8
3980001.LOFI.jams,167.0,41.38
4149743.LOFI.jams,174.0,43.8
4237913.LOFI.jams,125.0,157.89
4332592.LOFI.jams,132.0,176.47
4366506.LOFI.jams,197.0,49.59
4397469.LOFI.jams,174.0,43.8
4399289.LOFI.jams,174.0,43.8
4420924.LOFI.jams,139.0,181.82
4471292.LOFI.jams,174.0,43.8
4486124.LOFI.jams,174.0,43.8
4489017.LOFI.jams,174.0,43.48
4586220.LOFI.jams,174.0,42.86
4604737.LOFI.jams,127.0,171.43
4678080.LOFI.jams,174.0,43.17
5137153.LOFI.jams,130.0,150.0
5137154.LOFI.jams,134.0,139.53
5137157.LOFI.jams,153.0,146.34
5214755.LOFI.jams,170.0,42.55
5335389.LOFI.jams,71.0,105.26
5347155.LOFI.jams,174.0,117.65
672064.LOFI.jams,174.0,43.48
861484.LOFI.jams,171.0,42.55
906680.LOFI.jams,170.0,42.55
906760.LOFI.jams,104.0,142.86
942357.LOFI.jams,170.0,42.55
