Item,Reference,Estimate
1234668.LOFI.jams,174.0,87.49178
1240669.LOFI.jams,170.0,85.520355
1317507.LOFI.jams,174.0,87.01865
1380256.LOFI.jams,127.0,157.55618
1418652.LOFI.jams,66.0,140.01051
1461087.LOFI.jams,90.0,179.95155
1698047.LOFI.jams,87.0,173.95842
172384.LOFI.jams,84.0,167.96529
1743969.LOFI.jams,79.0,157.00418
1747518.LOFI.jams,71.0,139.97108
1855660.LOFI.jams,174.0,86.97921
1905591.LOFI.jams,179.0,89.97578
1974485.LOFI.jams,167.0,155.97903
210560.LOFI.jams,78.0,157.95047
2422602.LOFI.jams,127.0,95.259186
2725284.LOFI.jams,174.0,87.49178
2734649.LOFI.jams,174.0,87.01865
2734862.LOFI.jams,179.0,89.97578
2741734.LOFI.jams,179.0,90.015205
2757093.LOFI.jams,81.0,160.00073
3013673.LOFI.jams,156.0,78.50209
3023605.LOFI.jams,134.0,99.91175
3062661.LOFI.jams,170.0,85.00779
3069960.LOFI.jams,140.0,104.998024
3088145.LOFI.jams,64.0,126.99911
3130573.LOFI.jams,174.0,87.49178
3151015.LOFI.jams,174.0,86.97921
3158774.LOFI.jams,170.0,84.02208
3173482.LOFI.jams,83.0,164.96873
3173803.LOFI.jams,188.0,93.01177
3189712.LOFI.jams,170.0,85.00779
3194652.LOFI.jams,87.0,174.98357
3209061.LOFI.jams,174.0,86.97921
3289180.LOFI.jams,160.0,80.00037
3312045.LOFI.jams,170.0,85.00779
3313129.LOFI.jams,85.0,170.01558
3336604.LOFI.jams,170.0,85.00779
3343760.LOFI.jams,87.0,174.98357
3370500.LOFI.jams,170.0,85.00779
3383105.LOFI.jams,81.0,160.00073
3433621.LOFI.jams,85.0,170.01558
3439626.LOFI.jams,174.0,86.97921
3467867.LOFI.jams,170.0,85.99349
3480108.LOFI.jams,130.0,150.02533
3482510.LOFI.jams,170.0,85.00779
3519546.LOFI.jams,167.0,82.99693
3630279.LOFI.jams,174.0,132.24309
3642438.LOFI.jams,170.0,107.48202
3658743.LOFI.jams,144.0,71.99639
3696445.LOFI.jams,147.0,73.494675
3733281.LOFI.jams,70.0,139.97108
3754674.LOFI.jams,71.0,140.01051
3787878.LOFI.jams,130.0,115.48599
3789981.LOFI.jams,86.0,173.95842
3801596.LOFI.jams,179.0,89.02949
3863498.LOFI.jams,150.0,74.00724
3875836.LOFI.jams,174.0,85.99349
3879813.LOFI.jams,142.0,71.01067
3886124.LOFI.jams,174.0,86.97921
3914630.LOFI.jams,86.0,171.98698
3970827.LOFI.jams,174.0,85.99349
3980001.LOFI.jams,167.0,82.99693
400259.LOFI.jams,174.0,86.506065
4006551.LOFI.jams,144.0,71.99639
4017611.LOFI.jams,147.0,109.49287
4043892.LOFI.jams,183.0,137.99965
4072499.LOFI.jams,174.0,86.97921
4086561.LOFI.jams,87.0,173.95842
4136911.LOFI.jams,153.0,75.99838
4149743.LOFI.jams,174.0,87.49178
4172572.LOFI.jams,174.0,87.01865
4218466.LOFI.jams,174.0,148.01448
4226166.LOFI.jams,179.0,88.99006
4283854.LOFI.jams,87.0,131.25739
4288893.LOFI.jams,127.0,85.00779
4301518.LOFI.jams,174.0,86.97921
4332592.LOFI.jams,132.0,176.0087
4346730.LOFI.jams,86.0,173.01213
4366506.LOFI.jams,197.0,99.0049
4397469.LOFI.jams,174.0,87.49178
4398117.LOFI.jams,179.0,88.99006
4399289.LOFI.jams,174.0,87.49178
4416336.LOFI.jams,188.0,92.45976
4469489.LOFI.jams,174.0,86.506065
4480454.LOFI.jams,170.0,76.491234
4486124.LOFI.jams,174.0,87.49178
4495270.LOFI.jams,160.0,80.00037
4532060.LOFI.jams,170.0,85.00779
4547732.LOFI.jams,174.0,85.99349
4549757.LOFI.jams,174.0,87.01865
4624663.LOFI.jams,167.0,157.9899
4625875.LOFI.jams,170.0,85.99349
4661735.LOFI.jams,160.0,80.00037
4696505.LOFI.jams,160.0,80.00037
4816604.LOFI.jams,70.0,140.01051
4896659.LOFI.jams,85.0,127.472244
4951739.LOFI.jams,170.0,85.00779
5068771.LOFI.jams,174.0,86.97921
5073839.LOFI.jams,174.0,86.97921
5076821.LOFI.jams,169.0,85.48093
5089294.LOFI.jams,170.0,85.00779
5135326.LOFI.jams,130.0,97.50661
5137153.LOFI.jams,130.0,150.26192
5137154.LOFI.jams,134.0,140.01051
5137157.LOFI.jams,153.0,140.04993
5195826.LOFI.jams,174.0,86.97921
5214755.LOFI.jams,170.0,85.00779
5214943.LOFI.jams,74.0,147.97505
5335389.LOFI.jams,71.0,104.998024
5355157.LOFI.jams,167.0,82.99693
5431709.LOFI.jams,87.0,174.98357
906680.LOFI.jams,170.0,153.25848
906681.LOFI.jams,172.0,85.87521
906760.LOFI.jams,104.0,139.73451
942357.LOFI.jams,170.0,85.00779
