Item,Reference,Estimate
1240672.LOFI.jams,87.0,174
1329955.LOFI.jams,127.0,84
1418652.LOFI.jams,66.0,140
1698047.LOFI.jams,87.0,174
1743969.LOFI.jams,79.0,157
1747518.LOFI.jams,71.0,140
1885798.LOFI.jams,101.0,201
2083969.LOFI.jams,69.0,138
2741734.LOFI.jams,179.0,90
3013673.LOFI.jams,156.0,78
3023605.LOFI.jams,134.0,201
3079792.LOFI.jams,150.0,75
3173482.LOFI.jams,83.0,165
3190021.LOFI.jams,179.0,90
3190084.LOFI.jams,87.0,174
3194652.LOFI.jams,87.0,174
3226180.LOFI.jams,142.0,70
3244386.LOFI.jams,139.0,70
3289180.LOFI.jams,160.0,80
3343760.LOFI.jams,87.0,174
3383105.LOFI.jams,81.0,160
3387888.LOFI.jams,88.0,174
3480108.LOFI.jams,130.0,150
3630279.LOFI.jams,174.0,132
3642438.LOFI.jams,170.0,118
3733281.LOFI.jams,70.0,140
3787878.LOFI.jams,130.0,116
3789981.LOFI.jams,86.0,174
3801596.LOFI.jams,179.0,89
3819089.LOFI.jams,87.0,174
3863498.LOFI.jams,150.0,74
3907042.LOFI.jams,170.0,85
3920460.LOFI.jams,179.0,90
3970827.LOFI.jams,174.0,86
3980001.LOFI.jams,167.0,83
4017608.LOFI.jams,101.0,200
4029970.LOFI.jams,144.0,72
4043892.LOFI.jams,183.0,138
4044590.LOFI.jams,100.0,201
4072499.LOFI.jams,174.0,87
4086561.LOFI.jams,87.0,174
4153394.LOFI.jams,80.0,160
4163587.LOFI.jams,127.0,63
4264359.LOFI.jams,85.0,169
4265125.LOFI.jams,174.0,87
4279669.LOFI.jams,82.0,164
4288893.LOFI.jams,127.0,169
4313859.LOFI.jams,87.0,174
4332592.LOFI.jams,132.0,175
4346730.LOFI.jams,86.0,174
4416888.LOFI.jams,89.0,178
4459005.LOFI.jams,170.0,86
4475855.LOFI.jams,139.0,70
4495270.LOFI.jams,160.0,80
4625875.LOFI.jams,170.0,86
4661735.LOFI.jams,160.0,80
4816604.LOFI.jams,70.0,140
4951739.LOFI.jams,170.0,85
5089294.LOFI.jams,170.0,85
5137153.LOFI.jams,130.0,149
5137154.LOFI.jams,134.0,140
5137157.LOFI.jams,153.0,76
5214755.LOFI.jams,170.0,85
5355157.LOFI.jams,167.0,83
5431709.LOFI.jams,87.0,175
906760.LOFI.jams,104.0,116
942357.LOFI.jams,170.0,85
