Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018
boeck2015/tempodetector2016_default,1.0,0.024306510109454397,0.024306510109454397,0.0013187271542847159,7.124254208168988e-69,0.07245426016254443,0.5044037600228253,0.14330665429588418,0.05325191409792753,0.00029407687543425725,6.164889782667164e-06,0.00019107642583549025
boeck2019/multi_task,0.024306510109454397,1.0,1.0,0.22656250000000003,4.616715713055496e-84,0.9999999999999997,0.004533861582189049,0.5234670639038081,0.9999999999999998,0.07835388183593749,0.007537841796875001,0.07835388183593749
boeck2019/multi_task_hjdb,0.024306510109454397,1.0,1.0,0.22656250000000003,4.086955628038495e-81,1.0,0.004533861582189049,0.5234670639038081,0.9999999999999998,0.07835388183593749,0.007537841796875001,0.06356811523437494
boeck2020/dar,0.0013187271542847159,0.22656250000000003,0.22656250000000003,1.0,1.3443771596649065e-82,0.361594608053565,0.00017015517460094998,0.07835388183593749,0.2862787246704102,0.5034446716308595,0.14346313476562497,0.48068237304687483
davies2009/mirex_qm_tempotracker,7.124254208168988e-69,4.616715713055496e-84,4.086955628038495e-81,1.3443771596649065e-82,1.0,8.089648151259769e-81,1.5990716831474398e-61,1.8320810918369566e-73,2.910160477942672e-75,3.475952355412592e-85,4.4330095810320365e-86,2.5696096449990534e-81
percival2014/stem,0.07245426016254443,0.9999999999999997,1.0,0.361594608053565,8.089648151259769e-81,1.0,0.012660335802414201,0.7283324808813629,1.0,0.06391465663909912,0.0071973800659179705,0.09873714670538908
schreiber2014/default,0.5044037600228253,0.004533861582189049,0.004533861582189049,0.00017015517460094998,1.5990716831474398e-61,0.012660335802414201,1.0,0.0052228793501853926,0.0008779102936387064,8.96303936315234e-06,6.677873898297548e-08,8.96303936315234e-06
schreiber2017/ismir2017,0.14330665429588418,0.5234670639038081,0.5234670639038081,0.07835388183593749,1.8320810918369566e-73,0.7283324808813629,0.0052228793501853926,1.0,0.25,0.0106220245361328,0.00014495849609375,0.0071973800659179705
schreiber2017/mirex2017,0.05325191409792753,0.9999999999999998,0.9999999999999998,0.2862787246704102,2.910160477942672e-75,1.0,0.0008779102936387064,0.25,1.0,0.04138946533203125,0.0009765624999999998,0.0308837890625
schreiber2018/cnn,0.00029407687543425725,0.07835388183593749,0.07835388183593749,0.5034446716308595,3.475952355412592e-85,0.06391465663909912,8.96303936315234e-06,0.0106220245361328,0.04138946533203125,1.0,0.548828125,1.0
schreiber2018/fcn,6.164889782667164e-06,0.007537841796875001,0.007537841796875001,0.14346313476562497,4.4330095810320365e-86,0.0071973800659179705,6.677873898297548e-08,0.00014495849609375,0.0009765624999999998,0.548828125,1.0,0.548828125
schreiber2018/ismir2018,0.00019107642583549025,0.07835388183593749,0.06356811523437494,0.48068237304687483,2.5696096449990534e-81,0.09873714670538908,8.96303936315234e-06,0.0071973800659179705,0.0308837890625,1.0,0.548828125,1.0
