Estimator,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,boeck2020/dar,davies2009/mirex_qm_tempotracker,percival2014/stem,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,sun2021/default
boeck2015/tempodetector2016_default,1.0,2.5748043876371847e-07,2.5496902987059056e-17,8.138727221866178e-33,0.12002980317267921,0.4301751729240899,0.20608811832312565,3.094476518203408e-06,3.112896932059014e-24,1.5526408891855132e-28,1.2222857682949327e-33,3.0710083750438266e-22,2.823487747407377e-29
boeck2019/multi_task,2.5748043876371847e-07,1.0,7.520325967903904e-11,3.2543196924729964e-23,5.434692086149547e-17,9.025808803332136e-17,9.175739835397844e-08,0.7826095613177515,3.5370958517174524e-14,1.590237953457022e-17,5.487893373956958e-23,4.2536013442923966e-14,2.4610527952684656e-18
boeck2019/multi_task_hjdb,2.5496902987059056e-17,7.520325967903904e-11,1.0,7.827399664782162e-11,3.740585060210861e-34,1.1223456617969903e-28,1.048499842962384e-18,1.0910007720978601e-06,0.00014098216439520646,1.5698201758749607e-07,1.988133144701414e-12,0.0008992454641523462,2.4703583394727466e-09
boeck2020/dar,8.138727221866178e-33,3.2543196924729964e-23,7.827399664782162e-11,1.0,6.302917000681195e-64,3.1896702332098844e-45,4.166036993541333e-33,6.862688124429219e-21,0.007672691347044085,0.36012014312657736,0.10698086947250555,0.0005202210525134316,0.68312159710387
davies2009/mirex_qm_tempotracker,0.12002980317267921,5.434692086149547e-17,3.740585060210861e-34,6.302917000681195e-64,1.0,0.35026851834569195,0.00019473865956948916,1.0448078243916367e-15,5.902816363459753e-51,2.3160566482524156e-62,6.161383815610612e-69,7.309563129592853e-49,5.490849171962842e-59
percival2014/stem,0.4301751729240899,9.025808803332136e-17,1.1223456617969903e-28,3.1896702332098844e-45,0.35026851834569195,1.0,0.00360298831714342,5.355296674808349e-13,6.129322660157205e-35,1.5239843760163873e-38,1.513349379562384e-44,1.0959576425749131e-36,2.384186755251976e-38
schreiber2014/default,0.20608811832312565,9.175739835397844e-08,1.048499842962384e-18,4.166036993541333e-33,0.00019473865956948916,0.00360298831714342,1.0,4.826342860119505e-06,6.073272129515551e-27,1.149136031532995e-29,1.9392775259053154e-35,4.230358867707653e-27,1.5656955104412602e-29
schreiber2017/ismir2017,3.094476518203408e-06,0.7826095613177515,1.0910007720978601e-06,6.862688124429219e-21,1.0448078243916367e-15,5.355296674808349e-13,4.826342860119505e-06,1.0,1.3587908202831587e-16,4.404723261252837e-19,1.15196754656241e-23,2.921664529224168e-14,6.66957406694353e-19
schreiber2017/mirex2017,3.112896932059014e-24,3.5370958517174524e-14,0.00014098216439520646,0.007672691347044085,5.902816363459753e-51,6.129322660157205e-35,6.073272129515551e-27,1.3587908202831587e-16,1.0,0.06287898284069729,1.6088160235112734e-05,0.4387181365062648,0.003940591815978778
schreiber2018/cnn,1.5526408891855132e-28,1.590237953457022e-17,1.5698201758749607e-07,0.36012014312657736,2.3160566482524156e-62,1.5239843760163873e-38,1.149136031532995e-29,4.404723261252837e-19,0.06287898284069729,1.0,0.003635122414287543,0.005552360911853129,0.21562314440949426
schreiber2018/fcn,1.2222857682949327e-33,5.487893373956958e-23,1.988133144701414e-12,0.10698086947250555,6.161383815610612e-69,1.513349379562384e-44,1.9392775259053154e-35,1.15196754656241e-23,1.6088160235112734e-05,0.003635122414287543,1.0,1.1761023961441479e-07,0.18354786509520443
schreiber2018/ismir2018,3.0710083750438266e-22,4.2536013442923966e-14,0.0008992454641523462,0.0005202210525134316,7.309563129592853e-49,1.0959576425749131e-36,4.230358867707653e-27,2.921664529224168e-14,0.4387181365062648,0.005552360911853129,1.1761023961441479e-07,1.0,0.0003026296997212968
sun2021/default,2.823487747407377e-29,2.4610527952684656e-18,2.4703583394727466e-09,0.68312159710387,5.490849171962842e-59,2.384186755251976e-38,1.5656955104412602e-29,6.66957406694353e-19,0.003940591815978778,0.21562314440949426,0.18354786509520443,0.0003026296997212968,1.0
