Tolerance (%),boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,0.04,0.0,0.001,0.364,0.0,0.206,0.0,0.0,0.0,0.0,0.0,0.39,0.412,0.354,0.061
0.0005,0.044,0.026,0.059,0.364,0.045,0.206,0.074,0.025,0.083,0.079,0.079,0.39,0.412,0.354,0.061
0.001,0.083,0.026,0.105,0.364,0.046,0.206,0.1,0.043,0.13,0.12,0.121,0.39,0.412,0.354,0.112
0.0015,0.095,0.029,0.147,0.364,0.101,0.206,0.176,0.06,0.187,0.162,0.163,0.39,0.412,0.354,0.16
0.002,0.102,0.039,0.181,0.364,0.142,0.206,0.243,0.088,0.212,0.19,0.192,0.39,0.412,0.354,0.192
0.0025,0.135,0.041,0.209,0.364,0.147,0.206,0.262,0.097,0.246,0.22,0.223,0.39,0.412,0.354,0.237
0.003,0.186,0.041,0.24,0.364,0.15,0.206,0.281,0.124,0.287,0.261,0.264,0.39,0.412,0.354,0.273
0.0035,0.251,0.082,0.269,0.364,0.231,0.206,0.33,0.133,0.322,0.297,0.299,0.39,0.412,0.354,0.293
0.004,0.284,0.107,0.29,0.364,0.294,0.206,0.371,0.173,0.349,0.323,0.325,0.39,0.412,0.354,0.316
0.0045,0.308,0.116,0.316,0.364,0.335,0.206,0.396,0.184,0.38,0.348,0.35,0.39,0.412,0.354,0.355
0.005,0.316,0.121,0.329,0.364,0.357,0.206,0.42,0.212,0.419,0.378,0.38,0.39,0.412,0.354,0.39
0.0055,0.343,0.135,0.349,0.364,0.388,0.206,0.442,0.24,0.438,0.402,0.404,0.39,0.412,0.354,0.402
0.006,0.36,0.135,0.379,0.364,0.411,0.206,0.47,0.28,0.463,0.422,0.424,0.39,0.412,0.354,0.414
0.0065,0.379,0.154,0.395,0.367,0.451,0.208,0.496,0.303,0.477,0.439,0.441,0.394,0.413,0.355,0.429
0.007,0.405,0.168,0.414,0.371,0.469,0.211,0.507,0.312,0.495,0.453,0.455,0.401,0.414,0.359,0.446
0.0075,0.412,0.201,0.432,0.376,0.496,0.219,0.529,0.324,0.514,0.47,0.471,0.406,0.419,0.364,0.457
0.008,0.45,0.203,0.446,0.4,0.514,0.25,0.547,0.331,0.529,0.488,0.489,0.426,0.441,0.383,0.468
0.0085,0.489,0.209,0.464,0.429,0.517,0.295,0.554,0.344,0.543,0.502,0.502,0.453,0.46,0.409,0.495
0.009,0.49,0.238,0.481,0.456,0.534,0.317,0.57,0.349,0.558,0.52,0.52,0.471,0.483,0.43,0.506
0.0095,0.491,0.249,0.503,0.485,0.548,0.345,0.587,0.36,0.583,0.541,0.541,0.492,0.499,0.447,0.526
0.01,0.501,0.252,0.515,0.514,0.56,0.396,0.6,0.377,0.596,0.556,0.555,0.517,0.529,0.477,0.539
0.0105,0.526,0.261,0.523,0.539,0.563,0.41,0.615,0.385,0.609,0.566,0.565,0.536,0.545,0.496,0.552
0.011,0.53,0.264,0.527,0.565,0.579,0.441,0.629,0.389,0.619,0.574,0.573,0.556,0.569,0.525,0.559
0.0115,0.536,0.267,0.535,0.572,0.583,0.458,0.641,0.402,0.621,0.578,0.578,0.562,0.575,0.531,0.563
0.012,0.556,0.272,0.544,0.578,0.587,0.471,0.647,0.411,0.634,0.59,0.59,0.572,0.582,0.541,0.573
0.0125,0.575,0.282,0.553,0.591,0.597,0.478,0.655,0.42,0.642,0.599,0.6,0.587,0.595,0.556,0.58
0.013,0.586,0.298,0.557,0.598,0.6,0.478,0.662,0.421,0.648,0.606,0.607,0.594,0.6,0.563,0.585
0.0135,0.601,0.336,0.564,0.606,0.608,0.478,0.665,0.427,0.656,0.613,0.614,0.6,0.604,0.566,0.592
0.014,0.61,0.336,0.566,0.613,0.609,0.478,0.671,0.432,0.661,0.616,0.617,0.605,0.613,0.573,0.596
0.0145,0.611,0.368,0.571,0.619,0.618,0.483,0.679,0.438,0.666,0.62,0.622,0.606,0.615,0.577,0.601
0.015,0.617,0.372,0.579,0.625,0.622,0.484,0.682,0.442,0.673,0.627,0.629,0.61,0.622,0.582,0.607
0.0155,0.617,0.372,0.582,0.634,0.625,0.488,0.686,0.448,0.677,0.634,0.637,0.617,0.628,0.59,0.611
0.016,0.622,0.389,0.584,0.634,0.634,0.493,0.698,0.451,0.68,0.634,0.638,0.623,0.632,0.592,0.612
0.0165,0.632,0.397,0.586,0.642,0.643,0.498,0.698,0.456,0.684,0.636,0.64,0.628,0.641,0.593,0.617
0.017,0.633,0.418,0.589,0.644,0.647,0.502,0.705,0.465,0.686,0.639,0.644,0.632,0.646,0.595,0.62
0.0175,0.636,0.422,0.592,0.644,0.647,0.506,0.705,0.474,0.692,0.643,0.648,0.635,0.648,0.6,0.623
