Item,Reference,Estimate
blues.00011.jams,56.0,167.25
blues.00016.jams,100.0,199.17
blues.00023.jams,92.0,97.66
blues.00032.jams,65.0,47.49
blues.00033.jams,153.0,77.25
blues.00035.jams,66.0,127.02
blues.00037.jams,114.0,75.91
blues.00040.jams,86.0,172.77
blues.00042.jams,60.0,179.06
blues.00047.jams,52.0,150.8
blues.00051.jams,99.0,198.04
blues.00052.jams,50.0,74.95
blues.00054.jams,90.0,180.47
blues.00056.jams,54.0,159.33
blues.00057.jams,93.0,186.05
blues.00060.jams,75.0,148.88
blues.00061.jams,66.0,131.61
blues.00064.jams,78.0,155.05
blues.00065.jams,54.0,107.94
blues.00066.jams,81.0,162.58
blues.00067.jams,80.0,160.52
blues.00068.jams,80.0,161.02
blues.00070.jams,74.0,146.85
blues.00071.jams,74.0,146.67
blues.00073.jams,48.0,97.67
blues.00075.jams,60.0,117.63
blues.00076.jams,58.0,116.11
blues.00077.jams,74.0,147.04
blues.00078.jams,120.0,242.73
blues.00079.jams,79.0,156.96
blues.00081.jams,102.0,204.24
blues.00082.jams,62.0,125.31
blues.00083.jams,66.0,132.97
blues.00085.jams,72.0,142.97
blues.00086.jams,61.0,122.39
blues.00087.jams,88.0,175.87
blues.00090.jams,71.0,141.2
blues.00091.jams,62.0,124.92
blues.00094.jams,52.0,102.14
blues.00095.jams,70.0,137.05
blues.00096.jams,58.0,117.58
classical.00001.jams,38.0,115.27
classical.00006.jams,48.0,96.48
classical.00014.jams,148.0,73.72
classical.00016.jams,50.0,99.2
classical.00024.jams,76.0,151.91
classical.00032.jams,44.0,57.15
classical.00033.jams,62.0,65.36
classical.00034.jams,52.0,59.34
classical.00035.jams,75.0,149.97
classical.00036.jams,70.0,65.42
classical.00037.jams,68.0,78.21
classical.00039.jams,69.0,86.1
classical.00041.jams,50.0,44.78
classical.00042.jams,64.0,191.78
classical.00043.jams,65.0,61.79
classical.00044.jams,64.0,77.4
classical.00046.jams,66.0,129.7
classical.00047.jams,68.0,75.94
classical.00049.jams,140.0,75.5
classical.00051.jams,139.0,68.59
classical.00053.jams,77.0,106.66
classical.00054.jams,46.0,94.08
classical.00055.jams,61.0,58.17
classical.00056.jams,40.0,71.94
classical.00057.jams,59.0,80.49
classical.00061.jams,77.0,153.57
classical.00062.jams,94.0,63.36
classical.00064.jams,45.0,95.98
classical.00065.jams,82.0,124.26
classical.00066.jams,130.0,136.99
classical.00067.jams,91.0,77.74
classical.00070.jams,54.0,159.74
classical.00071.jams,72.0,141.68
classical.00080.jams,60.0,69.88
classical.00081.jams,74.0,145.65
classical.00082.jams,57.0,111.74
classical.00083.jams,76.0,79.26
classical.00084.jams,55.0,107.15
classical.00093.jams,70.0,138.2
classical.00094.jams,92.0,85.7
classical.00096.jams,68.0,133.68
classical.00099.jams,43.0,85.93
country.00002.jams,83.0,162.92
country.00007.jams,50.0,101.05
country.00017.jams,85.0,176.11
country.00018.jams,87.0,172.28
country.00022.jams,62.0,184.99
country.00024.jams,64.0,128.48
country.00031.jams,55.0,110.59
country.00032.jams,50.0,98.0
country.00035.jams,100.0,198.12
country.00038.jams,78.0,155.21
country.00039.jams,94.0,184.63
country.00041.jams,66.0,130.64
country.00042.jams,103.0,203.62
country.00043.jams,70.0,138.21
country.00044.jams,40.0,78.76
country.00046.jams,79.0,156.94
country.00048.jams,60.0,117.86
country.00049.jams,57.0,114.18
country.00053.jams,90.0,180.41
country.00055.jams,66.0,132.13
country.00062.jams,88.0,176.53
country.00066.jams,110.0,219.67
country.00069.jams,38.0,113.09
country.00072.jams,75.0,149.32
country.00073.jams,76.0,151.12
country.00076.jams,73.0,145.14
country.00077.jams,91.0,181.8
country.00079.jams,41.0,81.66
country.00081.jams,90.0,179.9
country.00084.jams,87.0,173.71
country.00090.jams,68.0,134.51
country.00092.jams,82.0,163.54
country.00096.jams,58.0,115.24
country.00097.jams,38.0,113.07
country.00099.jams,74.0,146.6
disco.00043.jams,65.0,127.9
disco.00053.jams,70.0,139.09
disco.00072.jams,68.0,136.46
disco.00075.jams,66.0,132.59
disco.00086.jams,63.0,125.49
disco.00094.jams,69.0,138.16
hiphop.00011.jams,102.0,199.45
hiphop.00018.jams,105.0,208.12
hiphop.00030.jams,90.0,179.52
hiphop.00034.jams,101.0,198.5
hiphop.00044.jams,57.0,116.59
hiphop.00053.jams,106.0,215.56
hiphop.00069.jams,102.0,202.93
hiphop.00080.jams,97.0,193.02
hiphop.00085.jams,110.0,220.59
hiphop.00094.jams,74.0,148.2
hiphop.00096.jams,110.0,216.45
hiphop.00098.jams,106.0,211.27
jazz.00001.jams,75.0,137.32
jazz.00002.jams,99.0,49.7
jazz.00003.jams,68.0,73.19
jazz.00005.jams,108.0,215.08
jazz.00009.jams,61.0,56.44
jazz.00011.jams,102.0,200.98
jazz.00014.jams,58.0,61.36
jazz.00015.jams,118.0,235.94
jazz.00017.jams,108.0,203.92
jazz.00018.jams,102.0,203.3
jazz.00019.jams,90.0,60.46
jazz.00021.jams,122.0,168.73
jazz.00022.jams,64.0,126.3
jazz.00025.jams,101.0,202.23
jazz.00026.jams,55.0,63.81
jazz.00028.jams,100.0,199.94
jazz.00029.jams,108.0,222.17
jazz.00030.jams,54.0,67.02
jazz.00031.jams,149.0,169.62
jazz.00034.jams,98.0,194.95
jazz.00038.jams,75.0,149.3
jazz.00039.jams,99.0,197.95
jazz.00041.jams,94.0,187.88
jazz.00043.jams,74.0,152.49
jazz.00044.jams,52.0,104.13
jazz.00046.jams,108.0,214.56
jazz.00047.jams,106.0,209.15
jazz.00048.jams,65.0,129.43
jazz.00049.jams,80.0,75.28
jazz.00050.jams,78.0,154.73
jazz.00052.jams,100.0,107.05
jazz.00053.jams,97.0,194.98
jazz.00058.jams,120.0,125.77
jazz.00061.jams,91.0,179.0
jazz.00062.jams,75.0,149.26
jazz.00063.jams,120.0,243.25
jazz.00064.jams,102.0,202.95
jazz.00065.jams,99.0,197.97
jazz.00067.jams,96.0,100.73
jazz.00069.jams,77.0,152.49
jazz.00072.jams,107.0,214.55
jazz.00073.jams,113.0,227.41
jazz.00075.jams,105.0,207.46
jazz.00077.jams,90.0,185.0
jazz.00078.jams,81.0,159.88
jazz.00082.jams,100.0,196.8
jazz.00084.jams,62.0,123.77
jazz.00085.jams,80.0,157.86
jazz.00086.jams,104.0,204.89
jazz.00087.jams,67.0,133.46
jazz.00088.jams,65.0,128.79
jazz.00090.jams,45.0,135.73
jazz.00096.jams,67.0,133.43
jazz.00098.jams,81.0,161.34
jazz.00099.jams,69.0,135.88
metal.00003.jams,98.0,195.77
metal.00009.jams,114.0,85.01
metal.00010.jams,95.0,190.0
metal.00012.jams,84.0,167.56
metal.00020.jams,118.0,99.83
metal.00023.jams,73.0,145.6
metal.00032.jams,80.0,174.2
metal.00034.jams,80.0,159.28
metal.00036.jams,70.0,141.45
metal.00037.jams,70.0,137.64
metal.00040.jams,110.0,218.77
metal.00047.jams,106.0,207.26
metal.00048.jams,111.0,217.9
metal.00049.jams,100.0,196.62
metal.00052.jams,80.0,156.9
metal.00055.jams,86.0,169.37
metal.00056.jams,110.0,216.35
metal.00057.jams,64.0,128.19
metal.00058.jams,73.0,145.52
metal.00061.jams,110.0,218.77
metal.00068.jams,82.0,163.37
metal.00069.jams,82.0,161.03
metal.00077.jams,75.0,149.87
metal.00080.jams,82.0,162.99
metal.00081.jams,76.0,151.08
metal.00083.jams,60.0,117.78
metal.00084.jams,75.0,148.61
metal.00086.jams,62.0,123.03
metal.00087.jams,95.0,190.73
metal.00089.jams,38.0,76.69
metal.00090.jams,90.0,179.36
metal.00091.jams,68.0,136.8
metal.00092.jams,116.0,166.32
metal.00093.jams,85.0,171.16
metal.00094.jams,80.0,159.28
pop.00000.jams,67.0,133.05
pop.00007.jams,65.0,126.74
pop.00017.jams,55.0,109.16
pop.00032.jams,100.0,95.5
pop.00040.jams,65.0,129.97
pop.00041.jams,54.0,108.07
pop.00052.jams,104.0,206.44
pop.00053.jams,64.0,84.54
pop.00057.jams,103.0,206.42
pop.00063.jams,61.0,122.0
pop.00068.jams,64.0,128.13
pop.00070.jams,63.0,125.16
pop.00073.jams,64.0,128.0
pop.00079.jams,56.0,112.81
pop.00083.jams,62.0,124.08
pop.00086.jams,66.0,132.04
reggae.00003.jams,74.0,147.65
reggae.00005.jams,78.0,155.64
reggae.00006.jams,75.0,150.27
reggae.00007.jams,76.0,151.88
reggae.00008.jams,96.0,192.33
reggae.00009.jams,79.0,157.14
reggae.00010.jams,57.0,114.1
reggae.00011.jams,63.0,126.18
reggae.00014.jams,65.0,130.81
reggae.00017.jams,63.5,126.81
reggae.00018.jams,78.0,155.48
reggae.00019.jams,73.0,145.99
reggae.00020.jams,64.0,127.56
reggae.00021.jams,78.0,154.73
reggae.00022.jams,74.0,147.72
reggae.00023.jams,65.0,129.49
reggae.00024.jams,70.0,138.79
reggae.00025.jams,60.0,121.1
reggae.00026.jams,69.0,137.35
reggae.00027.jams,68.0,134.59
reggae.00028.jams,79.0,156.12
reggae.00029.jams,76.0,149.65
reggae.00030.jams,76.0,151.65
reggae.00032.jams,75.0,149.67
reggae.00035.jams,83.0,162.93
reggae.00037.jams,77.0,151.8
reggae.00039.jams,77.0,153.53
reggae.00042.jams,60.0,120.5
reggae.00043.jams,78.0,154.9
reggae.00045.jams,81.0,161.44
reggae.00046.jams,85.0,169.12
reggae.00047.jams,74.0,146.51
reggae.00048.jams,88.0,175.73
reggae.00049.jams,98.0,195.01
reggae.00053.jams,76.0,152.54
reggae.00054.jams,74.0,147.66
reggae.00056.jams,78.0,155.66
reggae.00058.jams,62.0,123.32
reggae.00059.jams,77.0,154.1
reggae.00060.jams,57.0,113.92
reggae.00062.jams,76.0,150.95
reggae.00063.jams,92.0,183.28
reggae.00067.jams,84.0,166.95
reggae.00068.jams,68.0,136.74
reggae.00069.jams,73.0,145.94
reggae.00070.jams,86.0,176.3
reggae.00075.jams,72.0,145.05
reggae.00077.jams,74.0,147.59
reggae.00079.jams,76.0,151.37
reggae.00085.jams,87.0,174.55
reggae.00086.jams,68.0,nan
reggae.00089.jams,75.0,149.31
reggae.00090.jams,77.0,153.43
reggae.00091.jams,72.0,144.67
reggae.00092.jams,72.0,144.68
reggae.00093.jams,91.0,180.96
reggae.00094.jams,64.0,127.07
reggae.00095.jams,62.0,123.76
reggae.00096.jams,89.0,178.21
reggae.00097.jams,53.0,157.25
reggae.00098.jams,60.0,121.24
reggae.00099.jams,60.0,118.3
rock.00020.jams,100.0,198.57
rock.00021.jams,97.0,193.3
rock.00022.jams,100.0,199.36
rock.00027.jams,75.0,151.05
rock.00028.jams,70.0,137.49
rock.00039.jams,72.0,143.66
rock.00048.jams,66.0,131.11
rock.00052.jams,49.0,97.16
rock.00055.jams,65.0,130.05
rock.00056.jams,70.0,137.64
rock.00060.jams,88.0,176.6
rock.00061.jams,122.0,60.94
rock.00062.jams,63.0,124.28
rock.00065.jams,62.0,124.35
rock.00069.jams,85.0,169.39
rock.00074.jams,56.0,111.88
rock.00076.jams,48.0,96.24
rock.00079.jams,62.0,125.1
rock.00080.jams,59.0,117.94
rock.00084.jams,65.0,129.06
rock.00087.jams,66.0,131.67
rock.00090.jams,61.0,122.15
rock.00091.jams,72.0,142.65
rock.00092.jams,65.0,131.23
rock.00095.jams,52.0,103.03
rock.00096.jams,58.0,117.15
rock.00097.jams,64.0,128.03
rock.00098.jams,55.0,110.36
