Item,Reference,Estimate
blues.00001.jams,68.0,135
blues.00010.jams,156.0,81
blues.00011.jams,56.0,167
blues.00017.jams,168.0,82
blues.00023.jams,92.0,96
blues.00029.jams,123.0,130
blues.00032.jams,65.0,125
blues.00033.jams,153.0,77
blues.00035.jams,66.0,130
blues.00037.jams,114.0,74
blues.00040.jams,86.0,174
blues.00047.jams,52.0,74
blues.00049.jams,62.0,124
blues.00051.jams,99.0,197
blues.00054.jams,90.0,179
blues.00057.jams,93.0,186
blues.00060.jams,75.0,149
blues.00061.jams,66.0,132
blues.00064.jams,78.0,156
blues.00065.jams,54.0,108
blues.00066.jams,81.0,166
blues.00067.jams,80.0,162
blues.00068.jams,80.0,162
blues.00070.jams,74.0,147
blues.00071.jams,74.0,147
blues.00073.jams,48.0,98
blues.00075.jams,60.0,118
blues.00076.jams,58.0,116
blues.00079.jams,79.0,157
blues.00081.jams,102.0,206
blues.00082.jams,62.0,124
blues.00083.jams,66.0,133
blues.00085.jams,72.0,143
blues.00086.jams,61.0,122
blues.00091.jams,62.0,124
blues.00093.jams,66.0,58
blues.00094.jams,52.0,103
blues.00095.jams,70.0,137
blues.00096.jams,58.0,116
classical.00001.jams,38.0,58
classical.00002.jams,99.0,198
classical.00003.jams,66.0,70
classical.00006.jams,48.0,97
classical.00007.jams,71.0,108
classical.00009.jams,57.0,87
classical.00011.jams,76.0,149
classical.00012.jams,92.0,87
classical.00015.jams,80.0,87
classical.00016.jams,50.0,101
classical.00018.jams,79.0,58
classical.00019.jams,47.0,97
classical.00029.jams,69.0,138
classical.00032.jams,44.0,148
classical.00033.jams,62.0,148
classical.00034.jams,52.0,58
classical.00036.jams,70.0,87
classical.00037.jams,68.0,130
classical.00039.jams,69.0,148
classical.00042.jams,64.0,191
classical.00043.jams,65.0,60
classical.00044.jams,64.0,74
classical.00047.jams,68.0,101
classical.00049.jams,140.0,75
classical.00050.jams,64.0,87
classical.00052.jams,158.0,79
classical.00053.jams,77.0,72
classical.00054.jams,46.0,94
classical.00055.jams,61.0,87
classical.00056.jams,40.0,71
classical.00057.jams,59.0,116
classical.00058.jams,70.0,67
classical.00064.jams,45.0,97
classical.00065.jams,82.0,124
classical.00066.jams,130.0,140
classical.00067.jams,91.0,74
classical.00070.jams,54.0,160
classical.00071.jams,72.0,138
classical.00072.jams,115.0,60
classical.00073.jams,130.0,43
classical.00077.jams,47.0,97
classical.00078.jams,66.0,74
classical.00080.jams,60.0,148
classical.00082.jams,57.0,54
classical.00083.jams,76.0,87
classical.00084.jams,55.0,52
classical.00087.jams,62.0,70
classical.00092.jams,71.0,143
classical.00093.jams,70.0,138
classical.00094.jams,92.0,87
classical.00095.jams,91.0,87
classical.00096.jams,68.0,133
classical.00099.jams,43.0,90
country.00007.jams,50.0,101
country.00008.jams,66.0,133
country.00017.jams,85.0,175
country.00018.jams,87.0,172
country.00019.jams,85.0,43
country.00023.jams,83.0,41
country.00024.jams,64.0,128
country.00030.jams,80.0,39
country.00031.jams,55.0,110
country.00032.jams,50.0,97
country.00038.jams,78.0,156
country.00039.jams,94.0,183
country.00041.jams,66.0,130
country.00043.jams,70.0,139
country.00044.jams,40.0,79
country.00047.jams,75.0,150
country.00048.jams,60.0,116
country.00049.jams,57.0,114
country.00053.jams,90.0,181
country.00055.jams,66.0,132
country.00062.jams,88.0,177
country.00066.jams,110.0,222
country.00072.jams,75.0,150
country.00075.jams,96.0,193
country.00078.jams,70.0,67
country.00080.jams,98.0,195
country.00084.jams,87.0,174
country.00090.jams,68.0,135
country.00092.jams,82.0,164
country.00096.jams,58.0,115
country.00097.jams,38.0,57
country.00098.jams,60.0,119
country.00099.jams,74.0,147
disco.00011.jams,95.0,187
disco.00013.jams,90.0,178
disco.00041.jams,53.0,160
disco.00043.jams,65.0,128
disco.00047.jams,60.0,97
disco.00053.jams,70.0,139
disco.00072.jams,68.0,137
disco.00075.jams,66.0,133
disco.00086.jams,63.0,124
disco.00094.jams,69.0,139
hiphop.00030.jams,90.0,178
hiphop.00034.jams,101.0,200
hiphop.00044.jams,57.0,118
hiphop.00055.jams,82.0,164
hiphop.00094.jams,74.0,149
jazz.00001.jams,75.0,139
jazz.00002.jams,99.0,50
jazz.00003.jams,68.0,97
jazz.00004.jams,63.0,94
jazz.00005.jams,108.0,216
jazz.00009.jams,61.0,57
jazz.00014.jams,58.0,97
jazz.00016.jams,73.0,54
jazz.00017.jams,108.0,216
jazz.00019.jams,90.0,60
jazz.00026.jams,55.0,58
jazz.00028.jams,100.0,200
jazz.00030.jams,54.0,100
jazz.00031.jams,149.0,174
jazz.00034.jams,98.0,195
jazz.00038.jams,75.0,150
jazz.00041.jams,94.0,188
jazz.00044.jams,52.0,104
jazz.00046.jams,108.0,216
jazz.00048.jams,65.0,130
jazz.00049.jams,80.0,74
jazz.00050.jams,78.0,116
jazz.00052.jams,100.0,108
jazz.00053.jams,97.0,195
jazz.00054.jams,54.0,108
jazz.00056.jams,120.0,125
jazz.00061.jams,91.0,179
jazz.00062.jams,75.0,150
jazz.00064.jams,102.0,204
jazz.00067.jams,96.0,101
jazz.00072.jams,107.0,216
jazz.00077.jams,90.0,94
jazz.00082.jams,100.0,197
jazz.00087.jams,67.0,135
jazz.00088.jams,65.0,130
jazz.00090.jams,45.0,137
jazz.00091.jams,56.0,116
jazz.00094.jams,59.0,121
jazz.00096.jams,67.0,135
jazz.00097.jams,53.0,97
jazz.00099.jams,69.0,135
metal.00003.jams,98.0,197
metal.00010.jams,95.0,140
metal.00012.jams,84.0,168
metal.00014.jams,75.0,79
metal.00015.jams,130.0,90
metal.00016.jams,92.0,186
metal.00017.jams,105.0,110
metal.00018.jams,100.0,199
metal.00019.jams,106.0,222
metal.00020.jams,118.0,101
metal.00023.jams,73.0,146
metal.00032.jams,80.0,87
metal.00034.jams,80.0,159
metal.00036.jams,70.0,140
metal.00037.jams,70.0,138
metal.00049.jams,100.0,197
metal.00052.jams,80.0,156
metal.00055.jams,86.0,169
