τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,
0.005,-0.010444846571076262,-0.0070570758838741565,-0.001886377024390241,0.01288785975129467,-0.012427951131565786,-0.013841862345789428,-0.008427571479299593,-0.016560840647896678,-0.013754311242817648,0.03490114445946917,-0.001543410899989548,-0.019706406091635757,-0.008177584155127643,-0.004964182429069317,-0.009576287376073255,-0.01708814856505848,-0.06169767162819124
0.01,-0.0039166640624913275,-0.0007477089553956397,-0.001465887406154983,0.015791762867945928,-0.009259197191928619,-0.003308549954363957,-0.007316390860322046,-0.005276296608224843,-0.0027627794104146458,0.028005800455883505,-0.005178650489098352,-0.0077979473322387065,-0.005203963070920387,-0.0030631965540646794,-0.004823316352410794,-0.009398810173714698,-0.01701287518963422
0.015,-0.0029603822385989905,-7.5215737146321e-05,-0.00061167421668228,0.016294616934918602,-0.012925223199877068,-0.0023133701656815704,-0.006788731803946355,-0.008110720058315573,-6.396415536274976e-05,0.023238616947987272,-0.0064360880764439375,-0.00795679832915356,-0.0061244029672240415,-0.005561291464383144,-0.004455219183108747,-0.005599992185293053,-0.015333563697058137
0.02,-0.002973072091312951,0.0004044406012016445,-0.00016844625080874746,0.014489667352737955,-0.010689355456460683,-0.002078408370679692,-0.008216171096656167,-0.007581419525047789,-0.001465819493479987,0.025190011251173084,-0.006437905804919307,-0.005288764711618604,-0.004386194662946624,-0.004051773355492454,-0.004229513198974773,-0.0050197036470359556,-0.012810466838977796
0.025,-0.0026217466581852167,-0.0004203903424468319,-0.001059449363034295,0.014410016640614998,-0.010809292667636042,-0.001288443981030891,-0.007124469126649079,-0.010038894178260344,-0.001694431971030838,0.025645990996398412,-0.008586885401902078,-0.00607409318683297,-0.004636111237420895,-0.003526186893077467,-0.004256373402107325,-0.0050288215759518974,-0.013943720344784655
0.03,-0.0027414327793320453,-0.0013814869192578768,-0.0011848364819498467,0.015006223502454091,-0.013588284654671313,-0.0015076588812464923,-0.005421036870040587,-0.009801835267719178,-0.002610094556918117,0.02263317423617495,-0.008284887862394607,-0.0057579966161933945,-0.004439161640149205,-0.002675870304874136,-0.004194168655423587,-0.0048276774251008,-0.012103178183222145
0.035,-0.002113999004404808,-0.002327213404056614,-0.0022243260249607223,0.01602055522797458,-0.013614194313674414,-0.002432367885898906,-0.005722073482206325,-0.010097976795998737,-0.0022853713344940865,0.0250522081878613,-0.00993038251024263,-0.005997030990658668,-0.004217480049729465,-0.0023680544598141113,-0.003952876130949535,-0.004488494878445581,-0.011923593537888508
0.04,-0.0020353677654596043,-0.0017822627186949993,-0.0017186015035299568,0.016997607684398123,-0.011473475740527784,-0.0030221736278221866,-0.005312432124358684,-0.010418193310700385,-0.0015377801884475647,0.02539132448774498,-0.009390021851732232,-0.0056396182452302275,-0.003968928539415534,-0.002273038377929988,-0.0038455072322870136,-0.004892417398796194,-0.011590041081772641
0.045,-0.002686594853201545,-0.002770045000914591,-0.002779870353942682,0.01734145028355573,-0.010809872549200078,-0.0021306458172927205,-0.005979337779591612,-0.010368961113802986,-0.0030720791545230117,0.026299400016927835,-0.010592852117690269,-0.006943949526201416,-0.0038685511167115363,-0.003184620447480314,-0.005313505336147734,-0.005711447003446421,-0.012414703433445584
