Item,Reference,Estimate
blues.00001.jams,68.0,103.0
blues.00003.jams,62.0,94.0
blues.00005.jams,69.0,110.0
blues.00006.jams,72.0,123.0
blues.00011.jams,56.0,129.0
blues.00025.jams,95.0,91.0
blues.00035.jams,66.0,126.0
blues.00037.jams,114.0,144.0
blues.00038.jams,126.0,89.0
blues.00039.jams,117.0,110.0
blues.00042.jams,60.0,89.0
blues.00044.jams,102.0,82.0
blues.00069.jams,79.0,117.0
blues.00072.jams,69.0,103.0
blues.00081.jams,102.0,152.0
blues.00089.jams,108.0,99.0
blues.00092.jams,81.0,117.0
blues.00096.jams,58.0,123.0
classical.00004.jams,82.0,157.0
classical.00006.jams,92.0,101.0
classical.00007.jams,71.0,108.0
classical.00008.jams,136.0,120.0
classical.00012.jams,92.0,96.0
classical.00015.jams,80.0,105.0
classical.00017.jams,87.0,91.0
classical.00018.jams,79.0,101.0
classical.00019.jams,92.0,86.0
classical.00021.jams,135.0,148.0
classical.00023.jams,92.0,101.0
classical.00026.jams,78.0,115.0
classical.00027.jams,74.0,115.0
classical.00028.jams,160.0,136.0
classical.00030.jams,120.0,115.0
classical.00031.jams,112.0,83.0
classical.00032.jams,52.0,115.0
classical.00033.jams,62.0,101.0
classical.00036.jams,70.0,115.0
classical.00038.jams,72.0,133.0
classical.00039.jams,69.0,120.0
classical.00040.jams,54.0,136.0
classical.00041.jams,50.0,120.0
classical.00042.jams,64.0,96.0
classical.00043.jams,65.0,123.0
classical.00047.jams,68.0,129.0
classical.00050.jams,64.0,98.0
classical.00051.jams,139.0,133.0
classical.00054.jams,95.0,120.0
classical.00055.jams,61.0,94.0
classical.00056.jams,40.0,105.0
classical.00057.jams,157.0,108.0
classical.00058.jams,70.0,117.0
classical.00062.jams,94.0,86.0
classical.00065.jams,82.0,120.0
classical.00067.jams,148.0,103.0
classical.00069.jams,69.0,126.0
classical.00072.jams,115.0,120.0
classical.00075.jams,56.0,99.0
classical.00077.jams,47.0,152.0
classical.00078.jams,66.0,120.0
classical.00079.jams,105.0,126.0
classical.00080.jams,60.0,105.0
classical.00083.jams,83.0,126.0
classical.00087.jams,62.0,103.0
classical.00090.jams,102.0,108.0
classical.00092.jams,71.0,112.0
classical.00094.jams,92.0,85.0
classical.00095.jams,91.0,120.0
classical.00096.jams,68.0,86.0
classical.00099.jams,43.0,91.0
country.00010.jams,80.0,120.0
country.00022.jams,62.0,94.0
country.00044.jams,40.0,157.0
country.00052.jams,71.0,120.0
country.00056.jams,82.0,120.0
country.00060.jams,70.0,103.0
country.00078.jams,70.0,126.0
country.00079.jams,41.0,112.0
hiphop.00018.jams,105.0,110.0
jazz.00000.jams,125.0,117.0
jazz.00001.jams,137.0,108.0
jazz.00003.jams,68.0,83.0
jazz.00004.jams,63.0,94.0
jazz.00007.jams,62.0,144.0
jazz.00009.jams,114.0,99.0
jazz.00010.jams,57.0,83.0
jazz.00015.jams,118.0,91.0
jazz.00016.jams,73.0,126.0
jazz.00017.jams,108.0,115.0
jazz.00019.jams,90.0,117.0
jazz.00020.jams,106.0,99.0
jazz.00021.jams,122.0,129.0
jazz.00026.jams,55.0,129.0
jazz.00027.jams,143.0,110.0
jazz.00030.jams,54.0,103.0
jazz.00031.jams,161.0,92.0
jazz.00035.jams,72.0,112.0
jazz.00042.jams,75.0,133.0
jazz.00045.jams,75.0,101.0
jazz.00049.jams,80.0,86.0
jazz.00054.jams,54.0,123.0
jazz.00055.jams,71.0,112.0
jazz.00056.jams,120.0,136.0
jazz.00057.jams,95.0,103.0
jazz.00061.jams,91.0,120.0
jazz.00066.jams,89.0,136.0
jazz.00068.jams,73.0,133.0
jazz.00071.jams,74.0,101.0
jazz.00075.jams,105.0,110.0
jazz.00076.jams,62.0,108.0
jazz.00077.jams,90.0,101.0
jazz.00078.jams,81.0,96.0
jazz.00089.jams,56.0,129.0
jazz.00092.jams,54.0,136.0
jazz.00098.jams,81.0,117.0
metal.00004.jams,135.0,144.0
metal.00012.jams,84.0,157.0
metal.00013.jams,134.0,144.0
metal.00015.jams,130.0,108.0
metal.00055.jams,86.0,161.0
metal.00089.jams,38.0,152.0
metal.00097.jams,81.0,103.0
pop.00011.jams,74.0,129.0
pop.00053.jams,64.0,103.0
reggae.00060.jams,57.0,105.0
reggae.00083.jams,67.0,120.0
reggae.00097.jams,53.0,144.0
rock.00000.jams,121.0,126.0
rock.00013.jams,92.0,120.0
rock.00014.jams,117.0,110.0
rock.00058.jams,58.0,101.0
