Item,Reference,Estimate
blues.00002.jams,157.0,78.6003
blues.00003.jams,62.0,125.284
blues.00008.jams,168.0,84.032
blues.00010.jams,156.0,80.1235
blues.00017.jams,168.0,83.6918
blues.00029.jams,128.0,64.5996
blues.00030.jams,112.0,86.8566
blues.00031.jams,112.0,117.454
blues.00032.jams,65.0,81.0662
blues.00035.jams,66.0,129.199
blues.00036.jams,116.0,153.125
blues.00037.jams,114.0,74.3593
blues.00049.jams,62.0,124.529
blues.00050.jams,137.0,67.9996
blues.00055.jams,135.0,66.0443
blues.00061.jams,66.0,131.668
blues.00065.jams,54.0,107.947
blues.00072.jams,69.0,103.359
blues.00073.jams,48.0,97.0511
blues.00075.jams,60.0,118.125
blues.00076.jams,58.0,116.134
blues.00082.jams,62.0,125.284
blues.00083.jams,66.0,132.938
blues.00086.jams,61.0,122.319
blues.00091.jams,62.0,124.529
blues.00093.jams,66.0,58.3951
blues.00094.jams,52.0,102.59
blues.00095.jams,70.0,137.355
blues.00096.jams,58.0,118.125
classical.00001.jams,38.0,116.134
classical.00003.jams,66.0,72.7883
classical.00006.jams,92.0,96.1483
classical.00007.jams,71.0,108.23
classical.00009.jams,57.0,71.7773
classical.00011.jams,76.0,150.89
classical.00012.jams,92.0,87.5927
classical.00015.jams,80.0,84.7208
classical.00016.jams,50.0,99.8641
classical.00024.jams,76.0,151.999
classical.00027.jams,74.0,149.796
classical.00028.jams,160.0,80.7495
classical.00029.jams,69.0,137.812
classical.00031.jams,112.0,82.6875
classical.00032.jams,52.0,73.3045
classical.00033.jams,62.0,94.8251
classical.00035.jams,75.0,149.796
classical.00036.jams,70.0,93.9631
classical.00037.jams,68.0,80.1235
classical.00038.jams,72.0,75.9995
classical.00039.jams,69.0,94.8251
classical.00040.jams,54.0,91.4685
classical.00041.jams,50.0,120.888
classical.00044.jams,64.0,124.529
classical.00046.jams,66.0,96.5975
classical.00047.jams,68.0,73.3045
classical.00049.jams,150.0,76.28
classical.00050.jams,64.0,73.3045
classical.00052.jams,158.0,78.6003
classical.00053.jams,106.0,71.0374
classical.00055.jams,61.0,84.7208
classical.00056.jams,40.0,87.5927
classical.00057.jams,157.0,107.108
classical.00061.jams,77.0,153.125
classical.00062.jams,94.0,62.8324
classical.00064.jams,94.0,61.7071
classical.00065.jams,82.0,123.784
classical.00067.jams,148.0,80.7495
classical.00069.jams,69.0,142.565
classical.00071.jams,72.0,141.588
classical.00075.jams,56.0,118.804
classical.00077.jams,47.0,82.3581
classical.00080.jams,60.0,67.9996
classical.00081.jams,74.0,138.737
classical.00082.jams,57.0,111.139
classical.00083.jams,83.0,92.2852
classical.00084.jams,55.0,111.139
classical.00087.jams,62.0,67.5551
classical.00093.jams,70.0,138.737
classical.00094.jams,92.0,85.421
classical.00096.jams,68.0,135.11
classical.00099.jams,43.0,89.4886
country.00007.jams,50.0,101.333
country.00008.jams,66.0,132.512
country.00024.jams,64.0,127.999
country.00031.jams,55.0,110.545
country.00032.jams,50.0,97.971
country.00040.jams,140.0,70.0742
country.00041.jams,66.0,130.835
country.00044.jams,40.0,78.6003
country.00048.jams,60.0,117.121
country.00049.jams,57.0,114.209
country.00051.jams,66.0,130.012
country.00055.jams,66.0,132.089
country.00057.jams,68.0,135.999
country.00059.jams,68.0,136.9
country.00061.jams,61.0,121.243
country.00065.jams,61.0,119.491
country.00069.jams,38.0,75.4448
country.00071.jams,73.0,146.609
country.00079.jams,41.0,81.707
country.00090.jams,68.0,135.11
country.00096.jams,58.0,115.485
country.00097.jams,38.0,112.961
country.00098.jams,60.0,119.491
disco.00041.jams,53.0,79.8142
disco.00043.jams,65.0,127.999
disco.00047.jams,60.0,84.032
disco.00053.jams,70.0,139.205
disco.00072.jams,68.0,136.9
disco.00075.jams,66.0,132.089
disco.00086.jams,63.0,125.284
hiphop.00005.jams,143.0,70.7941
hiphop.00044.jams,57.0,117.454
jazz.00003.jams,68.0,79.5072
jazz.00009.jams,114.0,56.3266
jazz.00010.jams,57.0,84.7208
jazz.00014.jams,58.0,128.397
jazz.00016.jams,73.0,143.555
jazz.00021.jams,122.0,60.4441
jazz.00022.jams,64.0,126.821
jazz.00026.jams,55.0,93.1166
jazz.00030.jams,54.0,97.5088
jazz.00031.jams,161.0,85.421
jazz.00032.jams,128.0,64.3984
jazz.00044.jams,52.0,104.668
jazz.00048.jams,65.0,129.604
jazz.00049.jams,80.0,129.199
jazz.00054.jams,54.0,80.1235
jazz.00056.jams,120.0,124.906
jazz.00084.jams,62.0,123.784
jazz.00088.jams,65.0,128.797
jazz.00090.jams,45.0,135.553
jazz.00091.jams,56.0,113.582
jazz.00099.jams,69.0,136.448
metal.00001.jams,158.0,78.0071
metal.00007.jams,152.0,76.8471
metal.00009.jams,114.0,56.7909
metal.00011.jams,165.0,82.6875
metal.00014.jams,75.0,78.0071
metal.00026.jams,130.0,65.834
metal.00036.jams,70.0,141.588
metal.00039.jams,60.0,119.837
metal.00045.jams,61.0,121.243
metal.00057.jams,64.0,128.397
metal.00066.jams,61.0,121.243
metal.00073.jams,72.0,145.066
metal.00083.jams,60.0,117.788
metal.00084.jams,75.0,148.719
metal.00086.jams,62.0,122.682
metal.00089.jams,38.0,76.8471
metal.00092.jams,116.0,58.3951
metal.00095.jams,77.0,152.56
pop.00000.jams,67.0,132.938
pop.00007.jams,65.0,125.284
pop.00011.jams,74.0,117.454
pop.00041.jams,54.0,107.947
pop.00049.jams,60.0,118.125
pop.00050.jams,70.0,140.148
pop.00063.jams,61.0,121.958
pop.00064.jams,125.0,130.012
pop.00065.jams,58.0,114.844
pop.00068.jams,64.0,127.999
pop.00070.jams,63.0,124.906
pop.00073.jams,64.0,127.999
pop.00079.jams,56.0,112.653
pop.00081.jams,73.0,146.091
pop.00083.jams,62.0,123.784
pop.00086.jams,66.0,132.089
reggae.00010.jams,57.0,114.209
reggae.00011.jams,63.0,126.048
reggae.00014.jams,65.0,130.835
reggae.00017.jams,63.5,126.433
reggae.00020.jams,64.0,127.604
reggae.00023.jams,65.0,129.604
reggae.00025.jams,60.0,121.243
reggae.00027.jams,68.0,135.11
reggae.00037.jams,77.0,151.999
reggae.00041.jams,74.0,146.609
reggae.00042.jams,60.0,120.185
reggae.00058.jams,62.0,123.047
reggae.00060.jams,57.0,113.582
reggae.00068.jams,68.0,136.9
reggae.00069.jams,73.0,146.091
reggae.00071.jams,70.0,140.625
reggae.00083.jams,67.0,142.565
reggae.00094.jams,64.0,126.821
reggae.00095.jams,62.0,123.414
reggae.00097.jams,53.0,80.1235
