Item,Reference,Estimate
blues.00008.jams,168.06393151955032,84.51
blues.00010.jams,80.12349701673531,162.16
blues.00011.jams,55.5695508498437,166.67
blues.00016.jams,100.34887960475932,200.0
blues.00025.jams,93.96317896227063,187.5
blues.00031.jams,117.4538357486408,230.77
blues.00032.jams,124.52938270784993,142.86
blues.00033.jams,154.26742257703728,76.92
blues.00036.jams,113.58172394340592,230.77
blues.00038.jams,86.85657373978349,130.43
blues.00042.jams,59.74530576153857,89.55
blues.00044.jams,202.66572990062627,101.69
blues.00045.jams,265.02352083747417,133.33
blues.00047.jams,149.79627706319405,75.0
blues.00051.jams,198.00150481143578,98.36
blues.00052.jams,49.69203362162996,150.0
blues.00054.jams,181.05336849792093,90.91
blues.00056.jams,53.55407131438645,157.89
blues.00057.jams,184.57051978134552,92.31
blues.00078.jams,240.3711330293963,120.0
blues.00091.jams,124.52938270784993,62.5
blues.00092.jams,121.59927364700518,80.0
blues.00093.jams,87.59264747317113,58.82
blues.00096.jams,58.643230225502776,117.65
blues.00097.jams,234.90813134496665,117.65
classical.00007.jams,108.79912960696316,214.29
classical.00009.jams,60.44408267541624,57.14
classical.00010.jams,104.40338684586928,206.9
classical.00014.jams,147.65596160945006,74.07
classical.00017.jams,175.18529494671515,86.96
classical.00021.jams,271.9978240174061,136.36
classical.00026.jams,154.2674225770371,76.92
classical.00028.jams,80.43653334637071,162.16
classical.00029.jams,68.90627368653166,136.36
classical.00032.jams,58.39512673202378,230.77
classical.00033.jams,106.5560378202897,230.77
classical.00034.jams,62.642053907663446,120.0
classical.00036.jams,53.11932654582421,63.83
classical.00037.jams,129.19924461508307,157.89
classical.00039.jams,65.83401270376993,206.9
classical.00040.jams,94.82507933698322,105.26
classical.00041.jams,55.27238692881746,83.33
classical.00042.jams,95.70309073131514,193.55
classical.00044.jams,82.03120193484258,122.45
classical.00047.jams,49.93205080086844,76.92
classical.00048.jams,88.34156382236279,181.82
classical.00049.jams,75.4447467822815,150.0
classical.00053.jams,213.84656508954907,107.14
classical.00056.jams,102.27406380878855,142.86
classical.00057.jams,105.46872940063903,157.89
classical.00062.jams,93.1165166973434,62.5
classical.00064.jams,91.73498374761877,62.5
classical.00065.jams,83.35440347421152,240.0
classical.00067.jams,138.61326667575358,75.0
classical.00068.jams,166.64562811635886,83.33
