Item,Reference,Estimate
blues.00030.jams,109.95676866378699,86.8566
blues.00032.jams,124.52938270784993,81.0662
blues.00036.jams,113.58172394340592,153.125
blues.00038.jams,86.85657373978349,130.835
blues.00072.jams,68.44993970701162,103.359
blues.00092.jams,121.59927364700518,81.707
blues.00093.jams,87.59264747317113,58.3951
classical.00003.jams,66.77759166615655,72.7883
classical.00009.jams,60.44408267541624,71.7773
classical.00015.jams,78.30260825988108,84.7208
classical.00027.jams,71.77737529279192,149.796
classical.00031.jams,112.34713767579986,82.6875
classical.00032.jams,58.39512673202378,73.3045
classical.00033.jams,106.5560378202897,94.8251
classical.00036.jams,53.11932654582421,93.9631
classical.00037.jams,129.19924461508307,80.1235
classical.00038.jams,72.53377729033423,75.9995
classical.00039.jams,65.83401270376993,94.8251
classical.00041.jams,55.27238692881746,120.888
classical.00042.jams,95.70309073131514,64.3984
classical.00043.jams,120.18532577234102,66.6835
classical.00044.jams,82.03120193484258,124.529
classical.00046.jams,129.19924461508333,96.5975
classical.00047.jams,49.93205080086844,73.3045
classical.00050.jams,63.4130564317592,73.3045
classical.00055.jams,56.628732164591796,84.7208
classical.00056.jams,102.27406380878855,87.5927
classical.00058.jams,67.25796967605078,72.2793
classical.00062.jams,93.1165166973434,62.8324
classical.00064.jams,91.73498374761877,61.7071
classical.00065.jams,83.35440347421152,123.784
classical.00067.jams,138.61326667575358,80.7495
classical.00075.jams,111.54010993349006,118.804
classical.00077.jams,95.17531052917737,82.3581
classical.00080.jams,62.1219619772179,67.9996
classical.00081.jams,145.57665338684086,138.737
classical.00083.jams,81.06748305611879,92.2852
classical.00087.jams,62.613552285968616,67.5551
classical.00090.jams,51.679675589449715,97.971
classical.00095.jams,79.20603416068154,87.5927
country.00069.jams,112.34713767580004,75.4448
disco.00041.jams,53.27801891014485,79.8142
disco.00047.jams,50.17443980237966,84.032
jazz.00003.jams,69.8373604271253,79.5072
jazz.00010.jams,55.08937189628617,84.7208
jazz.00026.jams,98.45596775444338,93.1166
jazz.00030.jams,104.40338684586943,97.5088
jazz.00031.jams,338.88349185550055,85.421
jazz.00049.jams,41.28867458537571,129.199
jazz.00054.jams,107.66599853933174,80.1235
metal.00026.jams,261.66936331482765,65.834
reggae.00083.jams,66.2715925218809,142.565
reggae.00086.jams,127.6041888201717,80.7495
reggae.00097.jams,52.46672298094932,80.1235
rock.00014.jams,117.45383574864096,78.9003
