Item,Reference,Estimate
blues.00032.jams,124.52938270784993,101.25232
blues.00038.jams,86.85657373978349,129.48311
blues.00052.jams,49.69203362162996,74.9141
blues.00056.jams,53.55407131438645,80.00037
blues.00069.jams,78.90033966596245,118.75856
blues.00092.jams,121.59927364700518,80.0398
blues.00096.jams,58.643230225502776,124.31797
classical.00001.jams,114.8437455139162,80.74951
classical.00012.jams,89.10286777579947,96.83633
classical.00023.jams,92.28525989067282,87.3735
classical.00030.jams,120.18532577234102,81.53808
classical.00031.jams,112.34713767579986,84.889496
classical.00032.jams,58.39512673202378,86.427216
classical.00036.jams,53.11932654582421,79.960945
classical.00040.jams,94.82507933698322,117.693985
classical.00041.jams,55.27238692881746,115.13114
classical.00042.jams,95.70309073131514,63.24327
classical.00044.jams,82.03120193484258,62.691273
classical.00047.jams,49.93205080086844,123.88427
classical.00050.jams,63.4130564317592,74.79581
classical.00055.jams,56.628732164591796,59.300423
classical.00056.jams,102.27406380878855,77.43752
classical.00057.jams,105.46872940063903,79.152664
classical.00058.jams,67.25796967605078,88.95064
classical.00063.jams,93.22852184958772,97.15176
classical.00064.jams,91.73498374761877,62.21813
classical.00065.jams,83.35440347421152,127.8271
classical.00066.jams,132.93718053533718,140.44421
classical.00067.jams,138.61326667575358,74.164955
classical.00070.jams,161.49870801033617,106.930016
classical.00075.jams,111.54010993349006,40.53247
classical.00077.jams,95.17531052917737,99.51746
classical.00080.jams,62.1219619772179,78.46266
classical.00084.jams,109.29758088021036,113.90885
classical.00087.jams,62.613552285968616,137.01395
classical.00094.jams,86.13276791956359,103.61803
classical.00095.jams,79.20603416068154,85.79636
country.00032.jams,98.4374692382908,65.13583
country.00060.jams,69.83744171483512,105.07687
country.00069.jams,112.34713767580004,75.54495
disco.00041.jams,53.27801891014485,79.7638
disco.00047.jams,50.17443980237966,61.823845
jazz.00003.jams,69.8373604271253,65.687836
jazz.00004.jams,62.90158732155609,94.39176
jazz.00014.jams,62.642053907663446,95.4169
jazz.00017.jams,212.933586014522,202.66235
jazz.00019.jams,91.468434243343,59.694706
jazz.00026.jams,98.45596775444338,78.9358
jazz.00031.jams,338.88349185550055,82.99693
jazz.00047.jams,209.45844518996017,53.169292
jazz.00049.jams,41.28867458537571,74.51981
jazz.00097.jams,51.88691074846002,77.95009
metal.00010.jams,191.40618146311726,134.92424
metal.00011.jams,164.06217956605641,78.659805
metal.00018.jams,99.38398493338791,103.73631
metal.00023.jams,145.5766533868405,108.86201
metal.00032.jams,175.18503919765274,130.11395
metal.00077.jams,149.79627706319405,112.450005
pop.00011.jams,60.79963682350281,75.34782
pop.00012.jams,98.4374692382908,65.76669
pop.00053.jams,63.80209441008586,79.68494
reggae.00086.jams,127.6041888201717,80.7298
rock.00040.jams,110.00212670778305,99.47804
rock.00062.jams,124.52938270784993,93.05119
