Item,Reference,Estimate
blues.00001.jams,67.55516723844606,135
blues.00011.jams,55.5695508498437,167
blues.00017.jams,169.4412674206811,82
blues.00033.jams,154.26742257703728,77
blues.00038.jams,86.85657373978349,130
blues.00044.jams,202.66572990062627,102
blues.00045.jams,265.02352083747417,132
blues.00047.jams,149.79627706319405,74
blues.00049.jams,62.26469135392497,124
blues.00077.jams,147.65632498172735,74
blues.00078.jams,240.3711330293963,121
blues.00087.jams,175.18503919765274,87
blues.00088.jams,170.84185169788293,86
blues.00090.jams,141.5882425123414,71
blues.00092.jams,121.59927364700518,81
blues.00093.jams,87.59264747317113,58
blues.00096.jams,58.643230225502776,116
blues.00097.jams,234.90813134496665,117
classical.00001.jams,114.8437455139162,58
classical.00003.jams,66.77759166615655,70
classical.00004.jams,161.49914270871778,82
classical.00009.jams,60.44408267541624,87
classical.00011.jams,76.17219486370891,149
classical.00015.jams,78.30260825988108,87
classical.00017.jams,175.18529494671515,87
classical.00018.jams,79.50716160758174,58
classical.00021.jams,271.9978240174061,133
classical.00024.jams,151.99916907120857,76
classical.00026.jams,154.2674225770371,76
classical.00028.jams,80.43653334637071,160
classical.00029.jams,68.90627368653166,138
classical.00032.jams,58.39512673202378,148
classical.00033.jams,106.5560378202897,148
classical.00034.jams,62.642053907663446,58
classical.00035.jams,151.99878400972756,76
classical.00036.jams,53.11932654582421,87
classical.00039.jams,65.83401270376993,148
classical.00040.jams,94.82507933698322,52
classical.00041.jams,55.27238692881746,52
classical.00042.jams,95.70309073131514,191
classical.00043.jams,120.18532577234102,60
classical.00044.jams,82.03120193484258,74
classical.00046.jams,129.19924461508333,65
classical.00047.jams,49.93205080086844,101
classical.00050.jams,63.4130564317592,87
classical.00052.jams,156.60521651976234,79
classical.00053.jams,213.84656508954907,72
classical.00055.jams,56.628732164591796,87
classical.00056.jams,102.27406380878855,71
classical.00057.jams,105.46872940063903,116
classical.00061.jams,154.26722425723307,77
classical.00063.jams,93.22852184958772,97
classical.00064.jams,91.73498374761877,97
classical.00065.jams,83.35440347421152,124
classical.00066.jams,132.93718053533718,140
classical.00067.jams,138.61326667575358,74
classical.00068.jams,166.64562811635886,83
classical.00072.jams,118.80388251087999,60
classical.00073.jams,129.19924461508307,43
classical.00074.jams,160.0665877004836,82
classical.00075.jams,111.54010993349006,58
classical.00076.jams,172.26578313460521,86
classical.00078.jams,67.5294019405268,74
classical.00080.jams,62.1219619772179,148
classical.00081.jams,145.57665338684086,74
classical.00082.jams,112.34713767580004,54
classical.00083.jams,81.06748305611879,87
classical.00084.jams,109.29758088021036,52
classical.00087.jams,62.613552285968616,70
classical.00090.jams,51.679675589449715,101
classical.00095.jams,79.20603416068154,87
country.00002.jams,164.06262817392803,82
country.00007.jams,50.54248938607722,101
country.00008.jams,66.25602653774715,133
country.00012.jams,175.76133953575572,88
country.00016.jams,213.1120756405794,107
country.00019.jams,85.49708845827917,43
country.00023.jams,82.03131408696407,41
country.00030.jams,79.50716160758174,39
country.00034.jams,271.999057069935,134
country.00035.jams,198.76764062810486,99
country.00042.jams,204.6719790415899,102
country.00046.jams,157.8004718234109,79
country.00065.jams,120.283146526924,60
country.00069.jams,112.34713767580004,38
country.00070.jams,222.27820339937406,111
country.00073.jams,151.99916907120857,76
country.00075.jams,96.59751358000022,193
country.00076.jams,145.5766533868408,73
country.00077.jams,181.3324307007893,91
country.00079.jams,82.03131408696402,41
country.00081.jams,179.7553529646156,90
country.00082.jams,234.9072116513969,117
country.00086.jams,237.60776502175997,118
country.00091.jams,38.36481486099472,116
country.00097.jams,37.73198389021216,57
disco.00001.jams,234.9072116513969,117
disco.00002.jams,229.6870513924781,114
disco.00011.jams,93.96310538672756,187
disco.00013.jams,89.87767648230756,178
disco.00041.jams,53.27801891014485,160
disco.00047.jams,50.17443980237966,97
hiphop.00034.jams,99.38398493338819,200
hiphop.00055.jams,82.03120193484278,164
hiphop.00094.jams,74.3593016670114,149
jazz.00001.jams,68.90627368653138,139
jazz.00002.jams,98.4374692382908,50
jazz.00003.jams,69.8373604271253,97
jazz.00004.jams,62.90158732155609,94
jazz.00005.jams,108.79932689483046,216
jazz.00011.jams,200.43127206729486,101
jazz.00014.jams,62.642053907663446,97
jazz.00016.jams,72.8603643261085,54
jazz.00018.jams,202.66572990062636,102
jazz.00019.jams,91.468434243343,60
jazz.00022.jams,126.0480369068652,63
jazz.00025.jams,202.66572990062514,102
jazz.00026.jams,98.45596775444338,58
jazz.00029.jams,222.42734966691552,112
jazz.00030.jams,104.40338684586943,100
jazz.00031.jams,338.88349185550055,174
jazz.00039.jams,198.76764062810602,99
jazz.00043.jams,151.99916907120996,76
jazz.00047.jams,209.45844518996017,106
jazz.00049.jams,41.28867458537571,74
jazz.00050.jams,154.2678192186853,116
jazz.00063.jams,240.3711330293963,121
jazz.00065.jams,198.76764062810602,99
jazz.00066.jams,179.37112483632356,90
jazz.00069.jams,151.99916907120996,76
jazz.00073.jams,229.6870513924781,114
jazz.00075.jams,210.93708801349877,104
jazz.00077.jams,184.57051978134615,94
jazz.00078.jams,161.499142708717,81
jazz.00080.jams,198.76829910653714,100
jazz.00084.jams,123.04688701629789,62
jazz.00085.jams,159.0141125024839,79
jazz.00091.jams,56.79086197170298,116
jazz.00093.jams,166.70880694842265,84
