Tolerance (%),boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0005,0.062,0.118,0.085,0.015,0.165,0.123,0.211,0.07,0.432,0.043,0.223,0.222,0.224,0.128,0.116,0.129,0.196
0.001,0.097,0.234,0.215,0.015,0.327,0.207,0.225,0.11,0.458,0.086,0.425,0.426,0.43,0.204,0.199,0.213,0.396
0.0015,0.16,0.332,0.309,0.015,0.445,0.322,0.245,0.156,0.49,0.117,0.564,0.573,0.577,0.31,0.314,0.317,0.515
0.002,0.223,0.415,0.402,0.022,0.517,0.418,0.282,0.194,0.534,0.153,0.655,0.659,0.666,0.391,0.398,0.404,0.593
0.0025,0.268,0.491,0.475,0.046,0.561,0.45,0.374,0.214,0.617,0.183,0.698,0.699,0.708,0.428,0.431,0.442,0.637
0.003,0.324,0.558,0.539,0.066,0.603,0.493,0.48,0.231,0.698,0.214,0.733,0.734,0.743,0.476,0.464,0.483,0.678
0.0035,0.379,0.613,0.595,0.079,0.628,0.556,0.558,0.267,0.744,0.236,0.761,0.759,0.768,0.545,0.528,0.553,0.715
0.004,0.428,0.669,0.643,0.09,0.65,0.605,0.611,0.294,0.769,0.284,0.778,0.784,0.793,0.589,0.577,0.592,0.728
0.0045,0.464,0.708,0.687,0.102,0.673,0.649,0.649,0.319,0.787,0.32,0.8,0.801,0.811,0.629,0.624,0.63,0.743
0.005,0.517,0.745,0.714,0.125,0.688,0.685,0.709,0.346,0.812,0.356,0.814,0.812,0.822,0.655,0.656,0.659,0.757
0.0055,0.548,0.77,0.753,0.141,0.702,0.716,0.744,0.362,0.828,0.384,0.822,0.822,0.832,0.69,0.685,0.684,0.771
0.006,0.587,0.796,0.78,0.158,0.71,0.735,0.773,0.401,0.843,0.393,0.834,0.831,0.841,0.713,0.71,0.711,0.78
0.0065,0.64,0.814,0.805,0.175,0.719,0.765,0.809,0.428,0.851,0.431,0.838,0.839,0.85,0.753,0.745,0.74,0.785
0.007,0.677,0.832,0.815,0.193,0.736,0.784,0.824,0.455,0.859,0.462,0.844,0.851,0.862,0.767,0.759,0.757,0.79
