Estimator,Accuracy1,Accuracy2
boeck2020/dar,0.852,0.963
boeck2015/tempodetector2016_default,0.781,0.958
schreiber2018/ismir2018,0.774,0.934
schreiber2018/cnn,0.77,0.949
schreiber2018/fcn,0.754,0.954
davies2009/mirex_qm_tempotracker,0.708,0.916
klapuri2006/percival2014,0.705,0.929
schreiber2017/ismir2017,0.704,0.935
boeck2019/multi_task,0.704,0.952
oliveira2010/ibt,0.689,0.875
schreiber2014/default,0.685,0.937
percival2014/stem,0.682,0.944
zplane/auftakt_v3,0.68,0.89
boeck2019/multi_task_hjdb,0.679,0.95
schreiber2017/mirex2017,0.678,0.951
gkiokas2012/default,0.662,0.934
echonest/version_3_2_1,0.658,0.873
scheirer1998/percival2014,0.516,0.769
