Item,Reference,Estimate
blues.00009.jams,81.86879161663576,107.666
blues.00030.jams,110.24998725234516,191.406
blues.00040.jams,172.26565948677757,117.454
blues.00042.jams,59.67347561286003,90.6661
blues.00072.jams,68.67732901276626,103.359
blues.00089.jams,107.49556298579168,112.347
blues.00092.jams,121.1242755254269,82.0313
blues.00093.jams,88.05921098397299,103.359
blues.00099.jams,92.82637754344275,143.555
classical.00001.jams,114.94982015340297,123.047
classical.00003.jams,65.38463916943985,93.9631
classical.00006.jams,95.59261697815666,114.844
classical.00009.jams,60.09266288617046,151.999
classical.00012.jams,89.29534808442878,161.499
classical.00014.jams,146.09105977498308,151.999
classical.00018.jams,79.35460896528537,166.709
classical.00019.jams,95.7031288941703,129.199
classical.00020.jams,141.58813113892705,147.656
classical.00023.jams,92.56064393411535,166.709
classical.00027.jams,71.96481696479346,135.999
classical.00032.jams,58.45021658165854,161.499
classical.00033.jams,106.28211435866928,184.57
classical.00034.jams,62.83245568610161,117.454
classical.00036.jams,51.324459761944325,135.999
classical.00041.jams,55.19860457927625,135.999
classical.00044.jams,81.70701385489947,143.555
classical.00046.jams,129.6041888073823,147.656
classical.00047.jams,49.87183458011242,166.709
classical.00048.jams,88.72048426597657,184.57
classical.00049.jams,75.37608297968949,101.333
classical.00050.jams,62.175683503458586,109.957
classical.00055.jams,56.464715904840006,120.185
classical.00056.jams,102.27406380878855,117.454
classical.00057.jams,106.28213004740476,161.499
classical.00058.jams,67.44525470929204,129.199
classical.00062.jams,93.1165166973434,135.999
classical.00063.jams,94.3504521745421,198.768
classical.00066.jams,133.41730670913327,143.555
classical.00067.jams,136.0384993821608,126.048
classical.00069.jams,68.79953007083631,114.844
classical.00072.jams,117.95673228196851,123.047
classical.00075.jams,111.89181553328817,135.999
classical.00077.jams,95.17531052917737,147.656
classical.00079.jams,103.67179582876533,109.957
classical.00080.jams,61.40161465779349,132.512
classical.00081.jams,145.57658274500182,151.999
classical.00087.jams,60.29003526297173,135.999
classical.00090.jams,51.442416787603975,191.406
classical.00091.jams,90.22788179395587,93.9631
classical.00094.jams,85.65693635594451,151.999
classical.00095.jams,72.97669823618355,178.206
country.00019.jams,85.4127786058072,101.333
country.00067.jams,63.60921791901435,120.185
country.00069.jams,112.84578312019951,75.9995
country.00089.jams,72.972083009393,151.999
disco.00047.jams,50.29654001718466,126.048
hiphop.00030.jams,178.97732357310332,120.185
jazz.00000.jams,125.66484557361282,120.185
jazz.00002.jams,98.20369082204668,114.844
jazz.00003.jams,69.8373604271253,117.454
jazz.00007.jams,60.88916446873697,105.469
jazz.00010.jams,55.08937189628617,172.266
jazz.00017.jams,213.1731906683192,198.768
jazz.00019.jams,89.61795864230785,120.185
jazz.00026.jams,98.20365063887614,206.719
jazz.00030.jams,102.80208100296446,117.454
jazz.00042.jams,73.4541572604538,139.675
jazz.00049.jams,44.619486916249755,178.206
jazz.00054.jams,108.04018783801291,166.709
jazz.00057.jams,94.60812526115784,109.957
jazz.00066.jams,177.4409029376081,135.999
jazz.00068.jams,73.48548707558686,139.675
jazz.00076.jams,62.25164188705479,172.266
jazz.00083.jams,107.6506435637398,112.347
jazz.00092.jams,53.109955287144835,123.047
jazz.00097.jams,51.878914176234446,109.957
metal.00014.jams,74.84420710514772,156.605
metal.00015.jams,131.2499948730569,172.266
metal.00092.jams,117.91323060143121,156.605
pop.00011.jams,61.52465391809686,117.454
pop.00053.jams,64.14856808368178,107.666
reggae.00083.jams,66.7346433158442,139.675
rock.00008.jams,89.1029339368572,120.185
rock.00054.jams,109.08639688085627,89.1029
