Item,Reference,Estimate
blues.00038.jams,86.49318776049317,130
blues.00092.jams,121.1242755254269,81
blues.00093.jams,88.05921098397299,58
classical.00003.jams,65.38463916943985,70
classical.00009.jams,60.09266288617046,87
classical.00015.jams,78.4511391595726,87
classical.00018.jams,79.35460896528537,58
classical.00032.jams,58.45021658165854,148
classical.00033.jams,106.28211435866928,148
classical.00034.jams,62.83245568610161,58
classical.00036.jams,51.324459761944325,87
classical.00039.jams,65.7293299059139,148
classical.00040.jams,94.60812526115791,52
classical.00041.jams,55.19860457927625,52
classical.00044.jams,81.70701385489947,74
classical.00050.jams,62.175683503458586,87
classical.00055.jams,56.464715904840006,87
classical.00056.jams,102.27406380878855,71
classical.00057.jams,106.28213004740476,116
classical.00065.jams,82.83912381365555,124
classical.00066.jams,133.41730670913327,140
classical.00067.jams,136.0384993821608,74
classical.00078.jams,66.25600824666452,74
classical.00080.jams,61.40161465779349,148
classical.00083.jams,82.00166053362582,87
classical.00087.jams,60.29003526297173,70
classical.00091.jams,90.22788179395587,94
classical.00095.jams,72.97669823618355,87
country.00097.jams,37.675820495646356,57
jazz.00003.jams,69.8373604271253,97
jazz.00004.jams,62.917383587209166,94
jazz.00014.jams,62.642053907663446,97
jazz.00016.jams,72.95615277860719,54
jazz.00019.jams,89.61795864230785,60
jazz.00026.jams,98.20365063887614,58
jazz.00049.jams,44.619486916249755,74
jazz.00050.jams,154.9762473435303,116
jazz.00097.jams,51.878914176234446,97
metal.00010.jams,191.40618146311726,140
metal.00014.jams,74.84420710514772,79
metal.00015.jams,131.2499948730569,90
metal.00020.jams,243.91607254470517,101
pop.00011.jams,61.52465391809686,74
pop.00053.jams,64.14856808368178,58
reggae.00040.jams,92.49160831345412,116
reggae.00086.jams,127.60418882017167,161
