Item,Reference,Estimate
blues.00001.jams,67.78953685071261,103.0
blues.00003.jams,62.52066112473106,94.0
blues.00005.jams,68.8494228697128,110.0
blues.00006.jams,72.94154403876111,123.0
blues.00008.jams,168.06404920915358,85.0
blues.00010.jams,80.04604805843583,161.0
blues.00011.jams,55.719334283967086,129.0
blues.00017.jams,169.44162630072924,83.0
blues.00037.jams,75.81199383648489,144.0
blues.00039.jams,117.01061286258657,110.0
blues.00040.jams,172.26565948677757,86.0
blues.00042.jams,59.67347561286003,89.0
blues.00044.jams,203.16325183100838,82.0
blues.00045.jams,263.3360508150797,133.0
blues.00049.jams,62.26467520021335,123.0
blues.00051.jams,197.81692538098326,99.0
blues.00052.jams,50.05615206400003,101.0
blues.00054.jams,180.5404478305808,91.0
blues.00056.jams,53.234896095464364,161.0
blues.00057.jams,185.39804961251807,92.0
blues.00069.jams,79.20258834058694,117.0
blues.00072.jams,68.67732901276626,103.0
blues.00078.jams,241.1186458632531,120.0
blues.00081.jams,204.67197904158928,152.0
blues.00087.jams,174.81524214096225,88.0
blues.00088.jams,170.19322917497186,86.0
blues.00089.jams,107.49556298579168,99.0
blues.00093.jams,88.05921098397299,136.0
blues.00095.jams,136.89980132416332,144.0
blues.00096.jams,58.81670440139225,123.0
blues.00097.jams,235.57704105420711,117.0
classical.00002.jams,198.29138919642406,99.0
classical.00003.jams,65.38463916943985,136.0
classical.00006.jams,95.59261697815666,101.0
classical.00008.jams,137.8124682385328,120.0
classical.00009.jams,60.09266288617046,112.0
classical.00011.jams,76.1395231381666,148.0
classical.00012.jams,89.29534808442878,96.0
classical.00013.jams,125.03151836192033,120.0
classical.00014.jams,146.09105977498308,152.0
classical.00015.jams,78.4511391595726,105.0
classical.00017.jams,174.44624220988499,91.0
classical.00018.jams,79.35460896528537,101.0
classical.00019.jams,95.7031288941703,86.0
classical.00021.jams,270.2209732008357,148.0
classical.00023.jams,92.56064393411535,101.0
classical.00026.jams,153.1250428670524,115.0
classical.00027.jams,71.96481696479346,115.0
classical.00028.jams,80.43545119649882,136.0
classical.00029.jams,69.0212896167823,140.0
classical.00030.jams,120.1853257723408,115.0
classical.00031.jams,111.63927860558823,83.0
classical.00032.jams,58.45021658165854,115.0
classical.00033.jams,106.28211435866928,101.0
classical.00034.jams,62.83245568610161,117.0
classical.00036.jams,51.324459761944325,115.0
classical.00038.jams,72.15315228103174,133.0
classical.00039.jams,65.7293299059139,120.0
classical.00040.jams,94.60812526115791,136.0
classical.00041.jams,55.19860457927625,120.0
classical.00044.jams,81.70701385489947,129.0
classical.00047.jams,49.87183458011242,129.0
classical.00049.jams,75.37608297968949,148.0
classical.00050.jams,62.175683503458586,98.0
classical.00053.jams,213.3563442101606,105.0
classical.00054.jams,93.1165528252144,120.0
classical.00055.jams,56.464715904840006,94.0
classical.00058.jams,67.44525470929204,117.0
classical.00062.jams,93.1165166973434,86.0
classical.00065.jams,82.83912381365555,120.0
classical.00067.jams,136.0384993821608,103.0
classical.00068.jams,166.0391769437999,83.0
classical.00069.jams,68.79953007083631,126.0
classical.00070.jams,160.66221394315934,105.0
classical.00075.jams,111.89181553328817,99.0
classical.00076.jams,171.90819875094314,86.0
classical.00077.jams,95.17531052917737,152.0
classical.00078.jams,66.25600824666452,120.0
classical.00079.jams,103.67179582876533,126.0
classical.00080.jams,61.40161465779349,105.0
classical.00083.jams,82.00166053362582,126.0
classical.00084.jams,107.60745051865447,112.0
classical.00087.jams,60.29003526297173,103.0
classical.00090.jams,51.442416787603975,108.0
classical.00092.jams,141.77409007616802,112.0
classical.00095.jams,72.97669823618355,120.0
classical.00096.jams,133.65440090528597,86.0
classical.00099.jams,87.16150918700463,91.0
country.00002.jams,164.06240386968517,82.0
country.00003.jams,80.12355051489392,161.0
country.00007.jams,50.573396960285976,101.0
country.00008.jams,66.25600824666452,133.0
country.00010.jams,79.96857235106604,120.0
country.00012.jams,175.93076537946445,88.0
country.00016.jams,213.11226487723425,108.0
country.00017.jams,175.43316763833087,88.0
country.00018.jams,172.26578313460521,86.0
country.00022.jams,61.432021372882815,94.0
country.00025.jams,72.15313058904913,144.0
country.00030.jams,79.35459584621887,157.0
country.00034.jams,272.669020709212,136.0
country.00035.jams,197.81692538098326,99.0
country.00039.jams,183.75006316408417,92.0
country.00042.jams,204.672153585984,103.0
country.00044.jams,78.60028610504143,157.0
country.00045.jams,78.15453691971479,157.0
country.00051.jams,65.00591012066181,129.0
country.00052.jams,71.11883760210986,120.0
country.00053.jams,180.54044783058086,91.0
country.00054.jams,75.55982748432056,152.0
country.00056.jams,81.67422284495808,120.0
country.00057.jams,67.9044520365176,133.0
country.00059.jams,68.44990066208169,136.0
country.00060.jams,69.99506145955257,103.0
country.00061.jams,60.62133840801293,120.0
country.00062.jams,176.68260736413117,88.0
country.00064.jams,66.25600824666446,133.0
country.00066.jams,219.95970199090965,110.0
country.00067.jams,63.60921791901435,133.0
country.00070.jams,221.682384563517,110.0
country.00071.jams,72.27927265367929,144.0
country.00074.jams,67.71338569402297,136.0
country.00077.jams,182.13111619054516,91.0
