Item,Reference,Estimate
blues.00006.jams,72.94154403876111,232
blues.00010.jams,80.04604805843583,158
blues.00011.jams,55.719334283967086,167
blues.00015.jams,98.43738848896209,200
blues.00017.jams,169.44162630072924,84
blues.00022.jams,98.90846269049149,200
blues.00032.jams,125.28407511511972,94
blues.00033.jams,153.69433143286005,77
blues.00038.jams,86.49318776049317,130
blues.00044.jams,203.16325183100838,102
blues.00045.jams,263.3360508150797,132
blues.00047.jams,150.52331940713898,74
blues.00067.jams,161.4991427087174,81
blues.00078.jams,241.1186458632531,120
blues.00085.jams,143.32987550008693,72
blues.00088.jams,170.19322917497186,85
blues.00090.jams,141.1049220924449,71
blues.00092.jams,121.1242755254269,81
blues.00096.jams,58.81670440139225,119
blues.00097.jams,235.57704105420711,117
classical.00001.jams,114.94982015340297,77
classical.00004.jams,162.13236486267397,81
classical.00009.jams,60.09266288617046,87
classical.00015.jams,78.4511391595726,84
classical.00017.jams,174.44624220988499,87
classical.00021.jams,270.2209732008357,67
classical.00023.jams,92.56064393411535,87
classical.00024.jams,151.99904071716531,77
classical.00026.jams,153.1250428670524,77
classical.00029.jams,69.0212896167823,138
classical.00030.jams,120.1853257723408,87
classical.00032.jams,58.45021658165854,87
classical.00033.jams,106.28211435866928,87
classical.00034.jams,62.83245568610161,87
classical.00036.jams,51.324459761944325,87
classical.00038.jams,72.15315228103174,94
classical.00039.jams,65.7293299059139,87
classical.00040.jams,94.60812526115791,53
classical.00041.jams,55.19860457927625,87
classical.00042.jams,95.11600453597657,191
classical.00044.jams,81.70701385489947,130
classical.00047.jams,49.87183458011242,87
classical.00048.jams,88.72048426597657,184
classical.00049.jams,75.37608297968949,148
classical.00050.jams,62.175683503458586,87
classical.00053.jams,213.3563442101606,71
classical.00055.jams,56.464715904840006,87
classical.00056.jams,102.27406380878855,90
classical.00057.jams,106.28213004740476,160
classical.00058.jams,67.44525470929204,87
classical.00064.jams,94.05735199291854,63
classical.00066.jams,133.41730670913327,139
classical.00067.jams,136.0384993821608,74
classical.00068.jams,166.0391769437999,83
classical.00074.jams,160.87063185962424,81
classical.00075.jams,111.89181553328817,87
classical.00076.jams,171.90819875094314,86
classical.00077.jams,95.17531052917737,63
classical.00080.jams,61.40161465779349,87
classical.00081.jams,145.57658274500182,72
classical.00087.jams,60.29003526297173,90
classical.00089.jams,97.97094018629164,200
classical.00090.jams,51.442416787603975,90
classical.00091.jams,90.22788179395587,96
classical.00092.jams,141.77409007616802,71
classical.00095.jams,72.97669823618355,87
classical.00099.jams,87.16150918700463,91
country.00002.jams,164.06240386968517,82
country.00007.jams,50.573396960285976,101
country.00012.jams,175.93076537946445,88
country.00016.jams,213.11226487723425,107
country.00018.jams,172.26578313460521,85
country.00034.jams,272.669020709212,135
country.00042.jams,204.672153585984,102
country.00045.jams,78.15453691971479,157
country.00047.jams,149.25540211271024,75
country.00065.jams,119.47236545519078,60
country.00066.jams,219.95970199090965,110
country.00069.jams,112.84578312019951,76
country.00070.jams,221.682384563517,111
country.00073.jams,151.4422985912079,76
country.00076.jams,145.65683192984656,73
country.00080.jams,195.01762471783414,98
country.00081.jams,179.75562223157593,90
country.00082.jams,233.58073426103815,117
country.00084.jams,173.71314747956703,87
country.00086.jams,236.2500036914065,118
country.00091.jams,38.41751328823554,58
country.00097.jams,37.675820495646356,113
disco.00001.jams,233.58050692809513,117
disco.00002.jams,229.0511270747022,114
disco.00020.jams,79.96857235106607,160
disco.00041.jams,53.16384306358418,80
disco.00047.jams,50.29654001718466,90
hiphop.00030.jams,178.97732357310332,89
hiphop.00034.jams,99.38402608830691,200
hiphop.00037.jams,72.02742804459938,144
hiphop.00053.jams,108.22969588357367,216
hiphop.00080.jams,96.82377669209626,193
hiphop.00094.jams,74.35925558949228,148
jazz.00003.jams,69.8373604271253,101
jazz.00004.jams,62.917383587209166,94
jazz.00005.jams,108.041142066899,216
jazz.00011.jams,200.94982282923945,101
jazz.00014.jams,62.642053907663446,60
jazz.00015.jams,117.45360582569927,237
jazz.00016.jams,72.95615277860719,112
jazz.00018.jams,202.66572990062636,102
jazz.00022.jams,126.17622935652565,63
jazz.00025.jams,203.66391380943153,102
jazz.00026.jams,98.20365063887614,90
jazz.00029.jams,222.44549158599915,112
jazz.00030.jams,102.80208100296446,63
jazz.00031.jams,339.28831498066324,165
jazz.00043.jams,152.56533867316278,77
jazz.00047.jams,210.40099800222882,107
jazz.00049.jams,44.619486916249755,77
jazz.00063.jams,241.77620891888336,121
jazz.00066.jams,177.4409029376081,90
jazz.00069.jams,152.56533867316278,77
jazz.00076.jams,62.25164188705479,125
jazz.00080.jams,200.69775920951804,100
jazz.00085.jams,157.8005755775995,80
jazz.00090.jams,135.99911751683743,68
jazz.00092.jams,53.109955287144835,107
jazz.00093.jams,166.70869114922718,84
jazz.00097.jams,51.878914176234446,107
jazz.00098.jams,162.13236486267385,82
metal.00000.jams,94.17710789949729,187
metal.00003.jams,196.8749384765816,98
metal.00005.jams,154.26772005808175,77
metal.00014.jams,74.84420710514772,158
metal.00016.jams,92.07961817651666,186
metal.00017.jams,217.0276258082018,108
metal.00018.jams,99.14569459821203,200
metal.00019.jams,219.91333581957622,110
metal.00020.jams,243.91607254470517,101
metal.00026.jams,262.4993437516409,132
metal.00027.jams,258.39821102305194,130
metal.00039.jams,59.918480906726366,120
metal.00046.jams,232.26825434922313,116
metal.00047.jams,209.86670840682282,104
metal.00048.jams,218.75017089857104,112
