Estimator,boeck2015/tempodetector2016_default,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
boeck2015/tempodetector2016_default,1.0,5.649935812738335e-09,1.0703233936658697e-12,0.017176168175677266,0.00947496885046729,6.992924599379925e-12,0.5518192617247095,3.6234699842148048e-34,0.0031612376866775476,0.8183990357261983,0.6977007976782925,0.983149446405079,0.8634376339566171,0.008917111446818796,2.0216504535547956e-10
davies2009/mirex_qm_tempotracker,5.649935812738335e-09,1.0,0.010573964140163443,0.0046690285740245505,0.008012195820727243,0.011695250839217679,1.1083375329671052e-06,1.1214226251529636e-21,0.04271274470352801,1.0545566669814518e-07,3.6447272814760034e-07,3.7906978759929766e-07,2.017303368023673e-08,0.021105640928525543,0.04918992300935361
echonest/version_3_2_1,1.0703233936658697e-12,0.010573964140163443,1.0,9.757453468864636e-07,9.575727671441635e-07,0.7785874495133056,1.4227477334965196e-10,9.335627671242723e-13,1.6382653217852977e-06,4.996686501663439e-12,8.511568728323193e-12,2.824344617964835e-11,1.3719141309748683e-11,3.348973708819767e-06,0.5656552471266838
gkiokas2012/default,0.017176168175677266,0.0046690285740245505,9.757453468864636e-07,1.0,0.685399775450031,9.381163073702274e-07,0.10089521896227137,1.439233759127847e-27,0.48348052111447004,0.05388025181743034,0.07036437565543174,0.03595693899682971,0.023473773377653526,0.660898584916036,4.137290579601264e-05
klapuri2006/percival2014,0.00947496885046729,0.008012195820727243,9.575727671441635e-07,0.685399775450031,1.0,2.0511987499703932e-07,0.03130333103743684,8.784550053647638e-27,0.7635776458354645,0.007828181795564125,0.01289234963969938,0.010295610560477716,0.0028362642453219652,0.9668719965189001,1.4861090979948746e-05
oliveira2010/ibt,6.992924599379925e-12,0.011695250839217679,0.7785874495133056,9.381163073702274e-07,2.0511987499703932e-07,1.0,1.586127090641106e-11,3.4509628776769984e-14,1.353197220122897e-05,1.9536013412707037e-13,8.818820104228695e-13,1.2078635660159588e-11,3.2735162015221693e-13,6.542900536000328e-06,0.7299334517350275
percival2014/stem,0.5518192617247095,1.1083375329671052e-06,1.4227477334965196e-10,0.10089521896227137,0.03130333103743684,1.586127090641106e-11,1.0,7.592245081831949e-33,0.012251262447199722,0.7248144569040846,0.8389681471270998,0.4895179291997366,0.4342061115127339,0.017830571211710868,7.659263497145973e-09
scheirer1998/percival2014,3.6234699842148048e-34,1.1214226251529636e-21,9.335627671242723e-13,1.439233759127847e-27,8.784550053647638e-27,3.4509628776769984e-14,7.592245081831949e-33,1.0,8.762600066831906e-26,3.0596604365030543e-33,1.470936826314636e-32,1.9888221079948668e-34,9.42152973855402e-35,5.612613897530278e-26,2.141029640325661e-14
schreiber2014/default,0.0031612376866775476,0.04271274470352801,1.6382653217852977e-06,0.48348052111447004,0.7635776458354645,1.353197220122897e-05,0.012251262447199722,8.762600066831906e-26,1.0,0.0001604671488132502,0.00026134561958626165,0.0013296856070856612,0.001648982670746495,0.7816483887172402,8.844490204682852e-05
schreiber2017/ismir2017,0.8183990357261983,1.0545566669814518e-07,4.996686501663439e-12,0.05388025181743034,0.007828181795564125,1.9536013412707037e-13,0.7248144569040846,3.0596604365030543e-33,0.0001604671488132502,1.0,0.3175522761164489,0.7990463136277913,0.6685257307995878,0.00926019368284431,4.647286253181644e-10
schreiber2017/mirex2017,0.6977007976782925,3.6447272814760034e-07,8.511568728323193e-12,0.07036437565543174,0.01289234963969938,8.818820104228695e-13,0.8389681471270998,1.470936826314636e-32,0.00026134561958626165,0.3175522761164489,1.0,0.6766452276188545,0.5590120972636219,0.013230838151182157,1.2386456329170887e-09
schreiber2018/cnn,0.983149446405079,3.7906978759929766e-07,2.824344617964835e-11,0.03595693899682971,0.010295610560477716,1.2078635660159588e-11,0.4895179291997366,1.9888221079948668e-34,0.0013296856070856612,0.7990463136277913,0.6766452276188545,1.0,0.8520134146783906,0.0017528666613887906,1.3396200554025638e-10
schreiber2018/fcn,0.8634376339566171,2.017303368023673e-08,1.3719141309748683e-11,0.023473773377653526,0.0028362642453219652,3.2735162015221693e-13,0.4342061115127339,9.42152973855402e-35,0.001648982670746495,0.6685257307995878,0.5590120972636219,0.8520134146783906,1.0,0.0029009799649166194,1.2202887491592264e-10
schreiber2018/ismir2018,0.008917111446818796,0.021105640928525543,3.348973708819767e-06,0.660898584916036,0.9668719965189001,6.542900536000328e-06,0.017830571211710868,5.612613897530278e-26,0.7816483887172402,0.00926019368284431,0.013230838151182157,0.0017528666613887906,0.0029009799649166194,1.0,7.452169707639854e-05
zplane/auftakt_v3,2.0216504535547956e-10,0.04918992300935361,0.5656552471266838,4.137290579601264e-05,1.4861090979948746e-05,0.7299334517350275,7.659263497145973e-09,2.141029640325661e-14,8.844490204682852e-05,4.647286253181644e-10,1.2386456329170887e-09,1.3396200554025638e-10,1.2202887491592264e-10,7.452169707639854e-05,1.0
