Item,Reference,Estimate
006.jams,87.28,113.407
012.jams,97.2619,107.324
013.jams,64.1988,68.34
024.jams,121.4892,63.335
059.jams,66.8319,103.283
062.jams,132.2419,139.143
094.jams,84.1527,78.56
103.jams,162.1733,77.793
106.jams,120.9688,78.937
107.jams,132.8648,111.806
121.jams,70.6604,67.794
122.jams,72.1003,61.074
123.jams,71.4268,63.086
124.jams,93.3898,58.744
125.jams,70.7354,62.525
127.jams,62.0777,68.813
129.jams,84.8315,61.263
130.jams,51.8635,64.643
131.jams,86.3348,67.335
132.jams,58.2321,64.723
133.jams,72.8353,60.117
135.jams,79.3136,99.142
137.jams,114.0116,149.526
138.jams,170.1039,99.756
139.jams,147.3249,130.322
140.jams,83.1897,67.152
141.jams,129.6254,158.887
150.jams,100.6198,69.475
152.jams,114.6397,0.0
205.jams,130.4821,68.19
218.jams,85.2898,61.578
221.jams,81.1605,71.845
