Item,Reference,Estimate
006.jams,87.28,113.582
007.jams,62.842,77.1339
009.jams,157.1869,80.1235
012.jams,97.2619,109.375
013.jams,64.1988,136.9
022.jams,63.8424,128.397
024.jams,121.4892,137.812
042.jams,144.9261,72.5329
047.jams,67.0031,134.233
053.jams,157.9444,78.9003
055.jams,198.1547,98.9085
057.jams,86.3395,91.4685
059.jams,66.8319,103.879
062.jams,132.2419,139.675
067.jams,132.1952,66.0443
068.jams,100.6911,50.7908
075.jams,60.6342,91.4685
078.jams,155.6007,80.4353
079.jams,151.621,75.7212
086.jams,131.2109,66.4691
088.jams,148.1373,74.0927
090.jams,156.8142,78.0071
095.jams,147.4647,73.8281
098.jams,134.4237,67.7766
100.jams,151.0397,75.4448
102.jams,169.3288,84.7208
103.jams,162.1733,80.7495
107.jams,132.8648,80.1235
108.jams,149.2037,74.6277
110.jams,165.2838,83.0196
117.jams,137.6548,69.3687
119.jams,178.9976,89.4886
122.jams,72.1003,143.555
123.jams,71.4268,85.421
125.jams,70.7354,75.9995
126.jams,59.9587,85.421
127.jams,62.0777,84.7208
128.jams,58.8761,80.7495
129.jams,84.8315,141.588
130.jams,51.8635,120.888
131.jams,86.3348,93.1166
132.jams,58.2321,74.3593
133.jams,72.8353,146.609
137.jams,114.0116,89.1029
138.jams,170.1039,98.4375
139.jams,147.3249,130.835
140.jams,83.1897,96.5975
141.jams,129.6254,79.2026
146.jams,164.5542,82.3581
148.jams,167.4602,83.6918
149.jams,187.4178,93.9631
150.jams,100.6198,69.6023
167.jams,64.9374,130.012
189.jams,180.2214,90.6661
190.jams,168.4582,86.8566
193.jams,124.7083,60.4441
197.jams,181.9749,91.0655
198.jams,133.6033,66.6835
205.jams,130.4821,68.4499
207.jams,179.7244,93.1166
210.jams,174.4485,87.9654
218.jams,85.2898,92.2852
220.jams,57.2261,124.529
221.jams,81.1605,88.3413
240.jams,61.7384,124.906
241.jams,75.051,151.999
243.jams,150.4759,75.1705
