Item,Reference,Estimate
006.jams,87.28,54.845005
007.jams,62.842,66.397545
009.jams,157.1869,80.74951
012.jams,97.2619,108.11287
013.jams,64.1988,126.32883
016.jams,137.378,68.48725
022.jams,63.8424,127.43282
024.jams,121.4892,103.381454
037.jams,124.532,129.79854
052.jams,118.2734,88.47749
053.jams,157.9444,78.54152
055.jams,198.1547,98.37404
059.jams,66.8319,103.3026
062.jams,132.2419,70.18268
066.jams,130.6159,65.273834
067.jams,132.1952,64.46555
072.jams,130.8279,98.41347
075.jams,60.6342,91.86834
078.jams,155.6007,80.11865
079.jams,151.621,76.35323
080.jams,126.2305,62.730705
087.jams,138.867,70.16297
088.jams,148.1373,73.92839
091.jams,72.1623,108.58601
092.jams,149.1973,76.274376
093.jams,150.1115,75.42667
100.jams,151.0397,75.919525
102.jams,169.3288,84.534645
103.jams,162.1733,82.32665
107.jams,132.8648,80.43408
108.jams,149.2037,74.26353
110.jams,165.2838,82.83922
112.jams,143.3276,72.587814
117.jams,137.6548,70.892395
119.jams,178.9976,88.04378
123.jams,71.4268,92.89348
124.jams,93.3898,100.463745
127.jams,62.0777,71.05011
128.jams,58.8761,62.139275
129.jams,84.8315,96.915184
130.jams,51.8635,113.86943
132.jams,58.2321,100.463745
133.jams,72.8353,115.76199
137.jams,114.0116,90.44891
138.jams,170.1039,116.78713
139.jams,147.3249,131.57281
140.jams,83.1897,98.492325
141.jams,129.6254,79.17237
148.jams,167.4602,83.824936
149.jams,187.4178,93.68205
172.jams,125.0465,62.4547
189.jams,180.2214,89.14777
190.jams,168.4582,87.53121
193.jams,124.7083,61.035275
197.jams,181.9749,90.96149
198.jams,133.6033,66.4764
205.jams,130.4821,96.99404
207.jams,179.7244,125.067116
209.jams,145.3581,73.494675
210.jams,174.4485,113.23857
212.jams,123.9683,62.00127
222.jams,138.2587,69.21668
223.jams,128.9353,64.85983
243.jams,150.4759,76.25467
245.jams,103.8957,109.966
