Estimator,swing 8ths,swing 16ths,sudden change,rubato,rallantando,none,div by 6,div by 4,div by 3 (triplet),div by 2,Rock/Pop,Rock,Jazz,Folk2,Folk,Dance,Country,ClassicalSolo,Classical,Choral,BigBand
boeck2015/tempodetector2016_default,0.8055555555555556,0.9166666666666666,0.5,0.46153846153846156,0.3333333333333333,0.6666666666666666,1.0,0.9591836734693877,0.625,0.7476635514018691,0.8088235294117647,0.7,0.875,1.0,0.7272727272727273,0.975,0.8947368421052632,0.5909090909090909,0.7,0.5517241379310345,0.6666666666666666
boeck2019/multi_task,0.7777777777777778,0.8333333333333334,0.5,0.46153846153846156,0.3333333333333333,0.7777777777777778,1.0,0.9387755102040817,0.625,0.7476635514018691,0.7941176470588235,0.6666666666666666,0.875,0.75,0.6818181818181818,0.95,0.8947368421052632,0.6818181818181818,0.6666666666666666,0.6551724137931034,0.7777777777777778
boeck2019/multi_task_hjdb,0.7777777777777778,0.75,0.25,0.4230769230769231,0.3333333333333333,0.7777777777777778,1.0,0.9591836734693877,0.625,0.7476635514018691,0.8529411764705882,0.6666666666666666,0.875,0.75,0.6363636363636364,0.95,1.0,0.6363636363636364,0.6,0.5862068965517241,0.7777777777777778
boeck2020/dar,0.8055555555555556,0.75,0.25,0.4230769230769231,0.3333333333333333,0.5555555555555556,1.0,0.9591836734693877,0.625,0.7850467289719626,0.8529411764705882,0.7,0.875,0.75,0.7727272727272727,1.0,0.9736842105263158,0.45454545454545453,0.6666666666666666,0.4482758620689655,1.0
davies2009/mirex_qm_tempotracker,0.7222222222222222,0.8333333333333334,0.5,0.07692307692307693,0.1111111111111111,0.0,1.0,0.9387755102040817,0.5,0.6822429906542056,0.8235294117647058,0.6666666666666666,0.8,0.75,0.7272727272727273,0.95,0.9473684210526315,0.13636363636363635,0.5,0.1724137931034483,0.6666666666666666
echonest/version_3_2_1,0.3611111111111111,1.0,0.0,0.3076923076923077,0.3333333333333333,0.0,1.0,0.8979591836734694,0.625,0.6822429906542056,0.7205882352941176,0.7666666666666667,0.525,1.0,0.9090909090909091,0.9,0.6842105263157895,0.2727272727272727,0.5333333333333333,0.3448275862068966,0.3333333333333333
gkiokas2012/default,0.25,1.0,0.25,0.11538461538461539,0.3333333333333333,0.0,1.0,0.8571428571428571,0.625,0.6915887850467289,0.7058823529411765,0.6666666666666666,0.55,0.75,0.8181818181818182,0.925,0.7368421052631579,0.045454545454545456,0.5666666666666667,0.13793103448275862,0.3333333333333333
klapuri2006/percival2014,0.6111111111111112,0.9166666666666666,0.25,0.15384615384615385,0.2222222222222222,0.0,1.0,0.9183673469387755,0.5,0.7102803738317757,0.8088235294117647,0.6666666666666666,0.675,1.0,0.8181818181818182,0.9,0.9210526315789473,0.13636363636363635,0.6666666666666666,0.1724137931034483,0.4444444444444444
oliveira2010/ibt,0.6944444444444444,0.75,0.5,0.19230769230769232,0.1111111111111111,0.1111111111111111,1.0,0.9591836734693877,0.375,0.7009345794392523,0.8382352941176471,0.6666666666666666,0.775,0.75,0.6818181818181818,0.925,0.9736842105263158,0.18181818181818182,0.5666666666666667,0.20689655172413793,0.5555555555555556
percival2014/stem,0.4722222222222222,0.9166666666666666,0.25,0.19230769230769232,0.3333333333333333,0.2222222222222222,1.0,0.8979591836734694,0.625,0.7009345794392523,0.7647058823529411,0.7,0.625,1.0,0.7272727272727273,0.925,0.8157894736842105,0.3181818181818182,0.6,0.3448275862068966,0.3333333333333333
scheirer1998/percival2014,0.4166666666666667,0.75,0.0,0.11538461538461539,0.3333333333333333,0.0,1.0,0.5918367346938775,0.5,0.4766355140186916,0.5441176470588235,0.43333333333333335,0.55,0.0,0.4090909090909091,0.65,0.631578947368421,0.09090909090909091,0.43333333333333335,0.13793103448275862,0.5555555555555556
schreiber2014/default,0.3611111111111111,1.0,0.25,0.4230769230769231,0.3333333333333333,0.6666666666666666,1.0,0.8775510204081632,0.375,0.7383177570093458,0.7794117647058824,0.7666666666666667,0.5,1.0,0.7272727272727273,0.95,0.7894736842105263,0.5909090909090909,0.5666666666666667,0.5172413793103449,0.2222222222222222
schreiber2017/ismir2017,0.6111111111111112,0.9166666666666666,0.25,0.2692307692307692,0.3333333333333333,0.3333333333333333,1.0,0.9387755102040817,0.5,0.7009345794392523,0.8088235294117647,0.7,0.725,1.0,0.7272727272727273,0.95,0.8947368421052632,0.3181818181818182,0.5666666666666667,0.3448275862068966,0.5555555555555556
schreiber2017/mirex2017,0.6666666666666666,0.8333333333333334,0.25,0.2692307692307692,0.3333333333333333,0.1111111111111111,1.0,0.9387755102040817,0.375,0.7383177570093458,0.8235294117647058,0.7333333333333333,0.725,1.0,0.7272727272727273,1.0,0.8947368421052632,0.36363636363636365,0.5,0.3793103448275862,0.6666666666666666
schreiber2018/cnn,0.7222222222222222,0.9166666666666666,0.25,0.19230769230769232,0.4444444444444444,0.3333333333333333,1.0,0.9183673469387755,0.625,0.7383177570093458,0.8529411764705882,0.7333333333333333,0.875,0.5,0.5909090909090909,0.925,0.9473684210526315,0.3181818181818182,0.6666666666666666,0.3448275862068966,1.0
schreiber2018/fcn,0.6944444444444444,1.0,0.25,0.2692307692307692,0.2222222222222222,0.1111111111111111,1.0,0.9387755102040817,0.5,0.7663551401869159,0.8382352941176471,0.7333333333333333,0.8,0.75,0.8181818181818182,0.95,0.9210526315789473,0.3181818181818182,0.6333333333333333,0.3793103448275862,0.7777777777777778
schreiber2018/ismir2018,0.8055555555555556,1.0,0.5,0.11538461538461539,0.3333333333333333,0.2222222222222222,1.0,0.9387755102040817,0.5,0.7289719626168224,0.8382352941176471,0.6666666666666666,0.85,1.0,0.8181818181818182,0.975,0.9736842105263158,0.2727272727272727,0.6,0.3103448275862069,0.8888888888888888
sun2021/default,0.8055555555555556,0.9166666666666666,0.25,0.5384615384615384,0.2222222222222222,0.8888888888888888,1.0,0.9387755102040817,0.375,0.7476635514018691,0.8382352941176471,0.7,0.925,0.75,0.6818181818181818,0.95,0.9473684210526315,0.7727272727272727,0.4666666666666667,0.6896551724137931,1.0
zplane/auftakt_v3,0.5833333333333334,0.9166666666666666,0.25,0.07692307692307693,0.2222222222222222,0.0,1.0,0.8979591836734694,0.625,0.6822429906542056,0.7941176470588235,0.6333333333333333,0.7,0.75,0.7727272727272727,0.95,0.9210526315789473,0.18181818181818182,0.4666666666666667,0.20689655172413793,0.4444444444444444
