Item,Reference,Estimate
006.jams,100.2016529864524,234.908
007.jams,63.42474053099728,112.347
012.jams,106.08186665597566,224.694
013.jams,64.72089492053634,139.675
059.jams,68.8081449894172,105.469
075.jams,60.642175647644024,92.2852
091.jams,72.24326814784476,112.347
122.jams,71.5968831403541,129.199
123.jams,71.99559210660573,114.844
124.jams,95.73428850537273,151.999
126.jams,60.87750109285007,161.499
127.jams,64.69160854975638,156.605
128.jams,58.747621697161975,161.499
129.jams,96.95237571793666,139.675
130.jams,55.50981019463046,126.048
131.jams,87.02123940388731,129.199
132.jams,59.168995842773654,132.512
137.jams,175.95717444431511,151.999
140.jams,87.7691995123933,126.048
141.jams,155.17954011607702,161.499
150.jams,131.68109883547322,143.555
189.jams,179.90824523675238,123.047
190.jams,169.56104926965992,178.206
205.jams,132.89531740217058,139.675
207.jams,183.1057469579149,191.406
218.jams,88.87321460059954,123.047
219.jams,78.31415653750024,135.999
220.jams,57.0110335186539,156.605
221.jams,81.55466301197798,151.999
241.jams,75.25543760354378,156.605
