τ,boeck2015/tempodetector2016_default,boeck2019/multi_task,boeck2019/multi_task_hjdb,davies2009/mirex_qm_tempotracker,echonest/version_3_2_1,gkiokas2012/default,klapuri2006/percival2014,oliveira2010/ibt,percival2014/stem,scheirer1998/percival2014,schreiber2014/default,schreiber2017/ismir2017,schreiber2017/mirex2017,schreiber2018/cnn,schreiber2018/fcn,schreiber2018/ismir2018,zplane/auftakt_v3
0.0,,,,,,,,,,,,,,,,,
0.005,,,,,,,,,,,,,,,,,
0.01,0.000730105781979149,0.0003680106371098464,0.0003123156044607452,0.01908624482214608,-0.0012748919073401904,0.0005211064933578918,-0.000569527671649413,-0.003819533626583758,-0.0010970774594632863,0.041755989765386754,-0.0009051120918609969,-0.0008624299225405862,-0.0008624299225405862,0.0005211064933578918,0.0012399020020434747,0.0005211064933578918,-0.0009114182208149641
0.015,-0.004761201720982485,-0.0036600183334625225,-0.003757327882136067,0.01989319343369968,-0.0010713211230140602,0.0005304854866228301,0.0036145898315205587,-0.00645983057793336,-0.00034388276031783045,0.031946167790000486,-0.009862086510515965,-0.004773494972226383,-0.0004947569471107717,-0.0003369901041302914,-0.0040129180793479595,-0.0004427743339465904,-0.004657851801815188
0.02,-0.003849580050804899,-0.0028397193882965404,-0.0031856395543442503,0.018665174617430724,0.00040259744258489075,0.001366788623122463,-0.0005215423063496341,-0.003502123001876754,-0.0005962959958674486,0.037469905707993974,-0.010306408121223905,-0.013061159158269624,-0.005653751920824489,-0.0033153675477381995,0.000648293148072823,-0.003613090165526802,0.002436034944419692
0.025,-0.008486220728978335,-0.005232754665115223,-0.008129431380471855,0.013599401810395387,-0.003313564297084008,-0.00188497596389803,-0.006186743482275006,-0.008052060044485118,-0.005771327424896873,0.033563488098420864,-0.015586161459671165,-0.01729486061757526,-0.010801354273061668,-0.00540316584985064,0.0004046882874042062,-0.005867466552328205,-0.003143272845356829
0.03,-0.0072119035559573014,-0.005021209719530435,-0.007631983132923255,0.017257062078614483,-0.0016977939177339513,0.0032172160352363804,-0.0026362242898645073,-0.00040812930874222484,-0.0049808809348805445,0.03634470980268999,-0.015147395723204013,-0.014620061889399943,-0.008772108807206414,-0.00420551226604429,0.00038659594077674724,-0.004226045571283743,-0.005329420626397257
0.035,-0.006717314136702779,-0.004580548637931033,-0.007087781803731076,0.017694347024665016,-0.0021473963779210545,0.0013861780730972386,-0.005522420618729018,-0.0022162450812095347,-0.004157493385376762,0.033576500221968036,-0.014494333296988647,-0.013376056487247082,-0.007820501059163229,-0.0015540058667267514,0.0011471584147408878,-0.0036086878339307116,-0.007267371930680652
0.04,-0.006639940906477867,-0.004337176992764733,-0.006789756146508502,0.014538160693573195,-0.0036301150806091324,0.0012190229540199123,-0.007491351893964235,-0.0026492209067061167,-0.0024553147883793563,0.03304660738436812,-0.009977015633539654,-0.012910717898686192,-0.007647560124712017,0.00016241989287653518,0.0007281790260262146,-0.0034987709858174724,-0.00606969473209108
0.045,-0.006612573727593733,-0.004173924651962874,-0.006655514881143398,0.012209470053297266,-0.005560525807186013,0.0015482521281166854,-0.0065231078092709725,-2.3718910613166112e-05,-0.0019331737085517147,0.03224262678808402,-0.009909992325839445,-0.01023772372780155,-0.005002121753691115,0.000157646233000406,0.0007204432764477311,-0.004406663830380164,-0.008337347915468881
0.05,-0.006625002407434753,-0.004074718772223419,-0.006392229266718195,0.010716938743127166,-0.0063947519181872725,0.0013429248459569155,-0.008803531175411694,0.0023129797316422166,-0.00072663635210231,0.031210983084363837,-0.010023603727039336,-0.008224470231417943,-0.003069831038742856,-0.0017963001970646942,7.873110404022286e-06,-0.005974496903611071,-0.010488814595312377
0.055,-0.0063571824375073405,-0.003934379820931471,-0.006069266927585926,0.009875048526330652,-0.006619076910701756,0.0014420130524385412,-0.008840226446198975,0.0012891824278808191,0.000768208852468732,0.028371740911628245,-0.00984080331912335,-0.008168820920135392,-0.003066780014877757,0.0006638516715226435,0.0010490160754466123,-0.004158250848218738,-0.012803824994371795
0.06,-0.006329181729571202,-0.004088270098085732,-0.006138264192113091,0.009098748759447545,-0.006588606040727581,-0.00020804446593717098,-0.008715951425498723,-0.0006751295956100913,0.0030074894936821667,0.025950759471161697,-0.009466187172151358,-0.007821302871108056,-0.0027451606506486833,-0.0016264797103114628,0.0008635188807948386,-0.005703195898112899,-0.013918574342580958
0.065,-0.006329181729571202,-0.004088270098085732,-0.006138264192113091,0.009098748759447545,-0.006588606040727581,-0.00020804446593717098,-0.008715951425498723,-0.0006751295956100913,0.0030074894936821667,0.025950759471161697,-0.009466187172151358,-0.007821302871108056,-0.0027451606506486833,-0.0016264797103114628,0.0008635188807948386,-0.005703195898112899,-0.013918574342580958
0.07,-0.005779153386186429,-0.003854089281266336,-0.005845952948252037,0.009817334458509951,-0.006238319300011757,0.0004104358222503241,-0.009987813691308087,3.222272548529407e-05,0.003443177047932928,0.027003304698908527,-0.009264734573497094,-0.006816563498633737,-0.0017914377829025985,0.0005068479703534949,0.0030761358226888674,-0.004258192977033868,-0.012006828119184553
0.075,-0.005489303133341545,-0.0037151463921499526,-0.005473204977675816,0.00978756824888527,-0.006785936840704206,0.0009819810791110838,-0.011465312946970344,0.0017041161993260044,0.0038606241500219983,0.028698962161204322,-0.009471656743631924,-0.004529259893599687,0.0004212352263362303,-6.520802051777261e-05,0.003070977302489749,-0.0034004884166549017,-0.011262783583482806
0.08,-0.005489303133341545,-0.0037151463921499526,-0.005473204977675816,0.00978756824888527,-0.006785936840704206,0.0009819810791110838,-0.011465312946970344,0.0017041161993260044,0.0038606241500219983,0.028698962161204322,-0.009471656743631924,-0.004529259893599687,0.0004212352263362303,-6.520802051777261e-05,0.003070977302489749,-0.0034004884166549017,-0.011262783583482806
0.085,-0.005489303133341545,-0.0037151463921499526,-0.005473204977675816,0.00978756824888527,-0.006785936840704206,0.0009819810791110838,-0.011465312946970344,0.0017041161993260044,0.0038606241500219983,0.028698962161204322,-0.009471656743631924,-0.004529259893599687,0.0004212352263362303,-6.520802051777261e-05,0.003070977302489749,-0.0034004884166549017,-0.011262783583482806
0.09,-0.005489303133341545,-0.0037151463921499526,-0.005473204977675816,0.00978756824888527,-0.006785936840704206,0.0009819810791110838,-0.011465312946970344,0.0017041161993260044,0.0038606241500219983,0.028698962161204322,-0.009471656743631924,-0.004529259893599687,0.0004212352263362303,-6.520802051777261e-05,0.003070977302489749,-0.0034004884166549017,-0.011262783583482806
0.095,-0.005489303133341545,-0.0037151463921499526,-0.005473204977675816,0.00978756824888527,-0.006785936840704206,0.0009819810791110838,-0.011465312946970344,0.0017041161993260044,0.0038606241500219983,0.028698962161204322,-0.009471656743631924,-0.004529259893599687,0.0004212352263362303,-6.520802051777261e-05,0.003070977302489749,-0.0034004884166549017,-0.011262783583482806
0.1,-0.005291063713158928,-0.0035534978657593445,-0.005119743999723098,0.008360658522259512,-0.005323930287987867,0.0017637835077249258,-0.009262972298344153,0.0012651652562268882,0.003819998811683933,0.03054001743559623,-0.008982107977466538,-0.004194808024911474,0.0006832408249766012,-0.0005260394394950839,0.001108927197957469,-0.002891470774462552,-0.00861631389204433
0.105,-0.005961812734904194,-0.00432699193198626,-0.004996347973796572,0.00733850189819325,-0.005460778437158078,0.0010500389041599046,-0.009388123280981665,-0.0005257337312456575,0.006053379183051812,0.029292278572363953,-0.009412314538233633,-0.005424402533826536,-0.0005700338030778195,0.0018567130284852548,0.0006441191447795121,-0.004662191917125926,-0.009873144188091045
0.11,-0.0057280363449035065,-0.0038043396271021687,-0.0044818699320378465,0.008879612363847123,-0.00621104279986018,0.0017736822035891373,-0.010986211215385936,0.0021793327518562734,0.008904101995814468,0.026255526966745744,-0.011892713371876324,-0.003596582178581774,-0.00359658237698256,0.0024323403141567,0.000988622126577293,-0.0017207571967953305,-0.010088153770970392
0.115,-0.0057280363449035065,-0.0038043396271021687,-0.0044818699320378465,0.008879612363847123,-0.00621104279986018,0.0017736822035891373,-0.010986211215385936,0.0021793327518562734,0.008904101995814468,0.026255526966745744,-0.011892713371876324,-0.003596582178581774,-0.00359658237698256,0.0024323403141567,0.000988622126577293,-0.0017207571967953305,-0.010088153770970392
