Item,Reference,Estimate
006.jams,102.6973827634738,108.27
013.jams,65.28497409326435,133.78
022.jams,63.59965387943463,127.69
025.jams,71.47708715385716,142.9
059.jams,69.11142454160786,103.63
072.jams,131.28907412920483,196.98
073.jams,77.34809273635713,154.43
075.jams,60.47447090551723,91.22
097.jams,90.3395417108461,180.33
103.jams,162.5007676718043,80.72
107.jams,152.5511674834247,79.52
111.jams,109.01001112347052,219.22
114.jams,104.79207920792057,208.88
115.jams,116.77994527319271,231.58
122.jams,74.99787420991466,66.93
126.jams,61.93240333302123,55.06
129.jams,95.59939301972686,48.56
131.jams,87.04520034212771,44.29
133.jams,77.03729583369673,66.07
134.jams,129.4647225755947,66.1
137.jams,173.89018969036002,146.76
139.jams,139.5054568461012,176.77
140.jams,86.32663513876946,74.28
144.jams,122.31596141634962,61.03
145.jams,97.75741678058152,194.84
150.jams,126.80208333333351,69.9
189.jams,180.6513279169794,60.78
190.jams,169.9312825123629,85.37
193.jams,124.70543877839572,62.18
205.jams,132.30000000000004,33.35
209.jams,145.6532377203742,73.27
240.jams,62.49504825905532,124.46
243.jams,150.33236747912073,75.33
